"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant127","Ant131","Ant137","Ant140","Ant149","Ant156","Ant159","Ant169","Ant176","Ant190","Ant195","Ant207","Ant215","Ant232","Ant242","Ant257","Ant263","Ant289","Ant324","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant560","Ant593"
"Ant260",0,0,6,7,0,1,0,0,2,33,53,0,0,30,22,0,0,1,1,6,0,0,0,12,0,2,59,10,23,0,4,7,1,1,6,3,3,3,3,0,21,2,8,11,0,1,1,9,0,1,0,15,0,0,2,3,11,0,0,0,0,27,0,18,14,19,1,0,0,29,1
"Ant52",0,0,0,0,3,11,0,2,0,0,0,5,0,2,0,7,14,0,0,10,6,0,2,1,6,11,0,0,0,1,0,5,3,4,1,0,20,20,13,11,0,0,3,0,8,1,0,0,17,31,29,0,2,3,0,1,2,2,0,13,3,0,6,8,20,0,0,0,10,0,3
"Ant6",6,0,0,7,0,10,0,0,0,1,4,1,0,62,1,3,0,3,4,4,0,1,2,11,2,9,1,4,0,0,5,2,2,0,37,5,7,2,5,0,10,17,14,5,0,1,3,6,0,8,1,0,2,1,3,0,21,1,0,4,0,11,1,13,2,8,0,0,4,0,1
"Ant7",7,0,7,0,0,0,0,0,8,3,13,0,0,9,18,0,0,1,0,1,0,0,0,13,0,0,11,6,13,0,0,0,0,0,1,1,0,5,0,0,12,0,24,9,0,0,3,5,0,0,2,44,0,0,6,0,9,0,0,0,0,6,0,0,2,31,2,0,0,41,0
"Ant9",0,3,0,0,0,1,0,11,0,0,0,33,11,3,0,0,8,4,11,6,32,9,1,0,10,4,6,0,0,5,7,7,5,2,0,1,0,1,2,12,0,0,2,0,47,6,0,1,21,3,2,0,9,3,0,2,0,14,0,1,28,0,15,1,0,0,0,5,3,0,4
"Ant14",1,11,10,0,1,0,2,3,0,7,6,0,0,14,0,2,2,0,3,15,1,0,13,14,2,5,3,0,0,1,8,22,0,0,3,10,27,0,4,1,3,2,11,4,0,6,2,13,0,1,0,0,5,5,0,5,3,3,0,14,5,0,1,3,0,2,0,0,1,0,11
"Ant19",0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,21,5,3,15,1,6,5,7,0,31,8,0,0,0,15,3,0,9,9,1,3,3,1,0,0,1,4,7,0,1,10,0,4,0,23,4,0,4,15,0,0,1,1,0,34,0,1,23,2,3,0,0,1,11,0,11
"Ant26",0,2,0,0,11,3,0,0,0,0,0,11,6,2,0,4,14,2,3,3,2,0,6,0,19,8,0,1,0,4,8,2,22,14,0,2,9,2,2,9,1,3,1,0,3,2,1,0,13,1,3,0,18,0,3,0,0,12,0,11,9,0,4,32,1,0,0,16,23,0,8
"Ant30",2,0,0,8,0,0,0,0,0,4,7,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,9,0
"Ant38",33,0,1,3,0,7,0,0,4,0,1,1,0,20,11,5,0,3,6,2,0,0,0,3,0,0,26,1,2,2,5,1,0,1,9,4,1,5,0,0,20,0,1,4,0,0,6,6,0,1,0,0,0,1,0,18,11,0,2,0,0,4,0,3,15,8,0,0,1,1,5
