"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant149","Ant153","Ant156","Ant159","Ant169","Ant176","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant219","Ant232","Ant242","Ant255","Ant257","Ant263","Ant289","Ant318","Ant324","Ant332","Ant342","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,0,1,59,8,0,4,0,0,7,18,34,0,0,20,15,0,2,1,8,5,3,0,0,15,1,22,20,27,13,1,0,0,0,6,0,5,1,1,0,0,9,0,3,36,3,0,13,10,0,27,2,7,6,14,0,10,6,0,3,27,3,0,0,3,17,18,9,1,0,0,0,42,0,12,3,21,5,0,1,2,17,0,0
"Ant52",0,0,0,0,0,7,6,18,3,0,0,0,0,14,1,1,6,10,3,3,1,11,6,12,0,0,7,0,0,0,2,27,10,9,1,22,0,1,4,16,2,0,3,29,5,17,6,3,0,0,0,8,0,0,1,14,1,22,12,0,0,10,7,24,0,0,0,2,14,0,4,2,0,0,0,6,0,0,0,9,0,2,7,10
"Ant540",1,0,0,9,6,0,9,3,7,20,0,0,0,0,26,6,2,1,13,11,3,3,0,0,1,3,8,0,41,0,0,5,21,14,26,5,19,23,4,9,7,14,7,7,17,6,0,29,5,1,12,8,0,58,5,3,3,11,7,15,3,1,0,3,10,3,0,12,1,0,15,5,12,15,9,8,9,0,0,1,22,5,0,0
"Ant6",59,0,9,0,9,0,6,2,2,15,18,17,0,0,17,30,0,3,3,5,3,2,0,0,7,1,19,46,11,15,7,0,4,4,4,0,18,11,6,2,1,3,12,0,16,0,0,8,14,0,82,0,16,3,4,4,6,0,2,4,7,3,4,0,0,14,0,16,0,0,5,1,7,0,4,20,24,0,0,0,16,34,0,0
"Ant7",8,0,6,9,0,0,0,0,0,6,10,1,0,0,27,3,0,3,0,2,0,0,0,0,2,0,0,2,17,18,0,0,2,0,8,0,2,5,3,0,0,3,8,0,38,1,0,0,5,0,61,1,0,8,14,0,0,5,0,2,2,0,0,0,0,23,18,4,0,0,0,0,2,0,0,6,8,5,0,0,2,1,0,0
"Ant9",0,7,0,0,0,0,0,6,0,0,0,0,17,34,0,0,0,0,0,0,2,11,10,1,0,38,0,0,0,0,0,18,9,14,0,12,0,0,0,0,2,4,2,0,0,0,6,0,0,22,0,5,0,0,0,1,0,1,17,0,0,0,8,9,0,0,0,0,8,0,7,18,0,10,0,0,0,0,5,4,1,0,2,2
"Ant14",4,6,9,6,0,0,0,1,4,4,7,1,0,0,13,9,0,5,0,11,18,5,0,0,7,5,21,6,3,1,2,0,0,0,9,0,0,0,1,0,0,11,12,0,9,9,0,7,0,0,11,0,3,0,7,1,9,7,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,5,1,5,8,0,0,1,21,9,0,6
"Ant19",0,18,3,2,0,6,1,0,4,0,0,0,11,0,2,4,6,12,4,0,12,2,4,2,0,5,7,1,0,0,6,35,12,13,5,5,2,5,0,6,21,5,26,10,6,5,8,5,0,8,2,6,0,0,3,19,4,9,0,1,0,5,9,19,0,10,0,8,2,0,10,4,0,5,1,14,10,0,0,12,7,3,5,27
"Ant26",0,3,7,2,0,0,4,4,0,0,3,0,0,4,4,0,18,5,2,0,4,8,0,5,0,14,0,0,0,0,5,5,7,10,6,17,0,0,4,34,1,5,17,15,5,24,1,0,0,7,0,9,0,0,4,28,8,12,9,0,0,6,11,37,0,0,0,1,6,0,17,10,0,18,0,5,0,0,4,7,5,1,10,15
"Ant30",7,0,20,15,6,0,4,0,0,0,0,24,0,0,8,3,0,0,1,0,1,0,0,0,7,0,1,2,18,13,0,0,21,0,13,0,5,24,1,0,0,1,11,0,5,0,0,15,60,0,17,0,2,7,2,0,0,0,0,0,5,0,0,0,3,0,3,1,0,0,2,0,10,0,0,1,2,2,0,0,4,12,0,0
