"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant260",0,1,15,23,2,9,5,1,16,44,2,5,35,18,3,3,7,7,7,0,9,26,1,3,11,33,8,37,3,4,24,7,2,28,8,31,28,21,2,51,11,10,19,3,6,14,42,1,0,6,3,5,7,2,2,4,4
"Ant52",1,0,2,0,4,1,0,6,0,0,3,1,0,0,0,3,3,4,24,0,7,0,16,0,1,1,8,7,5,12,0,4,12,4,18,0,1,0,9,0,11,3,0,6,36,2,0,5,0,3,3,10,2,0,4,12,7
"Ant6",15,2,0,8,1,2,1,0,1,8,0,1,40,7,3,7,4,0,5,0,2,12,2,1,2,13,19,2,5,3,12,3,1,1,0,11,2,4,0,0,5,2,0,2,6,18,0,0,0,5,0,1,14,0,0,2,0
"Ant7",23,0,8,0,0,5,0,0,20,7,0,0,9,7,0,0,2,1,0,0,9,17,1,9,15,10,1,1,0,0,24,2,2,1,0,35,3,40,0,36,7,0,37,4,4,6,24,0,0,3,0,3,14,4,0,1,4
"Ant9",2,4,1,0,0,0,0,7,0,1,13,22,0,0,0,1,4,13,6,1,20,1,10,41,0,0,5,18,7,29,0,2,1,0,2,0,4,0,0,0,4,12,0,28,0,0,3,17,0,5,13,2,0,0,1,3,0
"Ant14",9,1,2,5,0,0,1,0,1,6,0,2,8,6,0,1,4,2,0,0,2,6,2,4,5,11,3,7,0,1,2,5,4,3,0,2,9,9,3,0,3,6,19,1,2,6,3,0,0,17,9,1,13,0,0,0,0
"Ant19",5,0,1,0,0,1,0,0,0,1,8,13,3,0,2,3,0,11,1,8,9,0,0,1,3,0,0,3,0,2,0,5,9,24,3,0,8,1,6,0,3,12,1,4,0,1,1,2,0,5,13,9,2,0,0,2,0
"Ant26",1,6,0,0,7,0,0,0,0,0,12,10,2,0,0,4,4,4,25,1,4,0,4,17,0,0,7,2,2,0,0,1,3,0,12,0,7,0,1,0,6,15,0,7,6,1,0,14,0,0,0,3,0,1,9,12,3
"Ant30",16,0,1,20,0,1,0,0,0,3,0,0,9,14,0,1,0,0,0,0,0,13,0,1,1,4,0,0,0,1,2,0,2,0,0,38,1,20,0,27,0,0,39,0,0,0,12,0,1,0,0,0,3,6,0,0,0
"Ant60",44,0,8,7,1,6,1,0,3,0,0,0,22,23,0,0,1,0,0,0,0,8,0,0,16,26,2,4,2,0,18,8,0,2,0,15,5,13,0,0,0,0,7,0,0,10,10,0,0,2,0,1,8,5,0,0,2
"Ant64",2,3,0,0,13,0,8,12,0,0,0,6,0,1,4,4,0,8,3,4,3,0,6,12,0,1,7,4,6,6,0,2,6,2,17,0,3,2,24,0,10,4,1,17,0,0,1,20,0,3,7,10,0,0,3,0,0
"Ant158",5,1,1,0,22,2,13,10,0,0,6,0,2,0,0,7,3,7,11,0,5,0,59,33,0,0,8,0,1,4,0,5,0,0,4,2,6,2,0,0,9,15,4,7,0,0,0,5,0,2,15,0,1,1,5,5,0
"Ant196",35,0,40,9,0,8,3,2,9,22,0,2,0,36,2,5,18,0,0,0,2,23,1,1,30,30,7,9,0,1,31,9,2,6,1,11,10,9,4,12,5,0,4,0,11,21,19,1,1,5,0,1,17,9,0,2,2
"Ant202",18,0,7,7,0,6,0,0,14,23,1,0,36,0,0,1,2,0,0,0,2,4,1,2,21,16,2,2,0,0,19,8,1,0,0,10,6,9,0,1,2,1,7,0,3,23,7,0,0,5,0,0,13,10,0,0,1
"Ant209",3,0,3,0,0,0,2,0,0,0,4,0,2,0,0,0,5,1,1,0,2,0,7,1,3,1,4,8,1,8,3,3,5,0,0,0,5,0,2,0,3,0,3,1,1,1,4,2,0,2,1,5,4,2,3,0,2
"Ant268",3,3,7,0,1,1,3,4,1,0,4,7,5,1,0,0,9,6,4,0,4,1,4,7,6,0,12,6,2,2,2,12,2,1,2,1,11,6,9,0,2,2,1,0,3,5,16,0,0,14,2,1,1,0,1,3,5
"Ant308",7,3,4,2,4,4,0,4,0,1,0,3,18,2,5,9,0,2,4,0,3,1,0,3,5,3,4,16,4,4,5,4,9,0,0,0,4,0,3,0,6,6,6,5,12,12,1,3,0,13,0,2,4,0,4,17,12
"Ant311",7,4,0,1,13,2,11,4,0,0,8,7,0,0,1,6,2,0,3,1,15,0,1,29,0,0,10,23,9,4,0,12,7,9,18,1,14,0,5,0,3,11,14,20,25,4,7,3,0,8,1,5,2,0,7,1,4
"Ant620",7,24,5,0,6,0,1,25,0,0,3,11,0,0,1,4,4,3,0,0,1,1,13,2,1,1,14,15,8,19,1,4,1,6,5,0,16,0,1,0,7,3,0,15,14,6,0,5,0,3,27,1,1,0,5,11,2
"Ant0",0,0,0,0,1,0,8,1,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,4,5,0,0,0,0,23,0,0,0,0,0,0,7,5,0,1,0,0,0,2,0,1,23,0,0,0,0,6,0
