"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant260",0,1,5,28,0,1,1,2,34,8,6,10,8,2,0,4,11,8,4,85,5,9,0,27,4,2,0,0,19,17,45,2,60,1,2,74,1,4,20,2,0,1
"Ant52",1,0,2,3,17,2,12,0,2,3,6,5,5,9,0,0,2,5,4,1,5,0,10,13,6,2,4,1,0,1,3,0,0,3,3,0,0,11,3,6,0,10
"Ant6",5,2,0,13,1,1,1,2,2,1,13,2,4,0,1,2,5,8,16,8,8,0,5,1,11,2,36,0,0,15,0,1,0,1,7,0,2,3,15,4,0,9
"Ant7",28,3,13,0,0,1,0,0,27,2,2,2,6,1,0,2,5,1,7,15,2,4,0,9,5,0,1,0,12,6,30,0,35,2,0,30,0,1,20,0,1,3
"Ant9",0,17,1,0,0,9,16,9,4,1,0,1,0,1,2,2,0,6,5,1,3,15,18,0,12,2,2,9,1,5,3,1,0,2,18,0,0,5,1,6,5,5
"Ant19",1,2,1,1,9,0,3,7,0,4,0,0,7,5,0,0,1,1,21,1,3,0,4,1,0,5,4,0,0,0,0,2,0,7,1,0,0,6,0,1,0,4
"Ant26",1,12,1,0,16,3,0,2,3,2,0,2,0,2,0,1,2,4,5,3,0,1,11,4,1,1,2,4,0,1,0,23,0,1,3,0,0,2,1,11,1,8
"Ant64",2,0,2,0,9,7,2,0,0,0,1,0,0,1,0,6,0,6,3,0,0,8,2,5,0,18,1,33,0,2,0,17,0,17,0,0,0,1,3,1,27,1
"Ant196",34,2,2,27,4,0,3,0,0,2,12,15,1,2,0,4,24,0,3,23,7,8,0,3,6,1,7,1,26,16,19,0,29,0,1,44,0,1,19,0,2,1
"Ant209",8,3,1,2,1,4,2,0,2,0,2,4,5,1,0,2,0,7,0,4,2,3,0,4,6,11,1,0,9,4,0,0,0,1,0,0,0,3,4,1,0,3
"Ant268",6,6,13,2,0,0,0,1,12,2,0,0,13,8,0,6,20,21,6,1,8,11,0,4,10,2,0,0,1,4,3,0,0,0,0,0,0,4,5,0,11,7
"Ant308",10,5,2,2,1,0,2,0,15,4,0,0,4,1,0,1,9,17,8,4,9,0,0,10,5,2,1,0,0,25,0,2,0,0,1,0,0,2,20,0,2,2
"Ant311",8,5,4,6,0,7,0,0,1,5,13,4,0,0,0,5,14,15,4,3,17,1,0,7,7,11,1,0,6,15,3,0,0,1,3,0,0,2,6,0,0,0
"Ant620",2,9,0,1,1,5,2,1,2,1,8,1,0,0,1,11,2,18,1,2,1,5,3,4,2,2,3,1,0,1,0,4,0,10,13,0,0,4,1,3,11,8
"Ant0",0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,3,3,0,2,0,3,0,0,1,0,0,0,0,0,0,0,2,0,2,5,1
"Ant13",4,0,2,2,2,0,1,6,4,2,6,1,5,11,0,0,8,11,4,8,5,24,0,1,5,9,1,0,4,1,2,0,0,1,0,0,0,1,8,0,1,4
"Ant23",11,2,5,5,0,1,2,0,24,0,20,9,14,2,0,8,0,0,2,3,7,9,2,6,3,3,4,1,13,20,19,0,23,0,6,38,2,2,3,0,3,2
"Ant27",8,5,8,1,6,1,4,6,0,7,21,17,15,18,6,11,0,0,4,7,13,23,11,5,2,5,11,5,0,9,0,12,0,13,28,0,0,21,2,12,13,18
"Ant29",4,4,16,7,5,21,5,3,3,0,6,8,4,1,0,4,2,4,0,5,3,0,4,8,6,2,2,8,0,8,0,2,0,5,19,0,0,13,15,1,10,9
"Ant55",85,1,8,15,1,1,3,0,23,4,1,4,3,2,0,8,3,7,5,0,2,2,0,25,4,6,1,0,30,15,2,0,0,1,0,2,0,2,13,1,1,1
"Ant91",5,5,8,2,3,3,0,0,7,2,8,9,17,1,1,5,7,13,3,2,0,19,6,11,22,0,2,5,1,5,2,0,0,8,9,0,0,4,12,3,15,4
"Ant97",9,0,0,4,15,0,1,8,8,3,11,0,1,5,3,24,9,23,0,2,19,0,2,10,4,5,0,6,0,0,23,0,0,6,10,0,2,2,2,7,29,13
"Ant109",0,10,5,0,18,4,11,2,0,0,0,0,0,3,3,0,2,11,4,0,6,2,0,0,7,4,11,11,0,0,0,3,0,0,12,0,0,7,0,18,5,7
"Ant113",27,13,1,9,0,1,4,5,3,4,4,10,7,4,0,1,6,5,8,25,11,10,0,0,8,3,5,1,6,45,2,0,3,4,1,0,0,5,10,0,1,3
"Ant124",4,6,11,5,12,0,1,0,6,6,10,5,7,2,2,5,3,2,6,4,22,4,7,8,0,3,5,16,0,9,0,8,0,15,4,0,0,5,7,4,12,12
"Ant131",2,2,2,0,2,5,1,18,1,11,2,2,11,2,0,9,3,5,2,6,0,5,4,3,3,0,1,0,5,0,0,1,0,3,2,0,0,0,2,2,2,13
"Ant137",0,4,36,1,2,4,2,1,7,1,0,1,1,3,3,1,4,11,2,1,2,0,11,5,5,1,0,1,0,5,0,0,0,2,6,0,1,5,4,4,0,11
"Ant140",0,1,0,0,9,0,4,33,1,0,0,0,0,1,0,0,1,5,8,0,5,6,11,1,16,0,1,0,0,0,2,0,0,3,3,0,0,0,0,1,3,33
"Ant149",19,0,0,12,1,0,0,0,26,9,1,0,6,0,0,4,13,0,0,30,1,0,0,6,0,5,0,0,0,3,47,0,20,1,0,85,0,0,0,0,0,0
"Ant159",17,1,15,6,5,0,1,2,16,4,4,25,15,1,1,1,20,9,8,15,5,0,0,45,9,0,5,0,3,0,1,2,5,3,0,0,1,5,23,3,10,7
"Ant169",45,3,0,30,3,0,0,0,19,0,3,0,3,0,0,2,19,0,0,2,2,23,0,2,0,0,0,2,47,1,0,0,45,1,0,49,0,0,4,0,3,0
"Ant190",2,0,1,0,1,2,23,17,0,0,0,2,0,4,0,0,0,12,2,0,0,0,3,0,8,1,0,0,0,2,0,0,0,7,4,0,0,0,0,1,11,4
"Ant195",60,0,0,35,0,0,0,0,29,0,0,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,20,5,45,0,0,0,0,84,0,0,0,0,0,0
"Ant232",1,3,1,2,2,7,1,17,0,1,0,0,1,10,0,1,0,13,5,1,8,6,0,4,15,3,2,3,1,3,1,7,0,0,8,0,0,2,2,3,7,25
"Ant263",2,3,7,0,18,1,3,0,1,0,0,1,3,13,0,0,6,28,19,0,9,10,12,1,4,2,6,3,0,0,0,4,0,8,0,0,0,14,2,10,16,10
"Ant332",74,0,0,30,0,0,0,0,44,0,0,0,0,0,0,0,38,0,0,2,0,0,0,0,0,0,0,0,85,0,49,0,84,0,0,0,0,0,0,0,0,0
"Ant380",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ant458",4,11,3,1,5,6,2,1,1,3,4,2,2,4,2,1,2,21,13,2,4,2,7,5,5,0,5,0,0,5,0,0,0,2,14,0,0,0,1,6,11,7
"Ant492",20,3,15,20,1,0,1,3,19,4,5,20,6,1,0,8,3,2,15,13,12,2,0,10,7,2,4,0,0,23,4,0,0,2,2,0,0,1,0,0,2,2
"Ant507",2,6,4,0,6,1,11,1,0,1,0,0,0,3,2,0,0,12,1,1,3,7,18,0,4,2,4,1,0,3,0,1,0,3,10,0,0,6,0,0,3,6
"Ant530",0,0,0,1,5,0,1,27,2,0,11,2,0,11,5,1,3,13,10,1,15,29,5,1,12,2,0,3,0,10,3,11,0,7,16,0,0,11,2,3,0,1
