"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant260",0,2,18,53,4,4,0,1,40,3,4,9,15,4,0,3,47,2,3,15,8,0,1,28,3,0,11,1,26,27,43,5,14,4,4,19,0,3,6,6,5,1
"Ant52",2,0,1,0,2,1,0,6,0,0,1,15,0,22,0,1,1,6,16,0,3,11,0,0,0,1,3,2,6,1,0,7,0,2,4,5,0,3,9,1,22,12
"Ant6",18,1,0,2,0,4,1,0,17,5,5,0,2,0,0,7,16,7,1,12,8,0,0,25,7,0,3,1,105,19,0,0,0,19,4,15,0,2,16,2,2,7
"Ant7",53,0,2,0,0,0,0,1,22,0,0,0,0,0,0,1,15,1,0,31,0,0,0,1,0,0,0,0,5,2,17,0,40,0,2,3,0,0,0,0,0,0
"Ant9",4,2,0,0,0,0,10,13,0,0,0,0,2,1,1,3,0,0,1,0,0,29,2,0,1,7,0,0,1,0,0,5,0,1,3,2,0,0,0,0,0,0
"Ant19",4,1,4,0,0,0,0,0,0,4,14,0,5,0,0,1,0,0,0,0,9,1,0,4,3,0,1,3,1,4,0,0,0,16,1,7,0,0,10,14,0,4
"Ant26",0,0,1,0,10,0,0,1,0,0,3,0,0,1,18,1,0,0,4,0,1,4,20,2,0,3,2,13,0,0,0,0,0,0,0,0,0,1,0,0,24,1
"Ant64",1,6,0,1,13,0,1,0,2,0,3,1,3,30,0,0,0,0,3,0,0,32,10,0,3,4,1,2,1,0,0,2,0,0,15,4,0,0,0,0,1,1
"Ant196",40,0,17,22,0,0,0,2,0,1,9,4,6,0,0,2,20,6,2,24,17,1,0,16,9,0,9,0,81,13,14,1,25,2,0,3,0,8,9,1,3,3
"Ant209",3,0,5,0,0,4,0,0,1,0,4,1,2,0,0,8,0,2,8,0,6,0,0,2,0,8,1,1,6,5,0,0,0,8,0,2,0,6,1,0,2,11
"Ant268",4,1,5,0,0,14,3,3,9,4,0,4,8,3,0,4,12,4,2,4,14,14,0,9,6,11,13,2,26,3,0,0,0,0,0,15,0,7,6,3,0,8
"Ant308",9,15,0,0,0,0,0,1,4,1,4,0,4,7,0,4,7,2,7,8,4,18,6,5,12,2,3,0,13,7,0,8,0,2,2,15,0,3,10,0,3,3
"Ant311",15,0,2,0,2,5,0,3,6,2,8,4,0,0,0,5,7,0,0,12,4,0,0,13,1,2,7,0,25,20,0,0,0,0,1,11,3,4,6,0,0,1
"Ant620",4,22,0,0,1,0,1,30,0,0,3,7,0,0,2,0,0,2,0,0,10,6,20,8,0,0,1,0,0,0,0,12,0,17,16,1,0,0,0,1,1,0
"Ant0",0,0,0,0,1,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant13",3,1,7,1,3,1,1,0,2,8,4,4,5,0,0,0,0,0,7,1,6,1,0,10,1,2,9,2,7,0,0,0,0,8,0,1,0,1,4,5,2,3
"Ant23",47,1,16,15,0,0,0,0,20,0,12,7,7,0,0,0,0,1,1,10,5,4,0,7,1,0,2,3,26,12,13,2,19,13,2,8,0,0,7,0,0,3
"Ant27",2,6,7,1,0,0,0,0,6,2,4,2,0,2,0,0,1,0,10,4,9,1,0,0,22,14,2,2,16,10,0,0,0,9,41,3,0,2,1,2,7,15
"Ant29",3,16,1,0,1,0,4,3,2,8,2,7,0,0,0,7,1,10,0,1,7,17,0,2,6,5,9,0,26,5,0,1,0,2,2,3,0,15,2,21,14,4
"Ant55",15,0,12,31,0,0,0,0,24,0,4,8,12,0,0,1,10,4,1,0,0,1,0,11,8,0,4,1,32,5,1,1,5,4,0,0,0,0,18,3,0,0
"Ant91",8,3,8,0,0,9,1,0,17,6,14,4,4,10,0,6,5,9,7,0,0,9,0,17,19,11,17,8,26,8,0,0,0,1,2,17,1,5,12,2,8,23
"Ant97",0,11,0,0,29,1,4,32,1,0,14,18,0,6,5,1,4,1,17,1,9,0,5,4,1,2,3,10,3,0,0,14,0,3,13,5,0,2,7,0,8,2
"Ant109",1,0,0,0,2,0,20,10,0,0,0,6,0,20,0,0,0,0,0,0,0,5,0,0,0,14,0,0,1,0,0,0,0,0,27,0,0,0,0,0,0,3
"Ant113",28,0,25,1,0,4,2,0,16,2,9,5,13,8,0,10,7,0,2,11,17,4,0,0,5,0,10,0,63,25,0,3,0,15,4,19,2,2,19,3,8,2
"Ant124",3,0,7,0,1,3,0,3,9,0,6,12,1,0,0,1,1,22,6,8,19,1,0,5,0,10,9,1,22,25,0,0,0,8,1,6,0,6,25,7,0,21
"Ant131",0,1,0,0,7,0,3,4,0,8,11,2,2,0,5,2,0,14,5,0,11,2,14,0,10,0,5,4,0,1,0,1,0,0,4,0,0,2,5,0,1,8
"Ant137",11,3,3,0,0,1,2,1,9,1,13,3,7,1,0,9,2,2,9,4,17,3,0,10,9,5,0,0,9,10,0,2,0,3,5,7,0,2,13,20,5,4
"Ant140",1,2,1,0,0,3,13,2,0,1,2,0,0,0,1,2,3,2,0,1,8,10,0,0,1,4,0,0,2,0,0,2,0,0,4,0,0,3,5,5,22,3
"Ant149",26,6,105,5,1,1,0,1,81,6,26,13,25,0,0,7,26,16,26,32,26,3,1,63,22,0,9,2,0,49,19,4,29,15,2,48,2,11,25,1,4,21
"Ant159",27,1,19,2,0,4,0,0,13,5,3,7,20,0,0,0,12,10,5,5,8,0,0,25,25,1,10,0,49,0,0,0,0,1,0,10,0,1,12,0,7,9
"Ant169",43,0,0,17,0,0,0,0,14,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,11,0,0,0,0,0,0,0,0,0
"Ant190",5,7,0,0,5,0,0,2,1,0,0,8,0,12,0,0,2,0,1,1,0,14,0,3,0,1,2,2,4,0,0,0,0,0,3,2,0,0,0,0,8,0
"Ant195",14,0,0,40,0,0,0,0,25,0,0,0,0,0,0,0,19,0,0,5,0,0,0,0,0,0,0,0,29,0,11,0,0,0,0,0,0,0,0,0,0,0
"Ant232",4,2,19,0,1,16,0,0,2,8,0,2,0,17,0,8,13,9,2,4,1,3,0,15,8,0,3,0,15,1,0,0,0,0,3,9,0,0,12,2,1,26
"Ant263",4,4,4,2,3,1,0,15,0,0,0,2,1,16,0,0,2,41,2,0,2,13,27,4,1,4,5,4,2,0,0,3,0,3,0,23,0,0,1,0,6,1
"Ant332",19,5,15,3,2,7,0,4,3,2,15,15,11,1,0,1,8,3,3,0,17,5,0,19,6,0,7,0,48,10,0,2,0,9,23,0,1,15,20,1,11,10
"Ant380",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0
"Ant458",3,3,2,0,0,0,1,0,8,6,7,3,4,0,0,1,0,2,15,0,5,2,0,2,6,2,2,3,11,1,0,0,0,0,0,15,0,0,2,0,7,1
"Ant492",6,9,16,0,0,10,0,0,9,1,6,10,6,0,0,4,7,1,2,18,12,7,0,19,25,5,13,5,25,12,0,0,0,12,1,20,2,2,0,9,4,2
"Ant507",6,1,2,0,0,14,0,0,1,0,3,0,0,1,0,5,0,2,21,3,2,0,0,3,7,0,20,5,1,0,0,0,0,2,0,1,0,0,9,0,2,1
"Ant530",5,22,2,0,0,0,24,1,3,2,0,3,0,1,0,2,0,7,14,0,8,8,0,8,0,1,5,22,4,7,0,8,0,1,6,11,0,7,4,2,0,7
"Ant593",1,12,7,0,0,4,1,1,3,11,8,3,1,0,0,3,3,15,4,0,23,2,3,2,21,8,4,3,21,9,0,0,0,26,1,10,0,1,2,1,7,0
