"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant260",0,3,31,38,1,14,2,3,23,47,1,6,31,24,1,24,14,11,2,0,4,39,1,28,24,23,11,19,0,0,47,8,0,5,6,112,45,27,0,62,9,0,29,0,6,25,41,1,0,12,2,8,20,22,1,1,9
"Ant52",3,0,1,1,2,0,2,1,0,0,3,1,1,0,3,0,1,0,1,1,1,0,4,0,4,0,7,4,0,5,0,0,0,4,1,0,2,0,3,0,3,2,0,0,5,0,0,1,0,5,1,0,0,0,3,0,4
"Ant6",31,1,0,0,0,2,0,0,5,8,1,1,14,9,2,4,4,0,2,0,1,0,6,0,18,7,2,0,0,3,8,4,1,3,1,0,3,3,2,0,0,0,0,0,2,2,17,0,1,2,1,3,2,0,0,0,1
"Ant7",38,1,0,0,0,1,1,3,10,7,0,0,19,1,0,0,2,0,0,0,0,7,0,2,12,12,4,0,0,0,1,2,0,2,0,46,2,29,0,31,0,0,36,0,0,6,7,0,0,0,0,0,2,5,0,1,1
"Ant9",1,2,0,0,0,3,0,15,0,0,25,0,0,0,1,0,4,3,26,1,0,0,23,17,4,0,1,13,21,14,0,7,9,17,5,6,3,0,2,0,16,10,0,5,4,0,0,2,0,8,6,5,0,0,2,3,14
"Ant14",14,0,2,1,3,0,4,12,0,1,2,1,10,1,0,3,3,1,2,1,4,9,3,7,10,16,15,2,0,0,7,7,0,12,3,4,7,3,4,0,6,0,0,0,8,11,19,1,0,17,0,1,8,0,0,8,4
"Ant19",2,2,0,1,0,4,0,0,0,1,4,18,1,1,13,1,6,7,1,11,1,5,10,10,4,3,2,0,3,0,1,2,4,5,4,0,4,1,1,0,3,1,0,20,6,6,2,3,0,4,6,7,3,0,0,1,20
"Ant26",3,1,0,3,15,12,0,0,0,1,8,2,2,0,4,1,0,0,28,2,1,0,16,3,0,1,9,6,9,40,0,3,5,8,4,1,3,3,1,0,20,20,0,21,3,0,0,2,0,4,5,7,0,0,9,6,16
"Ant30",23,0,5,10,0,0,0,0,0,22,0,0,17,11,0,0,0,0,0,0,0,13,0,4,2,3,1,0,0,0,9,1,0,1,0,22,1,15,0,26,1,2,15,0,0,1,0,0,0,0,0,0,4,4,0,0,0
"Ant60",47,0,8,7,0,1,1,1,22,0,0,0,9,34,1,1,0,0,0,0,4,6,0,4,20,12,9,0,0,0,29,4,0,4,0,12,2,10,0,8,6,0,6,0,4,5,16,0,0,0,2,0,16,12,0,1,0
