"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant127","Ant131","Ant137","Ant140","Ant149","Ant156","Ant159","Ant169","Ant176","Ant190","Ant195","Ant207","Ant215","Ant232","Ant242","Ant257","Ant263","Ant289","Ant324","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant560","Ant593"
"Ant260",0,2,17,32,0,1,5,2,19,5,17,0,1,20,10,1,1,0,7,2,0,0,0,6,0,16,26,11,11,0,0,10,0,0,26,3,0,1,0,0,28,0,0,17,0,0,7,9,0,4,0,15,1,2,0,13,23,0,0,0,7,14,0,6,6,12,11,0,0,7,0
"Ant52",2,0,0,0,20,8,2,28,0,0,0,0,8,1,2,1,26,2,0,0,17,4,14,2,23,15,1,3,0,0,3,1,5,4,0,1,13,4,20,3,0,1,2,0,16,8,0,0,13,2,4,1,4,0,0,0,3,0,0,21,1,0,1,3,2,1,0,1,11,0,6
"Ant6",17,0,0,8,0,0,1,0,0,15,26,0,0,34,5,1,0,0,2,2,0,0,2,0,1,6,16,12,0,0,0,2,0,0,26,9,0,0,6,0,5,2,2,9,0,0,11,5,3,2,0,4,0,8,1,9,6,2,1,0,0,10,0,13,0,0,0,0,1,35,4
"Ant7",32,0,8,0,1,1,1,0,4,13,15,0,0,0,12,0,0,0,1,0,0,0,0,7,1,0,1,13,8,3,0,1,0,0,3,0,0,0,0,0,9,0,0,14,0,0,8,1,0,0,0,8,0,3,0,0,0,0,0,0,0,15,0,6,0,3,23,0,0,0,0
"Ant9",0,20,0,1,0,0,15,24,0,1,2,21,22,7,3,6,0,0,0,0,21,5,22,0,6,1,0,0,0,0,34,7,13,3,0,0,0,14,5,18,0,20,4,0,16,9,0,2,28,6,4,0,3,3,0,2,0,26,0,1,22,0,0,0,2,0,0,9,25,1,32
"Ant14",1,8,0,1,0,0,21,3,0,8,4,1,0,5,3,3,16,1,0,1,14,1,1,0,40,8,6,2,0,1,6,21,1,0,5,2,11,8,7,9,0,4,18,0,3,1,0,8,14,2,0,4,2,22,6,13,6,2,0,1,2,0,1,0,0,0,0,2,0,4,6
"Ant19",5,2,1,1,15,21,0,18,0,0,0,3,1,6,5,3,19,2,0,15,13,0,2,3,18,18,0,1,0,0,10,21,8,4,1,3,13,8,17,2,1,3,7,0,23,13,0,4,0,32,5,0,9,3,0,9,2,1,0,11,19,0,5,0,5,1,0,12,0,5,9
"Ant26",2,28,0,0,24,3,18,0,0,0,0,5,7,2,1,5,10,3,0,15,8,0,7,0,15,2,1,0,0,2,14,2,7,4,4,3,1,9,20,8,0,10,9,0,22,28,0,3,22,22,3,0,20,6,0,3,3,4,0,2,15,0,6,0,2,0,0,9,11,0,10
"Ant30",19,0,0,4,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,0
"Ant38",5,0,15,13,1,8,0,0,0,0,10,0,0,21,18,1,3,2,4,3,0,0,2,1,0,2,24,4,0,2,0,1,0,1,21,1,0,2,0,1,11,0,0,3,0,0,6,7,1,3,0,7,1,0,1,7,3,0,0,0,0,12,0,2,0,11,0,0,0,7,3
"Ant60",17,0,26,15,2,4,0,0,19,10,0,0,0,35,5,4,0,0,2,6,0,0,0,4,0,1,11,10,6,13,0,1,0,0,12,3,1,0,0,1,17,0,3,4,0,0,6,9,0,0,0,7,0,3,2,7,8,0,0,0,0,15,0,3,1,4,7,3,0,1,2
"Ant64",0,0,0,0,21,1,3,5,0,0,0,0,12,1,0,0,3,5,0,1,12,14,2,0,3,5,0,0,0,0,9,8,2,0,0,1,12,33,0,2,0,29,4,0,15,4,0,2,11,11,16,0,0,0,0,0,0,3,0,1,4,0,4,0,2,0,0,3,20,0,5
"Ant158",1,8,0,0,22,0,1,7,0,0,0,12,0,0,0,1,7,10,0,0,8,0,14,1,7,3,0,0,0,0,29,5,31,13,1,0,1,15,6,25,0,7,1,0,22,1,0,0,10,4,32,0,2,1,0,2,0,38,0,0,1,1,8,0,1,0,0,1,9,0,3
