"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant260",0,1,3,12,4,2,1,2,15,1,6,2,4,0,0,1,23,2,1,25,1,11,0,10,4,0,5,0,12,17,40,1,22,5,1,22,0,1,2,4,0,0
"Ant52",1,0,2,0,0,6,3,4,1,0,3,2,2,3,0,2,2,28,1,2,6,1,1,2,2,11,5,0,1,0,0,1,0,9,0,2,0,0,1,10,8,4
"Ant6",3,2,0,0,2,3,2,4,4,4,3,9,10,0,2,0,7,7,0,8,11,0,0,12,5,9,6,0,74,13,0,5,0,8,3,8,0,4,28,0,3,14
"Ant7",12,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,32,0,1,3,0,0,0,12,0,0,1,0,10,0,23,0,33,0,0,0,0,0,0,0,0,0
"Ant9",4,0,2,1,0,0,9,1,0,0,0,0,0,7,0,5,2,0,3,0,1,1,0,5,0,1,6,0,0,4,0,0,0,0,2,0,0,0,0,0,4,4
"Ant19",2,6,3,0,0,0,5,0,0,1,1,2,0,22,2,3,1,20,5,1,2,12,0,0,3,28,2,0,1,2,0,0,0,1,0,0,0,1,3,2,30,8
"Ant26",1,3,2,0,9,5,0,1,0,1,1,1,7,8,7,1,7,2,22,0,3,2,0,3,1,0,13,7,0,3,0,0,0,1,3,1,0,1,13,1,9,7
"Ant64",2,4,4,0,1,0,1,0,1,1,4,5,1,0,1,0,2,3,1,3,6,0,33,0,3,10,0,5,0,5,0,0,0,1,0,2,0,0,0,0,4,3
"Ant196",15,1,4,21,0,0,0,1,0,0,4,2,0,0,0,0,20,0,0,3,6,0,0,20,3,0,0,0,18,1,25,0,34,2,0,1,0,0,2,0,0,0
"Ant209",1,0,4,0,0,1,1,1,0,0,0,4,22,0,0,2,0,6,2,2,3,2,0,5,4,1,2,0,1,1,0,0,0,12,0,4,0,1,0,1,3,1
