"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant149","Ant153","Ant156","Ant159","Ant169","Ant176","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant219","Ant232","Ant242","Ant255","Ant257","Ant263","Ant289","Ant318","Ant324","Ant332","Ant342","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant552","Ant560","Ant564","Ant593"
"Ant0",0,8,4,1,0,9,2,7,0,0,0,0,6,2,0,1,0,11,3,2,7,8,0,1,1,11,2,0,0,1,0,3,10,17,15,16,0,1,3,0,0,2,13,4,0,0,0,1,0,5,0,0,8,1,1,7,6,4,6,0,0,1,1,7,3,0,0,0,17,0,0,7,1,5,0,3,1,0,0,8,3,0,1,10
"Ant13",0,7,4,1,0,9,2,3,8,0,1,4,4,10,1,2,14,28,0,1,6,7,1,0,0,10,20,1,0,1,0,13,5,0,6,56,2,1,4,2,8,8,10,0,2,13,11,3,0,19,0,0,0,0,2,11,6,4,3,9,0,9,26,7,5,6,0,5,31,0,2,6,4,10,1,0,0,0,6,6,2,0,11,4
"Ant23",23,1,6,4,14,2,7,7,0,13,0,8,3,3,31,24,0,3,1,9,0,3,1,0,0,6,3,9,32,32,0,1,12,1,0,6,16,0,6,2,5,13,6,1,48,0,1,25,30,0,14,1,7,14,3,2,5,20,3,9,2,3,1,2,0,14,26,6,0,1,9,3,20,3,12,13,18,2,3,0,3,10,1,0
"Ant27",0,11,24,0,0,6,3,22,14,0,0,0,21,10,10,4,8,49,6,7,8,19,11,10,6,0,9,1,0,3,5,13,21,10,16,9,21,8,1,7,10,14,43,25,1,32,14,21,0,3,3,2,24,2,6,7,19,9,39,2,0,16,36,36,6,0,0,3,21,0,16,36,2,11,3,9,2,0,16,6,10,0,6,49
"Ant29",1,7,6,6,0,7,1,6,11,3,3,5,16,6,2,6,1,6,6,11,29,24,2,20,3,9,0,7,2,0,17,10,41,1,6,5,17,17,15,6,24,11,22,3,13,5,10,26,1,2,4,0,19,5,11,0,21,14,0,13,1,28,3,10,2,0,0,1,5,0,17,16,9,5,2,0,6,0,1,2,10,1,3,4
"Ant42",22,0,3,22,4,0,3,0,0,9,9,21,0,0,16,8,0,2,1,8,0,0,0,1,9,1,7,0,19,10,1,4,2,0,4,0,5,8,5,0,0,3,0,0,11,0,1,0,11,0,60,0,10,7,9,0,2,2,1,1,2,1,4,0,1,9,4,3,1,3,1,1,16,0,14,0,4,0,0,0,8,13,0,0
"Ant43",31,3,1,9,3,0,0,0,0,14,4,14,1,1,27,22,0,1,0,2,4,2,0,0,32,0,2,19,0,28,0,0,11,0,3,1,1,11,4,0,2,2,1,0,53,3,0,5,10,0,13,0,5,18,12,0,4,1,0,10,5,0,0,0,0,27,20,5,1,0,1,0,12,0,35,9,9,3,0,0,1,14,0,0
"Ant55",74,0,2,4,5,2,3,0,0,9,4,11,4,0,25,16,2,0,0,8,1,1,1,1,32,3,0,10,28,0,0,3,0,0,5,3,6,3,0,1,4,8,12,0,12,4,0,14,23,1,8,0,0,28,5,0,0,3,0,11,0,0,0,0,0,1,12,10,0,0,1,0,9,5,2,0,8,1,1,1,6,2,0,0
"Ant63",6,5,3,9,0,7,3,4,0,3,8,11,0,0,5,5,1,6,1,16,6,2,0,0,0,5,17,1,0,0,0,16,9,0,3,10,2,1,7,1,18,2,2,5,2,1,3,5,4,2,8,0,11,12,12,0,32,14,3,4,4,7,9,1,5,6,0,3,3,0,16,4,7,2,0,0,2,0,0,1,19,4,0,2
"Ant91",1,9,5,2,2,11,16,5,22,0,0,2,6,9,9,4,2,26,7,1,17,15,3,13,1,13,10,4,0,3,16,0,22,10,18,45,14,7,7,5,26,4,39,22,0,7,5,12,0,5,2,7,11,1,12,5,11,0,18,2,1,7,13,25,14,11,0,1,17,0,24,10,0,13,2,5,0,0,11,25,1,2,30,10
"Ant97",1,10,5,2,0,3,6,4,10,0,6,1,10,1,20,15,11,31,11,6,1,25,10,5,12,21,41,2,11,0,9,22,0,12,11,0,13,1,5,44,17,10,18,7,9,15,20,28,0,5,13,9,18,17,27,20,11,18,1,6,0,11,11,6,12,1,0,1,22,0,6,26,10,3,61,9,14,0,0,11,6,7,16,25
"Ant98",0,16,11,0,0,26,3,2,6,0,0,0,11,32,0,0,25,1,22,2,1,13,17,0,1,10,1,0,0,0,0,10,12,0,1,20,1,2,5,4,10,3,4,25,0,5,7,10,0,42,0,26,0,0,17,4,0,3,20,0,0,5,4,2,2,2,0,0,41,0,0,15,0,7,0,5,0,0,9,27,4,1,37,1
"Ant100",2,6,9,6,3,6,5,4,5,6,10,8,13,1,4,8,0,9,2,20,13,5,15,6,0,16,6,4,3,5,3,18,11,1,0,1,7,15,13,1,8,27,11,4,4,4,2,12,2,1,4,1,5,1,11,3,9,8,12,0,1,5,2,25,0,6,0,6,2,0,2,21,8,2,1,3,4,0,0,10,7,4,7,29
"Ant109",0,18,8,1,0,21,3,2,38,0,0,2,24,14,1,1,21,3,1,3,9,5,16,56,6,9,5,0,1,3,10,45,0,20,1,0,3,4,6,20,21,25,29,12,0,12,9,5,0,12,2,19,3,4,3,13,5,6,3,3,3,4,0,22,0,3,0,3,28,0,3,2,2,21,1,3,1,0,9,26,7,0,1,1
"Ant113",14,5,14,3,2,5,11,9,2,2,2,3,3,1,15,9,1,22,3,17,8,17,0,2,16,21,17,5,1,6,2,14,13,1,7,3,0,6,8,5,5,8,7,1,3,19,0,34,0,6,14,2,5,11,7,5,10,9,0,0,4,12,8,18,3,1,1,21,5,0,2,7,24,8,4,8,4,0,1,0,16,7,0,13
"Ant115",3,1,13,6,4,1,4,8,1,3,4,23,0,8,25,20,0,7,6,10,8,4,1,1,0,8,17,8,11,3,1,7,1,2,15,4,6,0,6,0,2,5,1,0,1,0,3,22,8,4,7,1,7,21,5,0,7,3,0,2,0,1,2,3,0,13,0,15,1,0,5,1,11,5,5,11,4,1,0,0,9,9,5,6
"Ant124",0,2,12,1,2,2,0,7,2,3,3,1,1,17,7,2,1,5,12,4,7,1,3,4,6,1,15,5,4,0,7,7,5,5,13,6,8,6,0,6,23,8,15,3,2,3,9,13,0,3,2,21,10,1,19,23,10,10,0,3,4,4,3,11,1,12,0,3,8,0,5,7,0,10,0,19,1,0,4,4,9,8,1,1
"Ant127",0,4,6,0,0,4,0,5,8,0,0,0,14,4,17,2,12,12,9,3,0,5,0,2,2,7,6,0,0,1,1,5,44,4,1,20,5,0,6,0,15,7,19,2,0,16,22,7,0,7,0,6,25,0,6,25,7,22,3,12,0,17,47,16,1,2,3,3,18,0,6,10,2,14,10,0,0,0,0,11,3,0,11,4
"Ant131",0,10,20,0,0,26,6,2,21,1,2,2,12,4,4,1,13,10,0,2,10,7,0,8,5,10,24,0,2,4,18,26,17,10,8,21,5,2,23,15,0,25,18,9,0,3,25,5,0,8,1,2,4,8,7,10,28,13,1,6,0,6,12,19,0,2,0,5,9,0,6,24,0,29,1,2,2,0,2,7,8,0,12,6
"Ant137",6,2,16,3,0,10,3,9,6,0,4,6,18,19,11,4,0,19,2,14,7,17,2,8,13,14,11,3,2,8,2,4,10,3,27,25,8,5,8,7,25,0,15,0,3,36,5,16,1,14,8,3,18,0,5,3,23,18,8,7,8,8,24,9,9,13,0,2,12,0,0,4,2,15,3,24,4,0,1,1,1,8,7,0
"Ant139",3,10,17,0,3,32,21,15,21,0,4,7,23,8,5,3,14,14,23,15,37,21,13,10,6,43,22,0,1,12,2,39,18,4,11,29,7,1,15,19,18,15,0,35,3,16,20,28,0,6,5,12,29,1,7,31,18,17,14,3,0,21,17,18,12,4,0,5,22,0,5,30,5,29,5,15,4,0,14,20,8,1,15,6
"Ant140",0,5,4,0,2,31,2,5,2,0,0,0,14,15,0,0,2,1,15,0,2,11,4,0,1,25,3,0,0,0,5,22,7,25,4,12,1,0,3,2,9,0,35,0,0,18,1,0,0,14,0,3,0,0,3,23,0,4,12,1,0,0,4,19,1,0,0,0,9,0,17,12,0,20,0,4,0,0,13,52,0,0,2,18
"Ant149",38,0,0,2,26,1,1,1,0,1,1,4,3,5,20,14,0,1,0,9,0,2,0,2,48,1,13,11,53,12,2,0,9,0,4,0,3,1,2,0,0,3,3,0,0,5,0,2,44,4,16,0,11,40,5,0,0,1,0,22,9,3,11,0,3,8,13,19,3,0,0,4,38,1,2,10,8,0,0,4,7,12,2,0
"Ant153",3,3,5,3,6,25,8,5,6,0,0,0,24,20,12,1,7,2,0,6,7,25,0,13,0,32,5,0,3,4,1,7,15,5,4,12,19,0,3,16,3,36,16,18,5,0,8,14,3,16,3,8,13,5,4,4,2,8,0,3,0,4,23,17,3,0,0,2,13,0,0,18,0,23,0,62,10,0,1,3,8,0,12,3
"Ant156",0,10,15,0,0,10,0,5,10,0,3,0,0,5,0,1,5,20,3,18,23,10,0,11,1,14,10,1,0,0,3,5,20,7,2,9,0,3,9,22,25,5,20,1,0,8,0,15,1,7,2,7,3,0,1,7,10,6,26,0,0,1,12,13,4,4,0,3,26,0,7,4,0,9,0,7,18,0,0,79,5,0,5,17
"Ant159",4,3,14,0,3,19,0,22,9,2,14,9,13,5,4,6,3,23,0,18,18,27,1,3,25,21,26,0,5,14,5,12,28,10,12,5,34,22,13,7,5,16,28,0,2,14,15,0,1,10,4,5,10,13,20,9,17,14,5,9,1,10,5,5,2,1,0,2,20,0,5,5,19,16,6,7,6,0,0,3,8,11,1,16
"Ant169",23,0,0,3,14,0,0,0,0,7,6,9,0,0,84,19,0,0,0,1,0,1,0,0,30,0,1,11,10,23,4,0,0,0,2,0,0,8,0,0,0,1,0,0,44,3,1,1,0,1,13,0,1,23,0,0,0,2,0,3,5,3,2,0,0,2,15,0,1,0,0,0,7,0,0,13,32,2,0,0,1,5,0,0
"Ant176",0,7,1,1,0,22,1,6,24,0,0,0,8,14,3,0,13,0,0,0,3,19,5,19,0,3,2,0,0,1,2,5,5,42,1,12,6,4,3,7,8,14,6,14,4,16,7,10,1,0,0,15,4,0,19,9,3,2,0,0,0,4,1,9,0,4,0,1,6,0,5,6,0,28,0,0,1,0,1,19,0,0,4,0
"Ant186",27,0,3,32,28,0,6,0,0,22,12,22,0,0,6,19,0,1,1,10,0,4,0,0,14,3,4,60,13,8,8,2,13,0,4,2,14,7,2,0,1,8,5,0,16,3,2,4,13,0,0,0,5,11,7,0,7,4,1,4,20,1,1,1,0,13,5,16,0,0,5,2,25,4,11,3,11,5,1,0,16,8,0,1
"Ant190",0,5,17,0,0,13,0,0,20,0,0,0,7,2,4,0,28,2,9,2,0,2,0,0,1,2,0,0,0,0,0,7,9,26,1,19,2,1,21,6,2,3,12,3,0,8,7,5,0,15,0,0,7,0,3,14,3,10,18,0,0,7,0,4,0,0,0,0,20,0,5,4,0,3,1,14,0,0,5,9,0,0,6,0
"Ant195",1,4,16,5,5,8,5,1,24,0,0,2,1,3,3,28,2,5,0,24,5,5,8,0,7,24,19,10,5,0,11,11,18,0,5,3,5,7,10,25,4,18,29,0,11,13,3,10,1,4,5,7,0,6,14,1,20,1,2,7,0,20,6,1,2,6,0,6,13,0,22,5,5,4,4,1,1,0,8,0,12,1,1,7
"Ant198",23,4,1,8,8,0,1,0,0,1,5,8,0,2,22,20,0,5,0,6,0,3,1,0,14,2,5,7,18,28,12,1,17,0,1,4,11,21,1,0,8,0,1,0,40,5,0,13,23,0,11,0,6,0,6,0,9,1,0,9,8,0,1,0,0,16,18,0,2,0,5,0,25,4,1,6,20,5,8,0,15,7,0,1
"Ant207",3,9,11,13,4,6,10,2,3,2,4,14,1,5,7,34,2,9,6,9,7,16,1,2,3,6,11,9,12,5,12,12,27,17,11,3,7,5,19,6,7,5,7,3,5,4,1,20,0,19,7,3,14,6,0,2,10,11,3,4,3,9,7,3,2,25,4,10,11,0,9,19,8,2,4,8,11,0,1,1,19,7,5,6
"Ant215",0,15,6,0,0,22,7,9,26,0,0,0,16,0,0,2,26,0,3,0,8,25,7,11,2,7,0,0,0,0,0,5,20,4,3,13,5,0,23,25,10,3,31,23,0,4,7,9,0,9,0,14,1,0,2,0,5,5,9,7,3,9,13,3,0,5,0,0,2,0,4,23,0,14,2,3,0,0,4,49,1,2,36,13
"Ant219",4,6,21,11,1,3,11,6,15,4,7,3,5,2,3,5,1,17,2,11,12,23,6,6,5,19,21,2,4,0,32,11,11,0,9,5,10,7,10,7,28,23,18,0,0,2,10,17,0,3,7,3,20,9,10,5,0,5,5,3,4,3,4,11,3,1,4,6,13,0,7,8,6,9,4,1,4,0,0,3,7,6,0,21
"Ant232",0,0,20,0,0,0,3,2,18,0,3,0,4,1,2,2,7,9,11,3,2,8,4,4,20,9,14,2,1,3,14,0,18,3,8,6,9,3,10,22,13,18,17,4,1,8,6,14,2,2,4,10,1,1,11,5,5,0,1,1,0,0,2,16,3,0,0,7,8,0,13,1,2,16,5,15,6,0,3,5,10,3,5,6
"Ant242",0,6,21,1,0,0,3,0,4,0,0,0,0,25,0,2,22,3,2,4,11,6,6,3,3,39,0,1,0,0,3,18,1,20,12,3,0,0,0,3,1,8,14,12,0,0,26,5,0,0,1,18,2,0,3,9,5,1,0,0,0,3,26,0,1,1,0,0,6,0,1,4,0,7,2,0,0,0,2,32,5,0,66,7
"Ant255",1,1,4,1,2,0,2,5,0,0,2,10,3,1,12,1,3,3,0,4,0,17,0,9,9,2,13,1,10,11,4,2,6,0,0,3,0,2,3,12,6,7,3,1,22,3,0,9,3,0,4,0,7,9,4,7,3,1,0,0,0,6,5,0,3,7,1,4,5,0,0,4,12,5,0,2,5,0,0,0,7,3,3,0
"Ant257",3,2,0,10,3,0,3,1,0,3,1,15,0,0,10,10,0,0,0,2,3,0,0,0,2,0,1,2,5,0,4,1,0,0,1,3,4,0,4,0,0,8,0,0,9,0,0,1,5,0,20,0,0,8,3,3,4,0,0,0,0,0,1,0,1,9,0,1,2,0,0,0,2,0,1,0,1,2,0,0,12,3,0,0
"Ant263",0,18,23,3,0,11,1,7,20,0,0,1,14,2,2,3,5,17,5,4,28,8,1,9,3,16,28,1,0,0,7,7,11,5,5,4,12,1,4,17,6,8,21,0,3,4,1,10,3,4,1,7,20,0,9,9,3,0,3,6,0,0,8,20,5,8,3,0,26,0,1,9,3,4,0,2,0,0,3,5,1,0,1,8
"Ant289",3,4,28,0,0,1,0,9,3,0,1,0,1,6,9,2,8,42,0,9,22,3,1,26,1,36,3,4,0,0,9,13,11,4,2,0,8,2,3,47,12,24,17,4,11,23,12,5,2,1,1,0,6,1,7,13,4,2,26,5,1,8,0,43,0,23,0,0,17,0,6,14,7,21,0,14,1,0,0,21,4,3,6,18
"Ant318",0,3,6,1,0,6,6,14,27,0,0,0,5,14,0,6,4,57,4,6,14,12,7,7,2,36,10,0,0,0,1,25,6,2,25,22,18,3,11,16,19,9,18,19,0,17,13,5,0,9,1,4,1,0,3,3,11,16,0,0,0,20,43,0,8,0,0,3,9,0,12,25,2,8,0,0,0,0,0,25,2,5,24,16
"Ant324",0,1,13,0,0,13,1,15,1,0,8,0,15,6,6,0,8,14,1,0,10,1,3,5,0,6,2,1,0,0,5,14,12,2,0,0,3,0,1,1,0,9,12,1,3,3,4,2,0,0,0,0,2,0,2,0,3,3,1,3,1,5,0,8,0,0,0,1,4,0,3,11,0,2,1,1,0,0,64,1,1,0,11,0
"Ant332",8,2,6,5,2,3,4,12,1,9,10,19,0,1,15,13,0,13,2,1,4,20,0,6,14,0,0,9,27,1,6,11,1,2,6,3,1,13,12,2,2,13,4,0,8,0,4,1,2,4,13,0,6,16,25,5,1,0,1,7,9,8,23,0,0,0,4,14,0,0,3,2,32,7,0,4,8,0,2,9,6,3,2,3
"Ant342",15,0,0,1,12,0,3,0,0,2,1,7,0,0,12,5,0,0,0,0,0,0,0,0,26,0,0,4,20,12,0,0,0,0,0,0,1,0,0,3,0,0,0,0,13,0,0,0,15,0,5,0,0,18,4,0,4,0,0,1,0,3,0,0,0,4,0,0,0,0,1,0,6,0,0,0,11,6,0,0,0,12,0,0
"Ant353",2,3,3,3,18,2,11,7,5,2,3,14,0,0,17,19,0,0,3,15,7,3,0,5,6,3,1,3,5,10,3,1,1,0,6,3,21,15,3,3,5,2,5,0,19,2,3,2,0,1,16,0,6,0,10,0,6,7,0,4,1,0,0,3,1,14,0,0,1,0,0,1,16,5,5,11,6,0,6,0,10,8,0,0
"Ant356",0,12,13,0,0,26,13,2,37,0,0,0,6,27,0,2,23,6,2,1,6,7,17,31,0,21,5,1,1,0,3,17,22,41,2,28,5,1,8,18,9,12,22,9,3,13,26,20,1,6,0,20,13,2,11,2,13,8,6,5,2,26,17,9,4,0,0,1,0,0,18,1,0,10,2,5,0,0,10,16,7,0,3,6
"Ant380",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Ant387",0,3,16,2,1,0,0,12,15,1,2,0,0,0,3,5,0,11,5,0,15,3,0,2,9,16,17,1,1,1,16,24,6,0,2,3,2,5,5,6,6,0,5,17,0,0,7,5,0,5,5,5,22,5,9,4,7,13,1,0,0,1,6,12,3,3,1,0,18,0,0,1,0,2,2,3,2,0,14,3,10,0,4,27
"Ant395",0,10,8,0,0,8,1,13,14,0,2,1,13,1,1,4,6,9,6,2,13,8,7,6,3,36,16,1,0,0,4,10,26,15,21,2,7,1,7,10,24,4,30,12,4,18,4,5,0,6,2,4,5,0,19,23,8,1,4,4,0,9,14,25,11,2,0,1,1,0,1,0,5,4,0,20,0,0,2,15,1,0,7,27
"Ant437",30,0,8,9,15,0,6,2,0,20,13,7,0,0,31,19,2,7,2,10,9,5,1,4,20,2,9,16,12,9,7,0,10,0,8,2,24,11,0,2,0,2,5,0,38,0,0,19,7,0,25,0,5,25,8,0,6,2,0,12,2,3,7,2,0,32,6,16,0,0,0,5,0,4,2,1,22,8,5,0,2,14,1,2
