"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant260",0,1,13,48,0,18,1,1,34,34,0,3,43,18,7,4,3,6,3,0,8,35,3,4,35,32,1,0,1,1,26,6,10,2,4,44,18,17,2,52,0,0,37,0,2,34,19,0,0,2,3,2,16,12,0,0,4
"Ant52",1,0,2,2,3,3,8,2,0,1,0,0,0,0,0,1,5,7,1,0,5,0,13,1,0,0,2,1,20,3,1,1,1,5,0,1,4,0,2,0,0,1,0,7,3,0,1,1,0,1,8,6,4,0,1,2,3
"Ant6",13,2,0,22,0,3,0,3,6,2,6,0,28,8,2,0,3,0,3,2,4,13,3,6,16,3,1,6,0,0,5,1,0,6,0,0,16,0,1,0,0,2,0,0,11,13,1,0,0,0,0,3,10,0,0,3,0
"Ant7",48,2,22,0,0,8,6,4,35,32,1,2,57,25,2,2,5,4,8,1,4,31,3,6,9,13,5,10,4,2,14,5,1,10,5,57,19,33,1,64,3,2,55,3,6,22,51,1,0,2,2,1,12,29,0,3,2
"Ant9",0,3,0,0,0,0,5,11,0,0,9,5,1,0,0,6,1,1,12,1,1,0,18,4,0,1,0,11,4,16,0,4,12,3,11,0,2,0,5,0,2,12,0,1,0,0,0,28,0,3,1,3,0,0,19,4,2
"Ant14",18,3,3,8,0,0,0,1,0,1,4,0,31,1,0,1,11,15,0,0,2,2,5,1,9,2,12,14,12,1,8,17,2,14,1,1,11,9,2,0,2,2,3,5,1,0,14,2,0,7,0,0,16,0,0,1,5
"Ant19",1,8,0,6,5,0,0,15,0,0,14,7,0,0,0,7,0,4,40,6,4,0,6,2,0,0,9,0,12,0,1,3,25,18,6,3,4,0,1,0,45,2,0,7,2,2,3,1,0,3,12,9,1,0,7,0,2
"Ant26",1,2,3,4,11,1,15,0,0,0,9,2,3,2,3,0,0,2,18,0,0,2,1,0,0,0,5,1,5,9,0,10,0,18,0,5,1,0,1,0,7,14,0,5,7,0,9,2,0,4,4,6,0,0,0,7,8
"Ant30",34,0,6,35,0,0,0,0,0,19,0,0,23,13,1,0,1,0,0,0,0,11,0,0,11,8,4,0,0,1,0,1,0,0,0,19,0,13,2,39,0,0,10,2,0,7,10,0,0,1,0,0,10,2,0,0,0
"Ant60",34,1,2,32,0,1,0,0,19,0,1,0,30,33,9,8,0,3,1,0,4,13,3,1,14,10,0,3,0,1,4,2,3,0,0,26,5,10,0,1,0,0,3,4,2,6,4,0,0,1,1,0,15,0,0,0,2
"Ant64",0,0,6,1,9,4,14,9,0,1,0,2,1,1,2,1,5,0,21,11,1,1,2,1,8,4,8,5,17,4,1,1,1,5,0,0,13,0,15,0,0,11,0,4,17,1,3,0,0,0,12,3,3,0,0,15,4
"Ant158",3,0,0,2,5,0,7,2,0,0,2,0,3,0,4,0,0,3,3,1,3,1,15,15,0,0,1,9,16,3,0,4,16,1,0,0,3,0,0,0,25,9,0,3,1,0,1,6,0,1,11,2,0,0,33,1,4
"Ant196",43,0,28,57,1,31,0,3,23,30,1,3,0,17,5,4,20,15,5,0,3,19,3,4,54,13,14,19,20,4,22,13,2,23,0,32,34,19,0,16,2,0,15,4,10,28,18,2,0,5,0,2,26,4,0,11,7
"Ant202",18,0,8,25,0,1,0,2,13,33,1,0,17,0,3,5,6,12,0,0,2,11,2,1,7,17,2,6,4,1,10,10,3,5,0,13,9,9,2,9,0,0,5,0,2,4,22,0,0,8,1,2,35,6,0,0,3
"Ant209",7,0,2,2,0,0,0,3,1,9,2,4,5,3,0,1,1,4,0,2,8,4,2,10,9,5,10,6,4,12,7,10,1,3,0,3,8,1,3,0,1,2,1,7,0,0,2,0,0,1,9,6,7,0,2,8,8
"Ant268",4,1,0,2,6,1,7,0,0,8,1,0,4,5,1,0,0,1,3,1,2,0,3,7,1,0,3,1,1,11,2,0,8,2,23,3,0,2,1,0,0,1,0,23,0,1,3,2,1,0,0,0,2,0,14,5,2
"Ant308",3,5,3,5,1,11,0,0,1,0,5,0,20,6,1,0,0,8,1,0,7,1,3,3,8,1,5,11,0,3,7,5,0,4,2,0,18,2,2,0,1,3,0,0,14,3,0,3,0,9,4,1,17,0,0,0,8
"Ant311",6,7,0,4,1,15,4,2,0,3,0,3,15,12,4,1,8,0,4,0,5,4,1,46,8,5,30,4,9,1,3,13,1,7,5,3,16,0,1,0,2,9,3,0,2,1,2,3,0,9,0,0,11,0,2,3,5
"Ant620",3,1,3,8,12,0,40,18,0,1,21,3,5,0,0,3,1,4,0,0,0,6,3,6,3,0,6,3,5,18,0,3,4,14,7,0,0,0,1,0,7,9,0,6,10,1,0,12,0,0,21,0,1,0,0,5,8
"Ant0",0,0,2,1,1,0,6,0,0,0,11,1,0,0,2,1,0,0,0,0,0,0,1,8,0,0,0,16,1,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Ant13",8,5,4,4,1,2,4,0,0,4,1,3,3,2,8,2,7,5,0,0,0,2,12,16,5,2,4,4,3,1,1,3,8,0,0,6,6,5,3,0,0,1,3,0,0,0,5,1,0,3,0,2,5,0,1,0,2
"Ant23",35,0,13,31,0,2,0,2,11,13,1,1,19,11,4,0,1,4,6,0,2,0,1,1,13,14,1,0,0,1,4,3,1,1,0,30,7,8,0,24,0,7,23,0,0,11,35,1,0,3,0,0,17,2,0,0,2
"Ant27",3,13,3,3,18,5,6,1,0,3,2,15,3,2,2,3,3,1,3,1,12,1,0,3,3,0,1,18,1,5,0,2,12,7,2,1,5,0,2,0,13,1,0,2,5,1,2,2,0,5,0,4,6,0,22,15,5
"Ant29",4,1,6,6,4,1,2,0,0,1,1,15,4,1,10,7,3,46,6,8,16,1,3,0,4,1,12,35,32,0,6,26,5,7,0,3,23,0,2,0,7,6,3,3,0,1,4,20,0,1,7,1,2,0,0,9,6
"Ant42",35,0,16,9,0,9,0,0,11,14,8,0,54,7,9,1,8,8,3,0,5,13,3,4,0,8,6,2,1,2,18,12,1,0,0,9,24,11,9,0,0,4,2,0,7,12,1,1,0,3,0,3,41,0,0,4,2
"Ant55",32,0,3,13,1,2,0,0,8,10,4,0,13,17,5,0,1,5,0,0,2,14,0,1,8,0,1,0,1,2,17,0,0,0,0,11,5,0,0,6,10,1,4,0,5,13,25,0,0,1,0,2,4,0,0,1,1
"Ant91",1,2,1,5,0,12,9,5,4,0,8,1,14,2,10,3,5,30,6,0,4,1,1,12,6,1,0,4,9,3,5,31,1,12,4,0,5,1,3,0,2,0,0,10,9,6,12,3,1,17,0,4,13,0,0,0,1
"Ant97",0,1,6,10,11,14,0,1,0,3,5,9,19,6,6,1,11,4,3,16,4,0,18,35,2,0,4,0,34,10,6,14,5,19,1,0,7,0,1,0,0,0,0,12,0,4,5,14,1,0,4,4,1,0,3,4,11
"Ant98",1,20,0,4,4,12,12,5,0,0,17,16,20,4,4,1,0,9,5,1,3,0,1,32,1,1,9,34,0,3,1,4,24,5,1,0,3,0,2,0,1,6,0,8,7,0,5,8,0,1,7,0,3,0,1,3,2
"Ant109",1,3,0,2,16,1,0,9,1,1,4,3,4,1,12,11,3,1,18,3,1,1,5,0,2,2,3,10,3,0,2,3,0,11,3,0,2,1,5,0,14,6,0,2,6,0,0,6,0,13,5,3,0,0,6,8,3
"Ant113",26,1,5,14,0,8,1,0,0,4,1,0,22,10,7,2,7,3,0,0,1,4,0,6,18,17,5,6,1,2,0,1,3,3,1,11,15,3,1,0,0,0,8,4,8,7,15,1,0,1,0,1,8,0,0,0,1
"Ant124",6,1,1,5,4,17,3,10,1,2,1,4,13,10,10,0,5,13,3,1,3,3,2,26,12,0,31,14,4,3,1,0,1,9,0,1,9,2,0,0,0,4,0,0,6,0,3,1,0,2,9,1,3,0,0,1,7
"Ant131",10,1,0,1,12,2,25,0,0,3,1,16,2,3,1,8,0,1,4,1,8,1,12,5,1,0,1,5,24,0,3,1,0,16,4,0,5,0,1,0,4,7,1,4,14,0,1,1,0,0,7,3,2,0,9,1,0
"Ant137",2,5,6,10,3,14,18,18,0,0,5,1,23,5,3,2,4,7,14,0,0,1,7,7,0,0,12,19,5,11,3,9,16,0,0,5,12,1,3,0,1,5,0,5,14,0,16,2,0,7,5,1,4,0,0,5,5
