"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant260",0,1,2,31,4,4,4,6,37,37,0,1,13,20,0,0,0,3,0,1,4,18,3,3,25,17,0,10,0,2,22,2,3,2,1,53,14,30,0,63,1,0,19,0,1,53,44,0,0,8,1,1,14,9,0,0,2
"Ant52",1,0,0,3,8,0,5,20,0,0,6,4,1,3,2,7,2,0,7,2,0,0,4,3,0,0,2,12,5,4,2,1,10,5,4,3,6,0,2,0,11,10,0,13,3,0,0,0,0,0,7,12,4,0,4,4,15
"Ant6",2,0,0,4,0,11,1,0,1,0,5,3,74,7,6,7,11,0,0,0,2,1,8,13,19,3,16,1,2,2,0,0,7,5,0,14,27,0,0,0,1,1,1,2,28,0,0,0,0,3,1,4,8,0,0,6,2
"Ant7",31,3,4,0,1,0,1,2,35,27,0,0,8,35,3,1,10,0,5,1,3,22,0,1,16,37,2,11,0,1,33,0,0,3,0,44,9,31,0,98,2,0,18,0,0,72,39,0,0,4,2,0,4,4,0,0,1
"Ant9",4,8,0,1,0,5,1,9,2,0,10,6,3,3,4,2,6,2,4,50,6,5,4,51,3,0,12,27,9,17,1,2,5,9,9,9,3,0,9,0,3,6,0,7,11,0,0,7,0,0,11,5,2,0,0,14,7
"Ant14",4,0,11,0,5,0,1,0,1,0,2,0,26,9,0,6,2,5,2,0,1,2,9,11,9,2,6,2,1,5,5,1,1,4,0,5,6,0,0,0,1,0,13,4,5,0,4,0,0,7,0,2,12,0,0,2,2
"Ant19",4,5,1,1,1,1,0,3,0,0,6,5,5,1,0,4,0,0,0,0,2,1,20,0,2,1,6,9,13,8,2,2,7,9,0,2,15,1,1,0,2,13,0,17,6,0,0,0,0,4,11,0,2,0,2,0,4
"Ant26",6,20,0,2,9,0,3,0,0,0,2,4,0,1,1,0,3,0,12,2,0,7,0,3,0,1,0,11,0,32,1,0,6,0,2,7,0,0,0,0,1,13,2,6,0,0,2,8,0,0,32,6,1,0,0,13,1
"Ant30",37,0,1,35,2,1,0,0,0,44,1,0,13,15,0,0,6,0,0,0,1,10,0,2,4,7,3,0,0,1,28,2,0,2,0,40,2,35,0,87,0,0,25,0,2,36,23,0,0,0,1,1,4,12,0,2,0
"Ant60",37,0,0,27,0,0,0,0,44,0,0,1,9,14,2,0,0,0,0,0,3,20,0,0,3,17,1,0,0,2,7,1,0,0,0,38,12,16,0,11,0,0,28,0,1,16,22,0,0,1,0,0,15,8,0,2,1
"Ant64",0,6,5,0,10,2,6,2,1,0,0,15,0,6,5,0,4,0,1,1,10,0,19,13,1,0,0,3,7,2,1,1,1,3,6,3,2,0,7,0,4,10,0,4,0,0,1,0,0,0,5,4,1,0,0,12,13
"Ant158",1,4,3,0,6,0,5,4,0,1,15,0,2,1,0,0,0,0,9,0,0,3,2,2,3,2,0,11,3,0,1,0,4,5,0,1,8,0,1,0,2,6,0,1,5,0,0,0,0,0,9,12,8,0,0,1,0
"Ant196",13,1,74,8,3,26,5,0,13,9,0,2,0,48,10,16,31,22,7,1,5,14,6,10,53,37,18,30,3,17,17,24,10,26,1,8,17,16,4,11,7,0,9,1,23,10,8,0,0,3,2,8,36,0,5,9,23
"Ant202",20,3,7,35,3,9,1,1,15,14,6,1,48,0,3,1,15,1,1,0,0,20,2,4,19,16,1,3,2,0,22,5,2,2,0,19,9,5,1,13,6,1,7,3,9,29,29,0,0,2,2,0,22,2,3,5,5
"Ant209",0,2,6,3,4,0,0,1,0,2,5,0,10,3,0,7,2,4,2,0,3,3,20,5,2,4,5,12,7,0,4,20,13,8,1,0,4,0,1,0,3,4,1,4,14,0,1,0,0,1,3,2,8,0,0,4,21
"Ant268",0,7,7,1,2,6,4,0,0,0,0,0,16,1,7,0,2,5,7,4,5,4,13,6,5,4,3,5,4,3,2,3,5,4,5,3,11,0,7,0,0,4,0,1,6,0,1,0,0,1,0,2,6,0,0,6,7
"Ant308",0,2,11,10,6,2,0,3,6,0,4,0,31,15,2,2,0,4,11,0,1,12,6,14,16,5,2,12,1,1,14,8,0,3,0,5,4,0,14,0,10,3,3,2,1,0,0,0,1,0,0,2,7,0,0,16,4
"Ant311",3,0,0,0,2,5,0,0,0,0,0,0,22,1,4,5,4,0,3,7,3,1,14,8,6,2,17,7,2,4,1,6,1,11,0,10,3,0,0,0,7,2,1,6,12,0,7,0,0,2,8,0,4,0,2,5,10
"Ant620",0,7,0,5,4,2,0,12,0,0,1,9,7,1,2,7,11,3,0,0,5,10,1,14,3,3,4,15,4,1,1,20,4,8,0,3,0,0,6,0,9,4,1,4,2,0,2,1,0,1,1,7,0,0,3,7,4
"Ant0",1,2,0,1,50,0,0,2,0,0,1,0,1,0,0,4,0,7,0,0,0,1,2,2,0,0,2,5,3,8,0,0,12,3,1,1,0,0,3,0,2,0,0,2,1,0,0,0,0,1,0,1,0,0,0,6,4
"Ant13",4,0,2,3,6,1,2,0,1,3,10,0,5,0,3,5,1,3,5,0,0,0,30,0,11,1,5,10,4,2,1,0,1,2,4,9,0,3,5,0,4,1,9,1,4,0,14,0,0,0,0,3,8,0,1,5,10
"Ant23",18,0,1,22,5,2,1,7,10,20,0,3,14,20,3,4,12,1,10,1,0,0,1,4,10,10,3,8,1,2,32,6,0,7,0,23,3,10,5,17,1,4,26,3,0,24,38,1,0,9,5,4,15,5,0,8,1
"Ant27",3,4,8,0,4,9,20,0,0,0,19,2,6,2,20,13,6,14,1,2,30,1,0,3,9,4,25,6,18,13,0,11,11,9,3,3,38,0,23,0,8,7,1,20,36,0,3,4,0,0,7,10,7,0,10,10,21
"Ant29",3,3,13,1,51,11,0,3,2,0,13,2,10,4,5,6,14,8,14,2,0,4,3,0,2,0,23,14,2,4,0,15,6,4,3,8,18,0,18,0,5,1,0,4,13,0,0,3,0,2,3,13,2,0,12,33,23
"Ant42",25,0,19,16,3,9,2,0,4,3,1,3,53,19,2,5,16,6,3,0,11,10,9,2,0,7,4,1,1,0,9,4,5,2,1,17,10,5,3,0,8,0,5,0,6,0,1,0,1,2,0,0,20,0,0,1,7
"Ant55",17,0,3,37,0,2,1,1,7,17,0,2,37,16,4,4,5,2,3,0,1,10,4,0,7,0,4,7,0,0,26,3,0,1,0,19,10,9,0,8,0,0,9,4,0,10,20,3,1,0,6,0,8,0,0,1,4
"Ant91",0,2,16,2,12,6,6,0,3,1,0,0,18,1,5,3,2,17,4,2,5,3,25,23,4,4,0,8,9,17,2,14,9,6,13,7,12,0,6,0,4,4,3,12,13,0,0,2,0,5,5,0,8,0,2,16,8
"Ant97",10,12,1,11,27,2,9,11,0,0,3,11,30,3,12,5,12,7,15,5,10,8,6,14,1,7,8,0,4,3,8,6,10,12,1,14,4,0,11,0,14,19,1,0,0,0,0,6,0,3,13,4,21,0,12,19,3
"Ant98",0,5,2,0,9,1,13,0,0,0,7,3,3,2,7,4,1,2,4,3,4,1,18,2,1,0,9,4,0,14,2,7,12,19,14,3,8,0,5,0,3,27,0,4,21,0,0,5,0,22,8,22,2,0,6,12,9
"Ant109",2,4,2,1,17,5,8,32,1,2,2,0,17,0,0,3,1,4,1,8,2,2,13,4,0,0,17,3,14,0,4,2,2,6,0,6,3,0,0,0,4,19,0,1,10,0,0,4,0,0,24,13,0,0,1,15,7
"Ant113",22,2,0,33,1,5,2,1,28,7,1,1,17,22,4,2,14,1,1,0,1,32,0,0,9,26,2,8,2,4,0,3,7,4,1,16,21,7,1,48,1,0,10,0,0,17,13,0,0,2,0,0,8,0,1,2,0
"Ant124",2,1,0,0,2,1,2,0,2,1,1,0,24,5,20,3,8,6,20,0,0,6,11,15,4,3,14,6,7,2,3,0,8,9,0,5,1,1,2,0,1,0,1,1,2,0,0,0,0,2,16,5,24,0,2,21,8
"Ant131",3,10,7,0,5,1,7,6,0,0,1,4,10,2,13,5,0,1,4,12,1,0,11,6,5,0,9,10,12,2,7,8,0,9,3,12,3,1,5,0,9,6,0,6,8,0,0,6,0,1,20,12,5,0,5,12,4
