"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant127","Ant131","Ant137","Ant140","Ant149","Ant156","Ant159","Ant169","Ant176","Ant190","Ant195","Ant207","Ant215","Ant232","Ant242","Ant257","Ant263","Ant289","Ant324","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant560","Ant593"
"Ant260",0,0,10,17,0,11,0,0,2,11,23,0,3,20,11,0,0,2,2,1,0,2,11,23,2,14,74,28,19,5,5,0,0,0,17,3,4,0,21,0,30,1,16,15,0,0,7,12,0,0,0,30,0,1,3,11,10,0,1,1,0,15,0,6,5,33,6,0,0,25,1
"Ant52",0,0,0,0,6,0,0,0,0,0,0,0,4,3,0,17,3,0,4,4,11,0,5,0,0,1,0,0,0,0,1,16,3,1,0,4,0,4,10,4,2,42,3,0,10,3,0,0,12,6,0,0,13,0,0,1,0,11,0,1,22,0,22,1,9,0,0,4,8,0,6
"Ant6",10,0,0,6,0,7,2,0,0,14,12,0,0,13,6,0,0,0,10,1,2,0,0,1,7,10,20,16,6,4,13,0,1,0,16,4,1,0,0,0,4,4,0,6,0,0,19,11,0,0,0,1,0,3,0,19,1,0,0,7,0,2,1,1,13,0,0,0,1,0,0
"Ant7",17,0,6,0,0,4,0,0,1,14,38,0,0,10,11,0,0,2,3,0,0,0,0,12,3,0,16,20,14,3,4,0,1,0,16,4,12,0,4,0,16,0,2,17,1,0,39,1,0,0,0,13,0,1,6,4,10,1,0,1,0,34,1,14,5,5,0,0,0,26,2
"Ant9",0,6,0,0,0,0,18,7,0,0,0,3,7,4,0,0,4,0,3,2,16,1,10,0,0,9,0,0,0,0,1,11,19,4,0,0,0,0,3,4,1,15,11,0,4,0,0,0,28,24,10,0,9,0,0,1,0,13,0,0,17,0,3,0,0,0,1,2,9,0,14
"Ant14",11,0,7,4,0,0,6,1,0,3,2,0,3,16,4,0,1,0,6,1,2,1,0,0,9,2,8,2,0,5,11,4,0,0,15,6,13,3,5,0,6,1,21,4,1,1,4,12,0,0,0,6,0,4,1,7,3,5,0,13,0,3,1,23,9,5,0,0,0,0,3
"Ant19",0,0,2,0,18,6,0,1,0,1,1,1,2,3,1,5,0,19,0,14,0,0,6,3,4,1,3,2,0,1,6,6,8,0,0,4,11,3,15,1,0,4,2,0,3,2,0,1,7,13,1,0,10,12,0,2,0,4,0,2,5,0,0,2,13,0,0,0,2,0,15
"Ant26",0,0,0,0,7,1,1,0,0,0,0,3,13,11,0,4,42,4,2,8,1,24,8,0,4,17,0,3,0,4,1,23,7,44,1,4,16,5,7,0,1,24,2,0,4,1,0,20,1,8,3,2,28,3,0,1,0,14,0,5,0,0,5,0,1,0,0,0,0,0,6
"Ant30",2,0,0,1,0,0,0,0,0,1,17,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0
"Ant38",11,0,14,14,0,3,1,0,1,0,13,0,0,16,5,0,6,6,13,1,0,0,2,7,3,7,17,19,4,3,4,1,2,0,9,8,4,8,1,0,16,16,7,13,0,0,6,2,1,0,0,3,3,3,0,7,5,1,0,5,0,7,1,13,10,3,2,2,1,4,0
"Ant60",23,0,12,38,0,2,1,0,17,13,0,0,0,6,12,0,0,2,3,0,0,0,1,6,4,0,21,35,7,0,7,0,0,0,9,2,13,0,1,0,25,0,4,7,0,0,9,2,0,1,0,34,0,1,0,3,8,0,1,4,1,20,0,5,0,13,7,0,0,27,0
"Ant64",0,0,0,0,3,0,1,3,0,0,0,0,4,3,0,26,4,1,1,0,3,8,8,0,1,19,0,3,0,0,21,34,13,5,0,1,1,1,4,2,1,10,5,0,1,23,0,0,12,4,22,0,19,8,1,3,0,4,0,4,12,0,1,0,1,0,0,10,10,0,1
"Ant158",3,4,0,0,7,3,2,13,0,0,0,4,0,8,1,13,6,0,2,4,12,0,13,1,0,13,0,2,0,3,2,32,17,13,0,5,2,15,6,15,1,12,22,0,8,1,0,9,24,9,5,0,14,0,3,1,1,5,0,2,13,0,1,1,4,3,1,3,15,0,9
"Ant196",20,3,13,10,4,16,3,11,3,16,6,3,8,0,5,0,6,8,3,17,6,2,8,20,5,23,14,11,14,1,18,80,2,1,18,4,18,4,50,0,14,7,29,17,5,0,19,9,17,5,7,9,0,9,7,24,9,3,0,8,5,13,1,19,12,13,0,4,4,10,7
"Ant202",11,0,6,11,0,4,1,0,0,5,12,0,1,5,0,0,0,1,4,0,1,0,1,8,2,2,12,27,9,0,3,2,0,0,24,2,4,1,5,0,16,2,0,4,0,0,8,4,0,1,0,6,0,3,3,8,0,0,1,2,0,15,0,3,0,17,1,0,0,40,1
"Ant209",0,17,0,0,0,0,5,4,0,0,0,26,13,0,0,0,3,0,0,0,16,0,2,1,4,12,2,0,2,0,3,8,6,19,0,1,1,3,4,3,1,2,7,0,8,1,0,1,1,5,5,0,0,2,3,0,1,7,0,0,12,0,4,1,3,0,0,1,6,0,12
"Ant252",0,3,0,0,4,1,0,42,0,6,0,4,6,6,0,3,0,0,3,0,6,0,6,0,17,13,3,0,0,7,2,89,11,40,0,1,0,3,11,0,9,17,2,0,3,39,0,0,13,21,3,0,10,10,0,8,2,23,0,5,1,0,11,0,13,0,0,0,2,0,10
"Ant268",2,0,0,2,0,0,19,4,0,6,2,1,0,8,1,0,0,0,2,4,2,0,9,1,12,11,4,0,0,8,3,1,1,0,6,1,1,2,3,6,0,0,1,2,6,5,2,2,0,0,0,0,0,5,0,4,1,0,0,3,1,0,6,2,6,0,0,1,13,0,2
"Ant308",2,4,10,3,3,6,0,2,0,13,3,1,2,3,4,0,3,2,0,0,0,0,1,1,5,8,9,10,0,10,8,8,5,3,4,9,7,13,7,2,4,3,7,0,1,2,2,0,2,3,0,4,1,16,4,6,0,0,0,0,2,0,3,1,7,3,0,0,8,0,6
"Ant311",1,4,1,0,2,1,14,8,0,1,0,0,4,17,0,0,0,4,0,0,4,0,9,0,6,14,7,3,0,3,17,20,0,1,0,9,23,6,27,0,3,19,24,0,0,0,3,6,2,14,3,0,45,1,20,1,3,2,0,5,1,0,8,5,5,0,0,1,11,0,12
