"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant127","Ant131","Ant137","Ant140","Ant149","Ant156","Ant159","Ant169","Ant176","Ant190","Ant195","Ant207","Ant215","Ant232","Ant242","Ant257","Ant263","Ant289","Ant324","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant560","Ant593"
"Ant260",0,0,7,14,0,3,1,1,7,5,24,1,2,40,21,0,2,4,7,1,3,0,0,12,0,5,22,5,22,1,3,19,1,0,13,1,1,4,5,0,20,0,14,4,0,0,0,8,1,0,0,18,0,1,1,42,6,0,0,3,0,19,2,4,15,13,8,0,0,5,0
"Ant52",0,0,2,1,8,0,15,11,0,0,0,0,8,9,0,2,5,18,1,1,25,1,13,0,12,9,6,0,0,5,3,44,11,10,4,0,18,10,15,2,8,3,0,0,4,10,0,4,12,1,11,0,11,1,1,1,4,7,0,7,3,0,0,1,20,2,0,6,4,2,11
"Ant6",7,2,0,1,1,5,0,2,0,29,9,0,0,48,12,4,1,0,5,1,1,0,3,2,2,12,22,4,9,7,5,7,2,0,14,6,4,0,20,0,5,0,10,3,0,0,26,6,0,0,1,1,0,0,2,10,25,2,0,4,3,7,0,13,4,3,0,0,2,20,3
"Ant7",14,1,1,0,0,1,0,1,9,4,27,0,0,20,13,0,0,1,4,0,0,0,0,13,1,9,4,4,0,5,8,10,1,0,8,1,0,1,4,0,2,0,6,15,0,0,1,1,0,0,0,11,0,0,7,3,3,2,2,2,1,12,0,8,7,19,8,0,0,0,3
"Ant9",0,8,1,0,0,5,10,24,0,0,0,5,15,0,0,14,1,13,2,3,7,10,1,0,8,5,1,2,0,7,11,4,13,7,1,7,23,8,18,0,1,24,2,0,16,7,2,1,29,3,28,0,10,7,1,2,5,32,0,9,26,0,17,0,7,0,0,24,9,2,5
"Ant14",3,0,5,1,5,0,3,1,0,5,0,1,0,4,1,1,2,1,4,17,4,2,12,2,3,8,6,2,5,1,7,5,8,8,1,5,8,0,16,2,2,1,4,0,0,1,2,0,3,4,10,3,2,5,0,6,7,3,0,4,5,0,0,2,3,1,0,0,0,4,3
"Ant19",1,15,0,0,10,3,0,2,0,0,0,14,3,1,0,6,14,22,0,3,12,4,6,1,0,30,1,0,0,1,11,27,3,10,2,2,22,27,6,0,1,0,5,0,0,44,0,0,0,12,30,0,9,1,0,0,23,0,0,16,3,0,8,0,14,0,0,31,3,1,2
"Ant26",1,11,2,1,24,1,2,0,0,0,0,13,18,0,0,10,14,23,1,5,7,6,4,0,22,7,3,0,0,0,6,1,4,35,0,3,22,29,7,6,0,3,28,0,6,11,1,0,21,31,13,0,5,0,0,6,5,13,0,33,3,0,5,1,8,0,0,28,12,0,14
"Ant30",7,0,0,9,0,0,0,0,0,1,21,0,0,2,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0
"Ant38",5,0,29,4,0,5,0,0,1,0,5,0,0,21,9,0,0,0,9,0,0,0,0,0,0,2,13,3,0,2,3,0,0,0,17,3,0,1,0,0,3,1,2,0,0,0,26,1,1,0,1,4,0,0,0,19,14,0,0,0,0,3,0,3,1,0,0,0,1,4,1
"Ant60",24,0,9,27,0,0,0,0,21,5,0,0,0,19,38,0,0,0,3,1,0,0,0,6,0,2,4,22,12,2,0,0,0,0,20,2,1,0,4,0,10,2,16,23,0,0,2,6,1,0,0,8,0,1,2,10,4,0,0,0,0,33,0,2,4,22,9,0,0,5,0
"Ant64",1,0,0,0,5,1,14,13,0,0,0,0,3,0,0,6,1,4,1,0,8,0,1,0,11,0,3,0,0,0,6,4,25,5,0,0,6,2,4,0,0,11,0,0,3,5,0,0,0,0,6,0,29,0,0,0,2,47,0,2,23,0,0,0,7,0,0,6,10,0,0
"Ant158",2,8,0,0,15,0,3,18,0,0,0,3,0,0,0,19,9,4,0,3,14,16,9,0,8,10,10,0,0,2,25,8,23,20,0,3,5,14,14,10,0,7,0,0,5,16,0,0,15,11,33,3,5,0,0,5,1,22,0,9,14,0,25,1,8,0,0,28,37,1,13
"Ant196",40,9,48,20,0,4,1,0,2,21,19,0,0,0,17,2,0,2,13,0,0,3,0,44,1,19,21,16,50,4,6,35,0,0,16,6,1,2,22,4,31,0,40,3,3,1,6,10,1,4,4,12,2,7,6,4,36,2,1,4,0,31,1,30,23,29,11,0,0,29,4
"Ant202",21,0,12,13,0,1,0,0,13,9,38,0,0,17,0,0,0,0,0,1,0,0,0,14,1,4,6,4,3,2,0,1,0,0,11,1,0,0,0,0,9,0,3,7,0,0,4,4,0,0,0,11,0,0,1,9,3,0,0,3,0,15,0,3,1,17,15,0,1,12,0
"Ant209",0,2,4,0,14,1,6,10,0,0,0,6,19,2,0,0,26,10,0,0,18,2,12,0,14,8,1,0,0,3,14,7,9,1,0,4,1,3,2,4,5,0,4,0,6,0,9,2,15,8,16,2,5,0,2,2,0,35,0,0,6,1,7,0,0,0,0,0,8,2,8
"Ant252",2,5,1,0,1,2,14,14,0,0,0,1,9,0,0,26,0,2,1,6,40,17,6,1,39,5,0,0,2,0,18,8,12,2,5,1,15,2,6,54,7,1,2,0,11,2,1,1,0,13,1,0,14,3,1,1,0,0,0,0,31,1,3,0,2,0,0,1,20,0,16
"Ant268",4,18,0,1,13,1,22,23,0,0,0,4,4,2,0,10,2,0,5,8,0,0,6,6,15,9,7,0,0,3,9,48,2,20,1,6,1,2,8,1,2,1,6,0,8,13,2,6,10,3,7,0,20,7,0,0,21,20,0,15,3,0,9,1,4,3,0,19,4,1,1
"Ant308",7,1,5,4,2,4,0,1,0,9,3,1,0,13,0,0,1,5,0,0,1,0,1,1,1,3,4,6,1,14,2,0,0,1,3,8,0,3,4,0,4,0,0,2,2,0,4,6,2,4,0,2,1,0,3,8,4,1,1,0,1,0,0,2,5,2,0,0,2,10,6
