"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant260",0,0,36,11,0,0,0,5,38,4,9,10,10,1,0,1,20,4,7,33,6,1,0,24,10,1,11,0,37,34,8,3,24,5,2,14,0,1,22,3,1,2
"Ant52",0,0,1,5,7,7,2,5,0,1,4,1,7,0,0,3,3,0,13,0,0,7,1,0,0,1,1,0,3,1,0,0,0,0,7,1,0,4,3,2,3,0
"Ant6",36,1,0,1,0,11,3,3,23,2,6,10,3,0,0,2,29,5,3,33,13,3,0,18,7,0,7,0,83,15,0,10,0,10,1,6,2,0,19,0,1,15
"Ant7",11,5,1,0,0,0,0,0,24,0,0,2,1,0,0,0,7,1,0,7,0,1,0,1,0,0,0,0,46,4,7,1,29,1,0,4,0,1,2,2,0,0
"Ant9",0,7,0,0,0,7,4,7,3,0,0,6,6,6,1,0,0,9,40,0,9,32,7,1,6,4,2,9,4,1,0,26,0,17,12,0,0,0,0,0,11,0
"Ant19",0,7,11,0,7,0,10,8,4,7,1,6,3,0,8,1,2,7,9,1,5,4,0,4,10,4,21,4,6,1,0,13,0,4,4,14,0,2,5,1,4,4
"Ant26",0,2,3,0,4,10,0,7,1,8,0,4,7,0,0,3,2,6,3,2,1,1,2,2,5,5,5,2,2,1,0,7,0,4,11,0,0,1,0,0,1,1
"Ant64",5,5,3,0,7,8,7,0,2,1,4,2,5,4,0,3,1,6,12,0,5,19,4,10,5,2,7,11,0,3,0,23,0,6,11,0,0,2,1,3,4,1
"Ant196",38,0,23,24,3,4,1,2,0,0,9,6,9,0,0,8,12,12,2,10,2,1,0,12,3,1,1,0,10,25,4,0,31,6,0,4,2,0,11,0,0,3
"Ant209",4,1,2,0,0,7,8,1,0,0,3,0,4,5,0,3,3,5,10,2,0,14,0,4,1,0,0,0,13,2,0,3,0,1,0,8,0,8,3,0,3,0
"Ant268",9,4,6,0,0,1,0,4,9,3,0,24,23,0,2,1,3,2,5,15,3,0,1,7,6,0,8,0,38,14,0,9,0,3,0,4,0,1,10,0,0,4
"Ant308",10,1,10,2,6,6,4,2,6,0,24,0,10,0,0,4,23,4,3,3,6,16,0,13,1,1,10,1,18,18,0,5,0,4,2,6,0,0,10,6,2,13
