"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant260",0,0,0,64,0,0,0,0,33,0,1,1,0,0,0,0,35,0,3,11,1,0,0,8,3,2,2,0,16,10,62,0,21,0,2,2,0,0,10,0,2,1
"Ant52",0,0,3,0,0,6,3,18,0,1,1,8,0,2,0,6,0,11,40,1,0,13,2,1,0,9,7,5,5,2,1,12,0,17,1,1,0,0,6,0,17,1
"Ant6",0,3,0,1,0,0,2,8,29,0,8,9,4,2,0,8,14,6,18,5,8,0,2,15,24,2,7,0,62,4,1,4,0,4,0,5,0,8,20,0,1,7
"Ant7",64,0,1,0,0,0,0,0,33,1,5,0,0,0,0,0,24,0,2,11,3,0,0,10,2,0,0,0,3,40,12,0,70,6,0,3,0,0,4,0,0,0
"Ant9",0,0,0,0,0,23,11,0,0,0,0,0,6,7,0,1,0,1,0,0,1,4,0,0,0,0,13,0,0,0,0,0,0,5,18,0,0,4,0,1,8,2
"Ant19",0,6,0,0,23,0,0,1,1,3,1,2,0,0,0,3,0,16,0,0,0,30,0,1,1,5,8,12,1,1,0,0,0,6,4,1,0,0,1,0,4,0
"Ant26",0,3,2,0,11,0,0,1,1,0,0,0,3,9,8,0,0,2,0,0,0,0,2,1,0,1,7,0,4,1,0,0,0,1,5,2,0,1,0,1,16,5
"Ant64",0,18,8,0,0,1,1,0,0,1,2,0,2,4,0,2,1,13,4,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,1,0,59,1,4
"Ant196",33,0,29,33,0,1,1,0,0,7,1,12,1,0,0,2,33,10,0,10,8,0,1,25,1,0,2,0,44,19,23,0,25,14,0,14,0,3,18,0,0,1
"Ant209",0,1,0,1,0,3,0,1,7,0,0,0,0,0,0,0,0,14,1,20,0,0,5,2,0,1,2,0,3,7,0,0,0,9,0,7,0,3,3,0,5,1
