"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant127","Ant131","Ant137","Ant140","Ant149","Ant156","Ant159","Ant169","Ant176","Ant190","Ant195","Ant207","Ant215","Ant232","Ant242","Ant257","Ant263","Ant289","Ant324","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant560","Ant593"
"Ant260",0,3,19,27,0,2,1,0,3,5,16,1,0,11,3,1,0,1,5,1,0,2,0,6,1,7,67,9,16,0,1,2,2,0,4,7,7,0,1,0,20,0,6,20,0,1,2,6,0,0,0,10,0,9,1,14,8,0,0,0,1,19,0,22,8,10,3,0,2,5,1
"Ant52",3,0,0,1,3,5,5,7,0,1,0,8,5,4,0,6,0,7,1,3,17,6,2,1,3,6,14,0,0,1,6,13,7,4,2,4,6,1,4,4,0,9,5,0,3,0,5,6,9,16,5,0,6,2,0,1,2,1,0,0,0,0,2,4,12,3,0,3,8,0,2
"Ant6",19,0,0,7,0,3,2,1,0,4,16,0,0,66,7,1,0,0,2,11,1,0,2,1,2,2,16,11,2,5,5,3,0,0,8,9,2,0,4,1,16,0,12,2,0,1,22,8,2,1,4,14,0,19,0,11,7,1,0,0,2,2,0,25,0,10,0,0,0,26,1
"Ant7",27,1,7,0,0,2,1,0,0,3,9,0,0,6,8,0,0,1,1,4,0,0,0,18,0,11,28,12,21,1,0,9,0,0,6,3,5,0,0,1,11,0,14,6,0,0,1,2,1,0,0,8,0,2,1,5,1,0,0,0,0,18,2,10,0,2,15,0,0,2,0
"Ant9",0,3,0,0,0,0,4,5,0,0,0,28,29,0,0,0,6,1,0,0,25,6,3,0,11,1,0,0,0,0,10,1,5,2,0,1,0,32,4,9,0,8,0,0,16,31,0,0,6,0,4,0,1,1,0,0,0,12,0,8,8,0,12,0,0,1,0,9,11,0,3
"Ant14",2,5,3,2,0,0,4,4,0,4,5,3,13,3,5,4,3,6,4,17,1,0,3,0,2,8,13,4,0,12,3,15,4,0,10,6,18,3,7,8,7,0,16,0,0,3,12,24,5,2,0,4,9,8,2,8,8,3,0,5,20,0,5,1,2,2,0,0,2,5,7
"Ant19",1,5,2,1,4,4,0,2,0,0,2,6,1,5,0,1,33,4,1,9,3,5,12,2,7,20,4,0,0,20,17,16,10,10,2,2,12,14,8,12,0,6,5,0,0,11,1,5,3,9,5,0,12,14,2,4,2,13,0,1,2,0,11,2,9,2,0,2,3,0,9
"Ant26",0,7,1,0,5,4,2,0,0,0,0,9,11,4,1,10,5,2,5,29,17,6,16,0,8,4,0,0,0,1,14,2,4,10,1,0,1,25,3,4,1,21,2,0,11,1,0,2,16,1,24,3,5,0,0,0,6,27,0,1,11,1,12,0,0,1,0,23,19,3,15
"Ant30",3,0,0,0,0,0,0,0,0,3,21,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
"Ant38",5,1,4,3,0,4,0,0,3,0,9,0,0,9,13,0,0,0,3,1,0,0,2,12,0,7,5,3,4,2,3,1,0,1,8,6,4,0,1,0,11,1,9,2,0,1,4,11,0,0,1,10,3,1,0,3,4,1,0,0,0,3,1,2,0,29,0,0,0,8,1
