"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant260",0,5,1,7,1,1,4,1,38,9,16,13,15,1,1,4,23,2,0,43,13,14,3,40,3,12,6,4,16,34,4,0,18,2,2,44,0,0,31,0,0,3
"Ant52",5,0,5,2,3,1,9,6,0,0,2,8,0,1,0,1,0,7,3,1,1,9,1,1,3,0,0,1,2,7,0,0,0,8,9,1,0,1,8,0,9,17
"Ant6",1,5,0,26,0,2,0,9,39,2,5,30,0,10,3,12,30,2,6,0,4,5,4,18,10,2,12,10,10,8,0,1,0,7,2,5,0,2,10,0,1,22
"Ant7",7,2,26,0,0,2,2,1,19,0,13,6,4,1,0,0,6,2,1,3,7,16,0,11,3,0,1,0,11,3,5,0,5,3,0,5,0,3,8,1,2,0
"Ant9",1,3,0,0,0,9,11,4,1,0,1,0,4,3,0,1,0,6,7,0,14,21,16,6,2,4,0,7,1,5,0,1,0,18,5,2,0,8,1,4,12,2
"Ant19",1,1,2,2,9,0,11,1,2,1,4,1,10,12,3,0,0,11,1,8,5,17,1,2,3,29,1,7,0,1,0,3,0,15,5,24,0,1,25,8,2,7
"Ant26",4,9,0,2,11,11,0,1,0,2,4,1,2,26,0,1,2,3,1,0,13,16,24,2,1,0,2,5,0,4,0,0,0,1,0,10,0,7,0,0,7,4
"Ant64",1,6,9,1,4,1,1,0,1,0,3,0,2,0,0,4,2,5,8,0,4,3,4,0,0,11,8,4,0,2,0,0,0,1,0,11,0,2,1,5,5,9
"Ant196",38,0,39,19,1,2,0,1,0,4,8,14,7,0,0,4,43,11,0,12,13,7,0,26,4,0,10,0,16,23,1,1,11,19,0,17,0,5,16,1,0,7
"Ant209",9,0,2,0,0,1,2,0,4,0,5,3,2,0,0,1,3,4,0,8,3,1,0,9,3,3,4,0,20,1,0,0,0,4,1,9,0,0,2,0,0,6
"Ant268",16,2,5,13,1,4,4,3,8,5,0,1,29,8,4,9,1,6,2,0,10,10,0,12,15,2,0,0,7,4,0,0,0,3,0,7,0,0,14,0,3,1
"Ant308",13,8,30,6,0,1,1,0,14,3,1,0,2,5,0,5,1,12,0,7,15,0,2,14,2,8,4,1,27,2,0,0,0,0,3,6,0,1,7,0,1,0
"Ant311",15,0,0,4,4,10,2,2,7,2,29,2,0,3,0,4,2,0,0,5,12,2,3,13,3,13,13,5,1,12,0,0,0,2,1,19,0,1,4,0,13,8
"Ant620",1,1,10,1,3,12,26,0,0,0,8,5,3,0,9,2,0,5,3,0,14,1,14,0,10,21,1,26,0,4,0,6,0,9,0,12,0,0,1,8,1,4
"Ant0",1,0,3,0,0,3,0,0,0,0,4,0,0,9,0,0,4,0,0,5,0,13,3,3,5,22,0,3,0,1,0,0,0,1,0,3,0,0,1,3,20,6
"Ant13",4,1,12,0,1,0,1,4,4,1,9,5,4,2,0,0,6,3,0,9,5,0,0,8,1,1,2,2,9,4,0,0,0,0,3,8,0,5,5,0,0,6
"Ant23",23,0,30,6,0,0,2,2,43,3,1,1,2,0,4,6,0,2,0,24,5,3,0,19,8,3,1,0,4,5,1,0,10,5,0,2,0,1,11,1,0,1
