"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant260",0,5,8,17,7,0,4,3,30,47,4,1,21,47,3,4,0,4,0,0,3,28,0,5,5,46,3,16,8,4,16,2,2,1,2,11,19,26,3,73,16,0,33,1,3,56,67,2,0,3,1,0,8,9,1,2,1
"Ant52",5,0,3,1,26,1,2,3,4,3,4,7,2,8,3,1,1,1,3,3,1,0,26,1,3,0,4,8,7,3,0,3,8,4,0,1,1,0,0,0,6,3,0,6,3,0,4,0,0,4,20,1,1,0,2,1,1
"Ant6",8,3,0,11,4,3,3,0,2,7,0,0,47,2,7,0,11,3,1,0,3,12,10,2,6,0,4,5,1,2,11,1,1,3,0,0,5,13,0,0,4,4,0,1,13,0,5,0,0,2,0,2,15,0,1,0,8
"Ant7",17,1,11,0,0,4,5,2,24,111,1,0,22,24,5,0,8,0,0,0,4,27,6,0,12,19,10,3,4,0,16,4,1,2,0,33,9,14,1,73,3,0,40,1,7,38,39,0,0,1,0,0,8,7,0,1,0
"Ant9",7,26,4,0,0,0,21,17,2,1,13,1,1,0,3,11,1,0,9,5,1,0,23,1,0,0,0,11,17,10,1,9,2,2,9,0,1,0,1,0,2,0,0,4,1,0,3,3,0,1,22,9,0,0,0,9,23
"Ant14",0,1,3,4,0,0,2,0,4,12,1,0,10,6,15,10,0,14,2,0,1,1,1,3,5,4,4,1,0,2,5,4,1,0,0,2,6,4,0,0,4,1,1,0,4,0,2,0,0,2,1,1,17,0,0,0,0
"Ant19",4,2,3,5,21,2,0,4,3,0,0,4,1,0,5,9,0,0,6,0,1,6,8,11,1,1,8,12,7,11,3,7,0,3,2,3,10,0,4,0,6,11,1,0,2,0,3,1,0,0,7,7,6,0,0,0,1
"Ant26",3,3,0,2,17,0,4,0,0,0,15,4,0,0,4,2,0,0,3,0,1,0,6,9,2,0,7,4,5,17,0,1,2,3,1,0,4,0,6,0,11,4,0,11,1,0,0,1,0,0,1,3,2,0,17,6,15
"Ant30",30,4,2,24,2,4,3,0,0,44,0,0,8,12,1,1,0,1,0,0,1,15,2,0,1,10,0,7,2,0,8,1,2,1,3,21,1,28,0,39,1,0,23,0,1,25,23,0,0,0,4,1,2,3,0,2,3
"Ant60",47,3,7,111,1,12,0,0,44,0,0,0,22,14,1,2,1,3,0,0,1,27,3,0,10,3,0,0,0,0,7,5,0,0,0,40,9,47,0,37,0,0,23,0,0,3,33,0,0,2,0,0,16,11,0,0,7
"Ant64",4,4,0,1,13,1,0,15,0,0,0,4,4,0,12,3,4,0,2,3,0,0,31,9,1,1,21,10,2,22,0,4,3,19,11,0,5,0,10,0,9,21,0,8,9,0,0,1,0,0,10,7,3,0,2,17,4
"Ant158",1,7,0,0,1,0,4,4,0,0,4,0,1,1,0,0,0,0,8,0,4,2,12,2,2,0,5,6,3,9,0,0,0,7,1,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0
"Ant196",21,2,47,22,1,10,1,0,8,22,4,1,0,34,7,8,10,12,5,2,3,12,3,11,23,12,11,14,11,3,45,21,1,4,0,8,31,9,1,4,9,1,7,6,14,3,16,1,1,7,0,2,31,0,0,4,2
"Ant202",47,8,2,24,0,6,0,0,12,14,0,1,34,0,30,0,0,0,1,0,12,19,1,1,6,8,2,3,0,0,28,13,0,2,2,9,5,10,0,5,0,0,14,0,1,1,16,0,0,3,0,0,24,1,1,0,4
"Ant209",3,3,7,5,3,15,5,4,1,1,12,0,7,30,0,4,5,5,5,1,3,4,18,13,8,1,9,9,2,1,5,5,4,0,3,3,3,1,2,0,2,3,0,1,3,0,3,0,0,0,0,0,9,0,0,3,0
"Ant268",4,1,0,0,11,10,9,2,1,2,3,0,8,0,4,0,1,7,4,0,5,0,1,3,3,1,9,27,0,0,1,12,1,6,0,0,13,3,2,0,17,0,3,2,4,0,3,0,0,6,8,1,1,0,1,8,8
"Ant308",0,1,11,8,1,0,0,0,0,1,4,0,10,0,5,1,0,2,1,0,3,10,3,10,4,0,5,0,0,0,10,10,3,1,0,0,5,2,0,0,2,0,1,0,15,0,3,0,0,2,0,7,11,0,0,1,0
"Ant311",4,1,3,0,0,14,0,0,1,3,0,0,12,0,5,7,2,0,3,0,5,5,1,8,6,20,4,3,4,1,8,8,0,2,0,0,17,1,1,0,0,0,5,1,3,0,1,0,0,11,1,2,19,0,1,1,0
"Ant620",0,3,1,0,9,2,6,3,0,0,2,8,5,1,5,4,1,3,0,10,2,0,68,1,3,0,19,15,6,5,0,1,3,1,5,0,6,0,13,0,5,2,0,0,5,0,0,6,0,0,4,4,7,0,3,3,7
"Ant0",0,3,0,0,5,0,0,0,0,0,3,0,2,0,1,0,0,0,10,0,0,0,3,0,0,0,1,2,4,0,0,8,0,2,7,0,4,0,3,0,18,1,1,1,0,0,3,1,0,3,10,1,0,0,6,9,1
"Ant13",3,1,3,4,1,1,1,1,1,1,0,4,3,12,3,5,3,5,2,0,0,1,0,4,6,1,14,2,1,8,1,9,6,3,2,2,1,0,0,0,1,3,1,0,2,0,0,0,0,1,0,4,5,0,0,1,6
"Ant23",28,0,12,27,0,1,6,0,15,27,0,2,12,19,4,0,10,5,0,0,1,0,7,3,18,33,15,1,3,2,15,4,1,2,2,17,9,16,2,19,4,0,16,0,2,35,21,0,0,3,3,0,10,2,1,3,0
"Ant27",0,26,10,6,23,1,8,6,2,3,31,12,3,1,18,1,3,1,68,3,0,7,0,23,8,0,11,33,21,5,6,10,0,4,21,1,5,0,24,0,13,18,2,17,11,0,0,7,0,1,62,21,3,0,8,28,14
"Ant29",5,1,2,0,1,3,11,9,0,0,9,2,11,1,13,3,10,8,1,0,4,3,23,0,1,0,3,13,11,22,1,3,1,5,0,0,15,1,5,0,6,24,0,5,15,0,3,0,0,0,9,5,11,0,6,2,28
