"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant149","Ant153","Ant156","Ant159","Ant169","Ant176","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant219","Ant232","Ant242","Ant255","Ant257","Ant263","Ant289","Ant318","Ant324","Ant332","Ant342","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,4,7,5,33,0,1,0,0,6,1,17,4,1,38,8,0,0,0,2,1,3,0,2,21,1,11,22,15,15,8,4,5,0,8,0,1,7,7,0,3,12,1,0,26,0,2,9,25,2,26,0,5,25,6,2,4,0,1,27,8,12,15,1,5,11,0,9,0,0,5,0,19,2,28,5,28,6,0,1,5,11,0,3
"Ant52",4,0,6,1,3,13,8,23,4,3,0,0,2,3,13,1,1,1,6,5,7,48,0,7,7,10,7,0,3,1,3,9,17,5,11,0,0,0,9,9,8,16,7,0,1,13,0,6,0,0,1,5,4,2,3,3,13,1,1,7,2,0,10,11,1,2,0,6,0,0,23,25,5,17,2,8,0,0,8,1,1,0,4,29
"Ant540",7,6,0,5,4,8,11,23,11,9,8,22,3,9,4,2,14,4,11,3,0,19,0,12,3,8,9,26,1,1,6,26,16,1,8,23,10,14,7,7,28,8,20,0,6,6,0,31,2,3,9,3,4,8,6,5,27,4,2,2,12,7,18,8,19,18,0,10,7,0,3,0,3,12,0,5,0,0,6,10,12,1,2,7
"Ant6",5,1,5,0,0,0,6,0,3,0,3,12,2,1,15,5,2,1,1,7,11,0,0,1,0,0,5,36,14,2,3,3,1,0,17,1,12,10,4,0,1,0,6,0,4,3,0,0,0,0,21,2,11,2,12,3,7,5,1,0,4,0,1,2,0,10,0,10,0,0,3,0,5,0,2,3,9,0,0,1,16,12,0,1
"Ant7",33,3,4,0,0,0,2,4,0,27,9,0,1,0,11,19,0,0,0,1,0,0,0,2,6,0,3,10,12,7,0,0,3,0,3,0,0,2,0,0,0,2,2,0,9,0,0,0,15,0,13,0,2,1,9,1,2,0,0,1,11,0,0,0,1,4,12,5,0,0,6,0,7,0,4,0,6,6,0,1,6,3,0,0
"Ant9",0,13,8,0,0,0,0,6,5,0,3,0,11,12,0,0,4,13,9,0,3,6,2,15,5,57,1,0,0,0,0,17,13,15,0,28,0,1,2,1,11,3,6,39,0,6,7,0,0,15,0,13,0,0,1,24,1,4,13,0,0,0,3,9,0,0,0,1,18,0,0,49,0,5,0,1,2,0,18,3,0,0,10,5
"Ant14",1,8,11,6,2,0,0,9,0,0,0,4,1,10,6,8,5,9,0,2,1,14,0,6,3,3,8,2,0,0,8,0,10,2,5,0,10,5,6,9,13,12,12,9,0,19,10,1,1,3,7,9,1,0,6,3,8,5,1,6,0,0,2,2,1,6,0,1,1,0,0,1,0,3,4,11,2,0,0,0,14,2,0,0
"Ant19",0,23,23,0,4,6,9,0,9,1,0,4,5,13,2,8,3,6,12,1,42,28,0,5,2,0,10,0,1,1,2,20,13,4,5,9,2,5,5,38,11,12,11,1,0,22,13,5,0,2,0,2,31,0,10,5,4,7,3,3,0,1,9,27,1,11,0,2,1,0,1,0,0,6,0,7,2,0,0,10,3,1,16,14
"Ant26",0,4,11,3,0,5,0,9,0,0,0,2,0,7,3,1,13,5,11,3,1,32,17,4,0,20,0,3,0,0,2,15,3,4,12,31,2,4,6,7,1,1,6,14,0,13,20,14,0,7,4,16,1,0,3,16,2,18,14,0,2,14,6,8,0,3,0,6,6,0,1,24,1,23,0,0,1,0,11,31,12,3,17,18
"Ant30",6,3,9,0,27,0,0,1,0,0,0,3,0,0,11,8,0,0,0,2,0,0,0,0,3,0,8,0,14,0,1,1,14,0,4,0,0,0,1,3,0,1,0,0,9,7,0,12,13,0,10,0,2,5,8,0,0,0,0,1,3,0,0,0,0,8,17,1,0,0,1,0,20,0,3,6,10,1,0,0,0,0,0,0
"Ant38",1,0,8,3,9,3,0,0,0,0,0,9,1,0,3,7,2,2,0,5,3,1,0,0,0,0,6,20,6,5,1,1,6,0,2,1,13,1,3,0,1,0,8,0,18,0,0,0,4,0,20,0,14,4,6,3,2,2,0,3,15,0,0,1,19,4,0,9,1,0,3,1,1,0,2,2,6,0,0,0,19,10,0,0
"Ant60",17,0,22,12,0,0,4,4,2,3,9,0,1,2,19,5,1,0,2,3,0,0,0,0,5,0,15,15,23,18,13,1,5,0,17,0,28,2,9,2,1,9,6,1,27,0,0,1,9,7,46,0,5,11,20,10,7,2,0,6,6,1,2,1,0,16,2,18,0,0,3,0,5,1,3,4,19,2,5,4,8,3,0,0
"Ant64",4,2,3,2,1,11,1,5,0,0,1,1,0,3,1,1,1,12,3,2,5,25,2,8,2,12,5,1,1,3,0,34,0,0,1,16,4,1,8,16,17,14,4,2,2,6,22,11,2,8,1,6,14,0,3,11,9,0,3,2,0,29,7,15,0,1,0,3,1,0,3,8,4,7,3,10,6,0,13,9,0,0,3,12
"Ant158",1,3,9,1,0,12,10,13,7,0,0,2,3,0,6,1,1,8,3,3,3,21,3,19,5,7,3,0,0,0,2,5,16,15,9,5,6,1,16,12,15,3,6,23,0,4,15,6,1,3,0,13,11,0,0,14,3,2,12,1,2,10,13,4,4,5,0,2,23,0,9,23,1,4,3,4,1,0,5,23,3,2,6,19
