"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant260",0,10,28,24,13,2,4,2,18,43,5,2,25,34,2,11,14,15,8,2,7,31,11,3,26,14,13,9,2,11,16,14,0,1,4,7,8,21,3,40,2,2,21,2,3,12,32,0,0,11,9,4,29,9,3,5,4
"Ant52",10,0,0,0,0,0,2,4,0,0,10,0,4,5,1,0,3,3,2,0,3,0,10,3,3,0,4,12,8,1,6,1,11,2,3,4,8,0,0,0,5,5,0,3,0,0,0,0,0,0,4,1,3,0,8,8,7
"Ant6",28,0,0,0,13,4,17,2,2,3,3,1,14,10,14,10,1,3,0,0,0,0,4,6,26,10,16,7,4,3,26,1,0,7,1,3,15,0,1,0,4,9,1,14,5,0,0,7,0,4,1,5,16,0,1,8,3
"Ant7",24,0,0,0,1,0,1,0,30,71,4,0,24,0,0,0,1,2,0,0,0,17,1,0,6,2,0,0,0,0,2,0,0,4,0,12,1,22,0,56,0,0,21,1,0,12,19,1,0,2,0,0,5,4,0,0,1
"Ant9",13,0,13,1,0,0,10,5,0,3,11,4,0,0,2,8,0,5,4,0,0,0,1,3,3,0,8,12,13,4,1,0,2,2,0,0,0,0,1,0,10,8,0,0,0,0,1,1,0,0,12,12,3,0,2,1,0
"Ant14",2,0,4,0,0,0,3,2,5,1,3,0,6,13,1,3,3,2,3,0,4,7,2,4,7,10,5,0,1,2,29,4,2,1,0,2,2,5,0,0,1,2,4,0,1,0,3,2,0,2,2,1,4,0,0,5,0
"Ant19",4,2,17,1,10,3,0,12,1,0,0,0,4,13,9,17,5,2,0,0,0,0,0,7,9,16,12,21,6,6,9,4,6,1,1,0,4,0,0,0,8,8,0,3,5,0,1,0,0,1,6,2,3,0,0,3,0
"Ant26",2,4,2,0,5,2,12,0,0,0,25,1,0,0,5,7,1,0,6,1,0,3,4,11,0,1,7,14,3,8,0,2,1,0,1,0,2,0,3,0,0,7,0,0,1,0,0,0,0,0,2,5,1,0,13,18,2
"Ant30",18,0,2,30,0,5,1,0,0,44,1,0,34,9,0,1,0,1,0,0,1,18,1,0,2,6,0,2,0,2,4,2,0,0,0,28,0,32,0,43,0,0,27,0,0,6,15,0,0,0,1,0,4,11,0,0,0
"Ant60",43,0,3,71,3,1,0,0,44,0,0,0,34,4,1,0,2,0,0,1,0,25,1,0,1,0,0,1,0,0,3,1,1,0,0,13,1,17,0,12,0,0,26,0,0,0,15,0,0,3,0,0,7,0,0,0,0
"Ant64",5,10,3,4,11,3,0,25,1,0,0,0,1,0,2,1,11,1,3,4,0,4,13,8,3,1,3,21,19,2,0,7,5,12,0,0,1,0,0,0,1,11,0,1,6,0,2,1,0,0,26,2,3,0,1,8,2
"Ant158",2,0,1,0,4,0,0,1,0,0,0,0,0,0,0,1,5,2,1,41,0,1,5,4,3,1,0,10,1,6,2,2,0,0,33,1,2,0,2,0,0,1,0,1,0,0,0,0,0,1,16,36,0,0,0,2,6
"Ant196",25,4,14,24,0,6,4,0,34,34,1,0,0,18,0,3,7,16,2,0,0,23,0,2,14,14,10,10,0,1,2,6,0,5,1,25,9,18,0,32,5,0,33,0,11,20,22,0,0,4,11,1,10,1,0,0,0
"Ant202",34,5,10,0,0,13,13,0,9,4,0,0,18,0,3,2,3,0,1,0,7,24,5,5,14,24,6,0,0,0,19,3,1,6,0,11,7,1,0,2,6,4,3,3,3,1,4,0,1,6,0,0,14,0,0,4,3
"Ant209",2,1,14,0,2,1,9,5,0,1,2,0,0,3,0,1,29,0,3,0,0,1,11,1,0,1,5,3,12,5,3,0,8,1,0,0,1,0,0,0,7,4,0,2,0,0,2,1,0,0,2,4,0,0,0,3,4
"Ant268",11,0,10,0,8,3,17,7,1,0,1,1,3,2,1,0,1,4,0,0,1,3,6,11,5,2,2,4,1,4,2,3,4,2,1,1,11,0,0,0,2,6,1,0,3,0,0,0,0,4,6,1,13,0,1,1,2
"Ant308",14,3,1,1,0,3,5,1,0,2,11,5,7,3,29,1,0,0,6,0,7,2,13,3,1,3,1,3,5,5,4,10,4,0,0,0,2,0,0,0,4,2,6,1,2,0,0,1,0,4,1,0,6,0,1,4,0
"Ant311",15,3,3,2,5,2,2,0,1,0,1,2,16,0,0,4,0,0,1,0,1,3,1,12,2,1,11,6,3,4,4,1,1,1,11,3,4,2,0,0,0,8,1,0,1,0,7,0,0,7,9,1,20,0,3,2,0
"Ant620",8,2,0,0,4,3,0,6,0,0,3,1,2,1,3,0,6,1,0,0,3,3,16,0,5,1,6,2,4,6,0,11,3,1,3,0,11,0,4,0,2,13,0,5,1,0,2,2,0,1,1,2,3,0,1,8,3
"Ant0",2,0,0,0,0,0,0,1,0,1,4,41,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,5,1,0,0,0,1,3,0,0,0,12,0,3,1,0,1,0,0,0,0,0,0,6,0,0,0,0,30,3
"Ant13",7,3,0,0,0,4,0,0,1,0,0,0,0,7,0,1,7,1,3,0,0,1,14,4,1,2,0,0,1,1,0,1,0,0,1,5,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,1,5
"Ant23",31,0,0,17,0,7,0,3,18,25,4,1,23,24,1,3,2,3,3,0,1,0,2,3,4,12,6,5,0,4,5,2,2,1,1,26,4,6,0,19,0,0,9,0,3,2,15,1,0,5,0,0,12,0,0,2,1
"Ant27",11,10,4,1,1,2,0,4,1,1,13,5,0,5,11,6,13,1,16,1,14,2,0,14,0,4,1,3,20,2,5,8,16,7,5,3,11,0,0,0,2,4,5,26,8,0,0,10,0,0,17,4,1,0,8,7,19
"Ant29",3,3,6,0,3,4,7,11,0,0,8,4,2,5,1,11,3,12,0,0,4,3,14,0,0,1,9,5,2,1,1,8,11,10,8,0,10,0,3,0,2,20,3,17,8,0,0,7,0,0,10,4,14,0,4,12,11
"Ant42",26,3,26,6,3,7,9,0,2,1,3,3,14,14,0,5,1,2,5,1,1,4,0,0,0,13,3,2,3,0,21,10,1,0,1,8,3,7,0,0,2,1,5,0,8,0,5,0,1,12,7,0,18,0,1,4,2
"Ant55",14,0,10,2,0,10,16,1,6,0,1,1,14,24,1,2,3,1,1,0,2,12,4,1,13,0,0,0,1,0,9,1,1,2,0,9,2,10,0,5,2,0,7,0,2,1,8,0,0,1,0,0,22,0,0,0,1
"Ant91",13,4,16,0,8,5,12,7,0,0,3,0,10,6,5,2,1,11,6,0,0,6,1,9,3,0,0,10,2,0,9,8,6,11,0,0,8,1,3,0,14,4,2,5,0,0,0,6,1,0,2,5,1,0,3,7,5
"Ant97",9,12,7,0,12,0,21,14,2,1,21,10,10,0,3,4,3,6,2,4,0,5,3,5,2,0,10,0,15,24,5,4,3,10,4,4,7,11,9,0,7,16,0,2,0,0,3,1,0,0,12,7,1,0,7,7,2
"Ant98",2,8,4,0,13,1,6,3,0,0,19,1,0,0,12,1,5,3,4,5,1,0,20,2,3,1,2,15,0,0,0,12,12,5,2,0,7,0,4,0,6,4,0,14,1,0,1,4,0,0,5,9,0,0,1,18,3
"Ant109",11,1,3,0,4,2,6,8,2,0,2,6,1,0,5,4,5,4,6,1,1,4,2,1,0,0,0,24,0,0,1,3,2,1,2,0,1,0,0,0,6,5,0,4,7,0,2,11,0,0,2,4,3,0,1,9,0
"Ant113",16,6,26,2,1,29,9,0,4,3,0,2,2,19,3,2,4,4,0,0,0,5,5,1,21,9,9,5,0,1,0,13,3,4,0,4,6,6,0,6,3,0,5,2,1,0,3,1,0,3,2,1,10,0,0,0,4
"Ant124",14,1,1,0,0,4,4,2,2,1,7,2,6,3,0,3,10,1,11,0,1,2,8,8,10,1,8,4,12,3,13,0,4,0,0,1,9,1,2,0,0,9,1,0,1,0,1,3,0,9,1,0,8,0,1,4,14
"Ant131",0,11,0,0,2,2,6,1,0,1,5,0,0,1,8,4,4,1,3,0,0,2,16,11,1,1,6,3,12,2,3,4,0,6,2,0,8,0,1,0,18,2,0,2,4,0,0,0,0,1,14,4,0,0,1,8,7
"Ant137",1,2,7,4,2,1,1,0,0,0,12,0,5,6,1,2,0,1,1,1,0,1,7,10,0,2,11,10,5,1,4,0,6,0,7,0,11,1,0,0,4,3,0,1,0,0,0,4,0,1,1,0,7,0,12,6,15
"Ant140",4,3,1,0,0,0,1,1,0,0,0,33,1,0,0,1,0,11,3,3,1,1,5,8,1,0,0,4,2,2,0,0,2,7,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,6,3,1,0,0,0,1
"Ant149",7,4,3,12,0,2,0,0,28,13,0,1,25,11,0,1,0,3,0,0,5,26,3,0,8,9,0,4,0,0,4,1,0,0,0,0,3,14,0,18,3,0,13,0,0,2,11,0,0,1,0,0,9,5,0,0,0
"Ant159",8,8,15,1,0,2,4,2,0,1,1,2,9,7,1,11,2,4,11,0,0,4,11,10,3,2,8,7,7,1,6,9,8,11,0,3,0,0,0,0,15,6,5,2,0,0,1,1,0,11,2,2,6,0,0,11,16
"Ant169",21,0,0,22,0,5,0,0,32,17,0,0,18,1,0,0,0,2,0,0,0,6,0,0,7,10,1,11,0,0,6,1,0,1,0,14,0,0,0,18,0,0,14,0,0,13,10,0,0,1,0,0,4,0,0,0,1
"Ant190",3,0,1,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,4,12,0,0,0,3,0,0,3,9,4,0,0,2,1,0,3,0,0,0,0,0,6,3,0,0,0,0,0,2,0,0,0,6,0,0,1,8,0
"Ant195",40,0,0,56,0,0,0,0,43,12,0,0,32,2,0,0,0,0,0,0,0,19,0,0,0,5,0,0,0,0,6,0,0,0,0,18,0,18,0,0,0,0,50,0,0,6,15,0,0,0,0,0,0,2,0,0,0
"Ant232",2,5,4,0,10,1,8,0,0,0,1,0,5,6,7,2,4,0,2,3,0,0,2,2,2,2,14,7,6,6,3,0,18,4,0,3,15,0,6,0,0,7,2,1,2,0,0,11,1,0,4,2,3,0,0,4,16
"Ant242",2,5,9,0,8,2,8,7,0,0,11,1,0,4,4,6,2,8,13,1,2,0,4,20,1,0,4,16,4,5,0,9,2,3,0,0,6,0,3,0,7,0,1,3,3,0,0,2,0,2,1,3,3,0,5,5,6
"Ant257",21,0,1,21,0,4,0,0,27,26,0,0,33,3,0,1,6,1,0,0,0,9,5,3,5,7,2,0,0,0,5,1,0,0,0,13,5,14,0,50,2,1,0,0,2,10,31,0,0,3,2,0,2,5,0,1,0
"Ant263",2,3,14,1,0,0,3,0,0,0,1,1,0,3,2,0,1,0,5,1,2,0,26,17,0,0,5,2,14,4,2,0,2,1,0,0,2,0,0,0,1,3,0,0,1,0,0,10,0,1,0,0,8,0,2,7,6
"Ant289",3,0,5,0,0,1,5,1,0,0,6,0,11,3,0,3,2,1,1,0,0,3,8,8,8,2,0,0,1,7,1,1,4,0,0,0,0,0,0,0,2,3,2,1,0,0,1,2,0,0,0,1,13,0,0,0,5
"Ant332",12,0,0,12,0,0,0,0,6,0,0,0,20,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,13,0,6,0,0,10,0,0,0,5,0,0,0,0,0,1,1,0,0,0
"Ant353",32,0,0,19,1,3,1,0,15,15,2,0,22,4,2,0,0,7,2,0,0,15,0,0,5,8,0,3,1,2,3,1,0,0,0,11,1,10,0,15,0,0,31,0,1,5,0,0,0,1,0,1,17,1,0,0,2
"Ant356",0,0,7,1,1,2,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,1,10,7,0,0,6,1,4,11,1,3,0,4,3,0,1,0,2,0,11,2,0,10,2,0,0,0,0,1,4,5,0,0,0,5,1
"Ant380",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant387",11,0,4,2,0,2,1,0,0,3,0,1,4,6,0,4,4,7,1,0,0,5,0,0,12,1,0,0,0,0,3,9,1,1,0,1,11,1,0,0,0,2,3,1,0,0,1,1,0,0,0,1,7,0,0,1,1
"Ant395",9,4,1,0,12,2,6,2,1,0,26,16,11,0,2,6,1,9,1,6,2,0,17,10,7,0,2,12,5,2,2,1,14,1,6,0,2,0,0,0,4,1,2,0,0,0,0,4,0,0,0,1,8,0,8,6,1
"Ant458",4,1,5,0,12,1,2,5,0,0,2,36,1,0,4,1,0,1,2,0,0,0,4,4,0,0,5,7,9,4,1,0,4,0,3,0,2,0,6,0,2,3,0,0,1,0,1,5,0,1,1,0,3,0,9,0,0
"Ant492",29,3,16,5,3,4,3,1,4,7,3,0,10,14,0,13,6,20,3,0,2,12,1,14,18,22,1,1,0,3,10,8,0,7,1,9,6,4,0,0,3,3,2,8,13,1,17,0,0,7,8,3,0,0,0,0,7
"Ant501",9,0,0,4,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Ant507",3,8,1,0,2,0,0,13,0,0,1,0,0,0,0,1,1,3,1,0,0,0,8,4,1,0,3,7,1,1,0,1,1,12,0,0,0,0,1,0,0,5,0,2,0,0,0,0,0,0,8,9,0,0,0,7,1
"Ant530",5,8,8,0,1,5,3,18,0,0,8,2,0,4,3,1,4,2,8,30,1,2,7,12,4,0,7,7,18,9,0,4,8,6,0,0,11,0,8,0,4,5,1,7,0,0,0,5,0,1,6,0,0,0,7,0,15
"Ant593",4,7,3,1,0,0,0,2,0,0,2,6,0,3,4,2,0,0,3,3,5,1,19,11,2,1,5,2,3,0,4,14,7,15,1,0,16,1,0,0,16,6,0,6,5,0,2,1,0,1,1,0,7,0,1,15,0
