"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant19","Ant26","Ant64","Ant196","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant55","Ant91","Ant97","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant263","Ant332","Ant380","Ant458","Ant492","Ant507","Ant530","Ant593"
"Ant260",0,2,13,9,2,6,0,1,38,8,15,27,4,4,0,5,17,7,2,63,8,11,3,32,9,2,6,1,8,43,15,0,25,4,4,24,0,1,9,0,0,5
"Ant52",2,0,21,2,5,28,5,4,1,11,1,3,0,8,1,3,0,1,0,0,7,2,9,2,2,0,0,5,0,2,0,5,0,6,6,0,0,0,2,0,11,4
"Ant6",13,21,0,0,0,0,0,0,50,0,2,5,9,0,1,6,2,11,20,9,9,0,3,5,4,8,24,13,2,5,0,1,0,5,3,0,0,5,9,1,10,11
"Ant7",9,2,0,0,2,0,0,0,7,0,1,0,0,0,0,0,17,0,0,7,0,1,0,17,0,0,0,0,6,1,19,0,73,0,0,70,0,0,22,0,0,0
"Ant9",2,5,0,2,0,14,2,2,0,0,6,2,4,12,7,0,0,4,4,0,1,8,9,5,0,1,1,1,0,0,1,15,0,11,3,0,0,2,1,0,8,1
"Ant19",6,28,0,0,14,0,0,24,2,6,8,9,5,27,0,11,0,4,0,2,13,14,0,1,7,0,1,2,0,3,1,6,0,20,2,0,0,4,6,0,9,4
"Ant26",0,5,0,0,2,0,0,0,0,0,0,1,0,0,5,0,0,0,2,0,1,0,10,0,0,4,2,8,0,0,0,0,0,1,0,0,0,5,0,4,0,4
"Ant64",1,4,0,0,2,24,0,0,7,9,11,14,0,3,0,0,1,17,12,0,5,10,0,0,5,1,15,5,1,4,1,2,0,12,4,0,0,2,0,17,24,12
"Ant196",38,1,50,7,0,2,0,7,0,7,8,14,7,0,0,3,21,5,18,30,19,3,0,26,17,3,20,0,26,26,13,0,4,17,6,4,0,2,25,1,9,8
"Ant209",8,11,0,0,0,6,0,9,7,0,8,3,3,4,3,5,0,3,7,3,2,3,0,3,2,0,6,1,0,3,0,3,0,0,0,0,0,0,5,0,9,1
"Ant268",15,1,2,1,6,8,0,11,8,8,0,26,14,20,0,0,5,2,0,1,11,2,5,7,17,4,5,2,3,7,1,2,0,7,1,0,0,7,15,0,2,31
