"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant127","Ant131","Ant137","Ant140","Ant149","Ant156","Ant159","Ant169","Ant176","Ant190","Ant195","Ant207","Ant215","Ant232","Ant242","Ant257","Ant263","Ant289","Ant324","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant560","Ant593"
"Ant260",0,0,6,27,0,2,0,0,13,8,15,0,1,26,21,2,3,1,2,0,0,0,0,15,0,1,61,18,25,0,2,0,0,2,15,6,12,0,8,1,34,0,17,5,1,2,1,19,0,0,0,17,1,3,1,9,5,0,2,7,0,11,2,43,13,12,9,0,0,15,1
"Ant52",0,0,0,0,14,13,5,3,1,0,0,18,6,0,0,3,8,13,4,3,2,5,16,0,3,1,0,1,0,1,9,19,1,6,3,7,1,0,2,6,0,23,0,2,5,7,0,42,16,7,1,0,4,15,0,5,1,1,0,4,11,0,21,0,5,0,0,1,0,1,1
"Ant6",6,0,0,6,0,4,2,0,0,9,3,1,0,29,2,4,2,4,17,0,1,0,2,11,1,8,0,19,0,4,11,0,0,0,8,12,1,0,4,0,1,0,5,3,0,0,20,1,0,6,0,0,0,1,0,25,4,2,0,3,0,17,0,4,0,7,0,0,0,7,6
"Ant7",27,0,6,0,0,0,0,0,0,3,15,2,0,39,17,0,0,2,0,0,0,0,1,8,0,7,31,25,5,0,0,7,0,0,12,2,0,0,1,0,22,0,4,9,0,0,9,7,0,2,0,52,0,2,1,1,16,0,0,1,0,28,0,0,4,18,3,0,0,18,1
"Ant9",0,14,0,0,0,0,9,5,0,0,0,19,4,1,0,3,10,1,0,0,18,0,1,0,14,1,0,0,0,0,0,9,39,20,0,1,2,5,1,5,0,19,0,0,4,0,0,0,1,14,16,0,5,4,0,1,2,15,0,2,50,0,25,0,2,0,0,18,7,0,2
"Ant14",2,13,4,0,0,0,1,0,0,8,1,0,1,3,4,2,0,3,12,1,0,0,2,5,0,9,0,2,2,7,12,11,6,2,6,8,5,1,0,0,2,4,6,0,0,0,2,24,2,5,0,0,0,2,3,5,11,0,0,1,1,2,4,5,14,0,0,11,0,1,8
"Ant19",0,5,2,0,9,1,0,4,0,3,0,28,0,9,0,0,5,3,2,0,3,3,7,0,13,7,0,0,2,5,17,1,6,4,3,0,8,21,5,3,1,8,6,1,5,0,1,13,21,34,6,0,3,2,1,5,1,10,0,10,1,1,14,3,51,0,0,4,36,3,4
"Ant26",0,3,0,0,5,0,4,0,0,0,0,24,18,10,0,2,14,17,0,12,28,0,1,0,23,0,0,0,2,1,1,6,16,2,0,1,0,2,1,2,2,4,4,0,5,1,0,0,10,42,2,0,12,1,1,2,4,1,0,5,8,0,6,5,0,0,0,2,7,0,1
"Ant30",13,1,0,0,0,0,0,0,0,2,11,0,0,3,3,0,0,3,0,0,1,0,0,2,0,1,5,10,1,0,3,0,0,0,2,0,0,0,1,1,7,2,15,7,0,0,0,1,0,0,0,7,0,0,0,3,0,0,0,2,0,8,0,2,1,0,4,0,0,2,0
"Ant38",8,0,9,3,0,8,3,0,2,0,26,0,1,9,7,0,3,3,14,0,1,0,0,6,0,3,6,7,11,3,5,2,1,0,9,23,0,3,5,0,9,1,14,12,0,2,18,3,0,0,0,7,0,0,0,3,9,0,0,3,0,4,0,4,17,1,0,0,0,4,3
"Ant60",15,0,3,15,0,1,0,0,11,26,0,0,0,17,14,0,0,3,7,0,0,0,0,8,0,2,1,21,9,2,2,0,0,0,9,1,3,0,2,0,19,1,1,14,0,0,4,3,0,0,0,30,0,0,0,5,4,0,0,1,0,11,0,9,8,8,9,0,0,3,0
"Ant64",0,18,1,2,19,0,28,24,0,0,0,0,12,1,0,17,6,1,0,55,11,0,3,2,17,12,0,0,0,3,11,12,15,23,0,2,2,9,5,2,0,14,6,0,9,13,0,0,14,13,4,0,30,0,0,4,0,8,0,0,37,2,6,1,2,0,0,19,25,0,7
"Ant158",1,6,0,0,4,1,0,18,0,1,0,12,0,2,0,2,15,1,0,5,17,1,4,4,24,15,0,0,0,2,9,3,20,11,0,6,0,5,2,5,1,14,0,10,11,0,0,5,20,13,17,0,0,9,0,1,3,4,0,7,10,5,7,1,2,0,0,16,23,0,16
"Ant196",26,0,29,39,1,3,9,10,3,9,17,1,2,0,33,4,4,2,13,1,1,0,4,24,0,2,32,27,26,6,8,1,0,0,13,11,2,2,16,6,34,8,2,4,0,2,9,10,1,6,0,22,2,1,3,8,7,0,1,6,1,26,2,7,16,16,3,0,1,5,6
"Ant202",21,0,2,17,0,4,0,0,3,7,14,0,0,33,0,0,0,0,1,1,0,0,0,5,1,1,37,25,5,2,1,2,0,0,5,1,5,0,9,0,23,1,1,7,0,0,1,10,0,0,0,23,0,1,4,1,12,0,0,1,0,8,0,6,0,17,5,0,0,11,1
"Ant209",2,3,4,0,3,2,0,2,0,0,0,17,2,4,0,0,2,5,1,2,2,1,0,0,7,21,0,0,9,2,32,6,7,5,0,4,1,0,0,7,0,13,2,1,0,11,4,0,3,10,2,0,1,16,1,4,6,0,0,2,9,2,13,1,3,0,0,13,0,0,11
"Ant252",3,8,2,0,10,0,5,14,0,3,0,6,15,4,0,2,0,17,0,0,14,0,4,4,16,62,0,3,0,4,6,5,15,49,1,3,0,20,11,0,0,15,3,4,17,5,1,2,0,8,10,0,26,1,0,8,7,3,0,1,39,1,33,3,7,0,0,10,10,1,17
"Ant268",1,13,4,2,1,3,3,17,3,3,3,1,1,2,0,5,17,0,4,0,8,1,50,1,5,6,0,1,0,15,36,16,19,10,4,14,8,4,2,0,0,4,2,0,0,1,4,6,4,10,10,0,6,5,1,3,4,3,0,11,11,4,7,4,1,4,0,4,11,3,13
