"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant260",0,2,59,35,0,17,0,2,29,57,1,2,32,18,3,12,18,6,2,0,3,16,10,10,47,69,8,6,3,1,38,11,3,5,1,43,14,39,1,59,3,0,18,3,2,20,20,0,0,5,1,0,10,6,3,1,4
"Ant52",2,0,1,0,2,2,5,1,0,0,11,1,1,0,2,9,0,2,6,0,0,1,3,3,0,0,3,3,1,0,0,1,0,8,5,0,3,0,2,0,3,1,0,11,0,4,3,3,0,0,2,7,0,0,1,4,0
"Ant6",59,1,0,40,0,2,6,1,0,2,1,4,41,13,0,4,2,1,4,0,2,4,19,6,15,20,0,0,2,1,17,4,2,10,0,4,7,0,1,0,4,2,0,2,7,6,33,1,1,3,0,2,36,0,2,0,1
"Ant7",35,0,40,0,0,4,1,2,32,84,0,0,28,26,3,4,12,5,0,0,3,14,4,3,39,19,5,4,1,2,14,9,3,6,1,29,7,26,0,67,0,2,31,2,0,8,17,0,0,1,0,3,12,16,2,0,2
"Ant9",0,2,0,0,0,0,0,4,1,0,10,10,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,2,8,0,0,0,0,0,0,3,5,0,4,0,0,0,0,0,0,8,1,0,0,0,17,0
"Ant14",17,2,2,4,0,0,4,0,4,2,0,0,9,1,3,8,1,3,2,0,7,9,2,4,17,9,5,12,1,0,10,1,4,1,2,0,15,0,3,0,0,0,3,0,4,2,25,10,0,2,1,1,12,0,4,0,7
"Ant19",0,5,6,1,0,4,0,0,0,0,5,2,2,0,2,17,4,6,4,0,5,1,3,8,1,0,5,4,7,2,9,1,10,14,2,1,8,0,5,0,6,14,1,4,1,1,2,12,0,0,23,0,0,0,17,12,15
"Ant26",2,1,1,2,4,0,0,0,0,0,25,10,1,1,1,2,0,13,6,1,1,0,0,9,0,0,8,17,14,1,6,7,8,13,0,0,1,0,0,0,7,41,0,10,0,0,1,0,0,0,0,0,3,0,0,10,11
"Ant30",29,0,0,32,1,4,0,0,0,26,2,1,14,3,0,3,1,0,0,0,0,12,0,0,2,7,0,0,0,2,0,0,0,3,1,30,0,22,0,40,0,2,18,1,0,0,8,0,0,0,1,0,2,14,0,0,4
"Ant60",57,0,2,84,0,2,0,0,26,0,0,0,10,8,0,0,2,0,0,0,0,31,1,0,0,10,6,0,0,3,9,0,0,0,0,41,1,25,1,28,0,0,19,2,2,3,9,0,0,1,0,0,5,3,1,0,5
"Ant64",1,11,1,0,10,0,5,25,2,0,0,6,1,0,0,1,0,1,16,0,3,1,2,0,0,1,10,12,7,2,3,8,0,14,18,0,1,0,0,0,1,41,0,2,0,0,0,1,0,0,0,1,0,0,1,15,1
"Ant158",2,1,4,0,10,0,2,10,1,0,6,0,1,0,0,7,0,1,9,0,2,1,2,6,1,0,0,9,22,2,1,1,3,5,2,0,1,0,2,0,1,3,0,2,8,0,0,6,0,0,13,5,5,0,1,14,8
"Ant196",32,1,41,28,1,9,2,1,14,10,1,1,0,23,4,6,11,5,11,0,3,19,6,21,25,29,10,9,2,0,22,6,1,39,0,25,15,21,0,15,1,0,22,5,3,15,27,0,0,5,0,0,12,6,1,2,12
"Ant202",18,0,13,26,0,1,0,1,3,8,0,0,23,0,2,0,4,6,1,0,2,29,3,7,14,13,2,1,3,1,31,15,7,0,0,2,11,0,0,2,1,0,3,2,5,17,19,0,0,3,0,0,12,0,1,0,1
"Ant209",3,2,0,3,2,3,2,1,0,0,0,0,4,2,0,1,5,7,0,0,4,0,6,0,23,4,8,4,5,2,8,3,4,13,5,5,5,0,0,0,1,2,1,2,0,0,8,1,0,0,0,0,0,0,4,2,1
"Ant268",12,9,4,4,0,8,17,2,3,0,1,7,6,0,1,0,0,7,0,0,8,0,10,5,8,5,4,5,18,0,10,10,3,17,1,5,19,0,3,0,0,1,0,9,3,6,12,0,0,0,1,1,4,0,4,4,0
"Ant308",18,0,2,12,0,1,4,0,1,2,0,0,11,4,5,0,0,5,1,0,1,5,15,27,19,1,7,4,2,4,19,6,5,5,0,1,13,0,3,0,0,0,4,3,3,0,17,0,0,10,1,7,7,0,5,5,6
"Ant311",6,2,1,5,0,3,6,13,0,0,1,1,5,6,7,7,5,0,2,1,7,7,0,23,20,0,3,0,25,0,13,5,9,3,0,14,14,0,0,0,5,8,0,1,1,0,6,0,0,3,0,0,2,0,1,2,10
"Ant620",2,6,4,0,0,2,4,6,0,0,16,9,11,1,0,0,1,2,0,0,8,12,8,15,4,0,11,15,11,15,6,33,2,13,16,0,11,0,0,0,0,24,0,4,1,0,8,9,0,3,23,0,2,0,1,1,7
"Ant0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,4,0,4,0,3,1,0,1,0,0,0,1,0,2,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0
"Ant13",3,0,2,3,0,7,5,1,0,0,3,2,3,2,4,8,1,7,8,0,0,4,0,6,7,5,9,4,0,0,5,4,1,6,6,0,11,0,2,0,2,0,2,0,1,0,16,1,0,1,1,0,0,0,5,1,1
"Ant23",16,1,4,14,0,9,1,0,12,31,1,1,19,29,0,0,5,7,12,0,4,0,4,16,16,13,7,16,0,0,12,12,0,24,0,37,6,4,2,12,0,0,8,5,0,3,22,2,0,3,1,1,12,1,1,6,8
"Ant27",10,3,19,4,0,2,3,0,0,1,2,2,6,3,6,10,15,0,8,1,0,4,0,8,12,7,8,24,1,6,1,3,1,6,26,1,18,0,5,0,4,0,0,4,9,5,9,6,0,3,1,2,13,1,13,0,11
"Ant29",10,3,6,3,0,4,8,9,0,0,0,6,21,7,0,5,27,23,15,4,6,16,8,0,5,0,19,13,4,9,2,21,25,9,9,0,16,0,2,0,23,5,0,3,2,0,4,2,1,5,2,6,19,0,6,0,30
"Ant42",47,0,15,39,0,17,1,0,2,0,0,1,25,14,23,8,19,20,4,0,7,16,12,5,0,25,0,2,8,0,70,1,12,10,0,19,5,1,0,0,6,0,5,3,0,6,63,0,0,9,0,0,1,1,4,1,26
"Ant55",69,0,20,19,0,9,0,0,7,10,1,0,29,13,4,5,1,0,0,0,5,13,7,0,25,0,2,10,0,0,12,3,0,1,0,18,5,10,0,14,0,0,4,0,0,1,26,0,0,0,0,0,17,1,0,0,0
"Ant91",8,3,0,5,0,5,5,8,0,6,10,0,10,2,8,4,7,3,11,0,9,7,8,19,0,2,0,7,4,2,6,8,8,8,3,2,20,1,4,0,4,17,6,6,7,0,13,0,0,0,5,11,3,0,0,13,13
"Ant97",6,3,0,4,5,12,4,17,0,0,12,9,9,1,4,5,4,0,15,4,4,16,24,13,2,10,7,0,22,20,3,6,16,19,55,0,2,0,27,0,3,30,16,31,0,0,22,7,0,0,9,1,3,0,23,5,4
"Ant98",3,1,2,1,14,1,7,14,0,0,7,22,2,3,5,18,2,25,11,0,0,0,1,4,8,0,4,22,0,3,4,11,0,9,7,0,15,0,2,0,1,9,0,9,4,0,4,0,0,7,2,1,1,0,10,4,3
"Ant109",1,0,1,2,0,0,2,1,2,3,2,2,0,1,2,0,4,0,15,4,0,0,6,9,0,0,2,20,3,0,1,3,9,2,12,0,1,0,27,0,16,15,0,32,0,1,2,6,0,0,3,10,6,0,1,2,1
"Ant113",38,0,17,14,0,10,9,6,0,9,3,1,22,31,8,10,19,13,6,0,5,12,1,2,70,12,6,3,4,1,0,15,0,18,1,13,23,1,1,1,7,9,3,2,1,9,20,0,0,1,0,0,3,0,1,1,20
"Ant124",11,1,4,9,0,1,1,7,0,0,8,1,6,15,3,10,6,5,33,3,4,12,3,21,1,3,8,6,11,3,15,0,3,3,0,6,22,0,2,0,1,2,1,4,6,2,9,0,0,5,0,28,6,0,3,3,9
"Ant131",3,0,2,3,2,4,10,8,0,0,0,3,1,7,4,3,5,9,2,1,1,0,1,25,12,0,8,16,0,9,0,3,0,10,2,1,7,0,12,0,10,12,0,1,0,2,3,8,0,1,0,8,0,0,5,5,11
"Ant137",5,8,10,6,8,1,14,13,3,0,14,5,39,0,13,17,5,3,13,0,6,24,6,9,10,1,8,19,9,2,18,3,10,0,2,1,17,1,6,0,5,20,5,3,2,1,13,0,0,10,0,2,6,1,12,4,17
"Ant140",1,5,0,1,0,2,2,0,1,0,18,2,0,0,5,1,0,0,16,1,6,0,26,9,0,0,3,55,7,12,1,0,2,2,0,0,8,0,1,0,0,26,0,11,1,0,1,4,0,0,1,18,0,0,5,9,0
"Ant149",43,0,4,29,0,0,1,0,30,41,0,0,25,2,5,5,1,14,0,0,0,37,1,0,19,18,2,0,0,0,13,6,1,1,0,0,3,47,0,51,0,0,28,1,0,3,4,0,0,0,0,0,9,14,1,0,1
"Ant159",14,3,7,7,0,15,8,1,0,1,1,1,15,11,5,19,13,14,11,0,11,6,18,16,5,5,20,2,15,1,23,22,7,17,8,3,0,0,12,0,6,1,0,7,4,7,10,0,0,14,2,4,14,0,7,0,1
"Ant169",39,0,0,26,0,0,0,0,22,25,0,0,21,0,0,0,0,0,0,0,0,4,0,0,1,10,1,0,0,0,1,0,0,1,0,47,0,0,0,39,0,0,24,0,0,3,3,0,0,1,0,0,3,11,0,0,0
"Ant190",1,2,1,0,0,3,5,0,0,1,0,2,0,0,0,3,3,0,0,1,2,2,5,2,0,0,4,27,2,27,1,2,12,6,1,0,12,0,0,0,13,0,1,2,2,1,3,4,0,1,0,1,2,0,0,15,0
"Ant195",59,0,0,67,0,0,0,0,40,28,0,0,15,2,0,0,0,0,0,0,0,12,0,0,0,14,0,0,0,0,1,0,0,0,0,51,0,39,0,0,0,0,47,0,0,0,11,0,0,0,0,0,5,7,0,0,0
"Ant232",3,3,4,0,3,0,6,7,0,0,1,1,1,1,1,0,0,5,0,2,2,0,4,23,6,0,4,3,1,16,7,1,10,5,0,0,6,0,13,0,0,2,0,6,0,1,2,1,0,1,3,10,7,0,0,1,18
"Ant242",0,1,2,2,5,0,14,41,2,0,41,3,0,0,2,1,0,8,24,0,0,0,0,5,0,0,17,30,9,15,9,2,12,20,26,0,1,0,0,0,2,0,0,18,0,0,0,6,0,0,2,0,1,0,1,19,19
"Ant257",18,0,0,31,0,3,1,0,18,19,0,0,22,3,1,0,4,0,0,0,2,8,0,0,5,4,6,16,0,0,3,1,0,5,0,28,0,24,1,47,0,0,0,0,0,0,5,0,0,1,0,0,0,17,0,0,5
"Ant263",3,11,2,2,4,0,4,10,1,2,2,2,5,2,2,9,3,1,4,1,0,5,4,3,3,0,6,31,9,32,2,4,1,3,11,1,7,0,2,0,6,18,0,0,9,0,3,0,0,0,0,0,2,0,3,2,3
"Ant289",2,0,7,0,0,4,1,0,0,2,0,8,3,5,0,3,3,1,1,3,1,0,9,2,0,0,7,0,4,0,1,6,0,2,1,0,4,0,2,0,0,0,0,9,0,5,1,1,0,1,0,6,5,0,0,0,1
"Ant332",20,4,6,8,0,2,1,0,0,3,0,0,15,17,0,6,0,0,0,0,0,3,5,0,6,1,0,0,0,1,9,2,2,1,0,3,7,3,1,0,1,0,0,0,5,0,13,0,0,1,0,2,5,0,1,0,0
"Ant353",20,3,33,17,0,25,2,1,8,9,0,0,27,19,8,12,17,6,8,0,16,22,9,4,63,26,13,22,4,2,20,9,3,13,1,4,10,3,3,11,2,0,5,3,1,13,0,0,0,4,0,1,28,0,6,1,15
"Ant356",0,3,1,0,0,10,12,0,0,0,1,6,0,0,1,0,0,0,9,0,1,2,6,2,0,0,0,7,0,6,0,0,8,0,4,0,0,0,4,0,1,6,0,0,1,0,0,0,0,0,2,1,1,0,0,3,1
"Ant380",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Ant387",5,0,3,1,0,2,0,0,0,1,0,0,5,3,0,0,10,3,3,0,1,3,3,5,9,0,0,0,7,0,1,5,1,10,0,0,14,1,1,0,1,0,1,0,1,1,4,0,0,0,1,0,2,0,3,0,10
"Ant395",1,2,0,0,8,1,23,0,1,0,0,13,0,0,0,1,1,0,23,0,1,1,1,2,0,0,5,9,2,3,0,0,0,0,1,0,2,0,0,0,3,2,0,0,0,0,0,2,0,1,0,5,0,0,1,26,0
"Ant458",0,7,2,3,1,1,0,0,0,0,1,5,0,0,0,1,7,0,0,3,0,1,2,6,0,0,11,1,1,10,0,28,8,2,18,0,4,0,1,0,10,0,0,0,6,2,1,1,0,0,5,0,0,0,1,0,2
