"","Ant260","Ant52","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant55","Ant91","Ant97","Ant98","Ant109","Ant113","Ant124","Ant131","Ant137","Ant140","Ant149","Ant159","Ant169","Ant190","Ant195","Ant232","Ant242","Ant257","Ant263","Ant289","Ant332","Ant353","Ant356","Ant380","Ant387","Ant395","Ant458","Ant492","Ant501","Ant507","Ant530","Ant593"
"Ant260",0,2,37,50,0,9,6,0,40,105,0,1,66,22,5,14,6,1,0,0,8,39,7,5,49,23,12,1,1,0,23,11,0,3,0,64,21,38,0,68,1,1,33,0,2,31,19,1,0,5,0,1,17,12,1,1,0
"Ant52",2,0,1,0,0,2,1,1,0,0,1,17,1,1,1,0,2,1,6,0,4,0,7,3,1,0,18,0,1,7,3,1,2,1,1,0,1,0,13,0,2,0,0,0,6,0,0,3,0,0,18,1,0,0,0,7,3
"Ant6",37,1,0,10,1,8,0,0,0,1,0,0,20,12,5,0,4,0,0,0,2,0,2,2,3,14,3,0,0,0,1,4,4,8,3,2,1,6,0,0,2,0,3,0,13,13,3,0,0,6,0,1,10,0,1,0,6
"Ant7",50,0,10,0,0,5,1,0,16,38,1,1,32,32,5,11,10,6,2,1,3,49,3,7,60,14,2,0,0,2,11,9,3,3,1,31,12,8,0,19,1,0,10,1,2,14,48,1,2,2,0,0,12,3,0,1,0
"Ant9",0,0,1,0,0,0,2,1,0,0,17,8,0,0,0,0,2,0,0,71,0,0,1,0,1,0,4,21,4,1,0,5,3,2,0,0,0,0,0,0,9,5,0,1,0,2,1,4,0,3,1,1,0,0,0,0,5
"Ant14",9,2,8,5,0,0,4,0,16,0,4,1,4,8,20,6,4,13,2,0,5,3,2,0,17,2,2,2,2,0,16,18,7,5,0,14,1,1,1,0,0,0,1,2,3,3,37,2,0,1,0,2,4,3,0,0,7
"Ant19",6,1,0,1,2,4,0,1,0,0,3,6,0,4,4,2,1,26,5,2,11,3,15,9,5,4,8,22,2,2,3,2,7,13,6,1,10,0,0,0,2,4,1,2,2,0,5,3,0,0,11,1,4,0,4,6,19
"Ant26",0,1,0,0,1,0,1,0,0,0,17,9,0,0,0,0,0,0,0,1,27,1,5,2,0,4,14,1,0,5,0,9,2,6,70,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,3,1,12,0,12,97,3
"Ant30",40,0,0,16,0,16,0,0,0,77,0,0,11,13,1,6,0,0,0,0,2,6,1,1,2,8,3,0,0,0,5,1,3,0,2,31,2,17,0,26,0,0,16,0,0,1,4,0,0,2,0,0,11,2,0,0,0
"Ant60",105,0,1,38,0,0,0,0,77,0,0,0,15,16,0,0,0,0,0,0,0,12,0,2,1,3,3,0,0,0,1,5,0,0,0,21,8,38,0,34,0,0,7,0,0,2,19,0,0,5,0,0,2,14,0,0,0
