"","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant14","Ant19","Ant26","Ant30","Ant38","Ant60","Ant64","Ant158","Ant196","Ant202","Ant209","Ant252","Ant268","Ant308","Ant311","Ant620","Ant0","Ant13","Ant23","Ant27","Ant29","Ant42","Ant43","Ant55","Ant63","Ant91","Ant97","Ant98","Ant100","Ant109","Ant113","Ant115","Ant124","Ant127","Ant131","Ant137","Ant139","Ant140","Ant149","Ant153","Ant156","Ant159","Ant169","Ant176","Ant186","Ant190","Ant195","Ant198","Ant207","Ant215","Ant219","Ant232","Ant242","Ant255","Ant257","Ant263","Ant289","Ant318","Ant324","Ant332","Ant342","Ant353","Ant356","Ant380","Ant387","Ant395","Ant437","Ant458","Ant462","Ant482","Ant492","Ant501","Ant507","Ant530","Ant552","Ant560","Ant564","Ant593"
"Ant260",0,1,5,8,16,0,1,0,0,12,5,18,1,0,30,16,0,0,0,2,0,1,0,0,21,3,4,30,15,21,6,0,42,0,9,1,5,9,2,5,17,8,4,0,13,0,0,1,36,3,11,2,6,22,1,2,2,9,1,0,9,2,4,3,3,16,15,9,0,0,4,0,16,0,5,2,9,2,1,2,11,25,2,0
"Ant52",1,0,2,1,0,3,6,3,4,1,9,2,4,0,7,1,6,22,4,10,0,13,0,27,2,4,8,5,4,1,2,7,9,4,16,2,8,0,6,8,7,5,38,1,0,1,2,27,1,1,1,8,3,0,12,1,10,13,5,2,0,1,11,17,0,4,0,5,5,0,9,5,2,19,0,0,0,0,4,9,15,5,3,27
"Ant540",5,2,0,2,9,2,1,3,0,6,4,14,2,0,28,5,0,4,12,25,4,8,7,1,7,8,14,9,7,7,9,4,15,4,0,3,11,21,11,12,6,5,19,1,6,2,1,7,8,0,26,5,16,16,7,1,3,1,0,14,9,1,3,3,7,4,0,20,0,0,14,6,6,7,7,5,0,0,0,5,8,11,0,9
"Ant6",8,1,2,0,2,0,2,0,0,1,7,6,0,0,25,11,2,0,0,8,27,2,0,2,10,1,4,22,14,0,10,2,1,0,0,0,9,0,4,3,12,14,6,0,0,4,0,9,1,0,32,0,8,14,3,0,7,1,0,2,1,0,6,2,1,17,0,0,0,0,1,4,7,3,9,1,0,0,0,1,11,7,0,2
"Ant7",16,0,9,2,0,0,0,1,0,17,0,2,0,0,3,11,0,0,0,0,0,0,0,0,5,0,7,5,10,5,0,0,3,0,5,0,2,10,0,5,1,0,0,0,16,0,0,0,15,2,17,0,6,4,5,0,0,1,0,0,15,0,0,2,0,2,24,1,0,0,0,0,10,0,2,0,29,8,0,0,0,3,0,0
"Ant9",0,3,2,0,0,0,6,2,10,0,1,0,33,34,0,4,5,8,7,0,6,4,4,1,1,19,3,0,0,0,0,20,0,43,0,8,0,0,12,0,2,11,0,36,0,0,24,4,0,36,0,18,1,0,2,24,14,4,37,0,0,21,0,23,0,1,0,0,31,0,5,15,0,7,1,0,0,0,8,50,8,0,4,7
"Ant14",1,6,1,2,0,6,0,0,0,1,0,0,2,9,2,1,5,25,1,1,1,12,2,11,0,22,17,2,0,0,1,3,12,2,3,12,1,2,1,8,0,14,22,9,1,25,7,3,0,5,3,2,3,0,5,5,22,17,21,0,0,3,12,5,2,0,0,1,3,0,3,7,1,11,0,6,0,0,0,8,1,0,3,4
"Ant19",0,3,3,0,1,2,0,0,1,2,8,1,3,4,24,0,2,0,11,2,3,4,5,20,1,19,6,3,0,0,3,4,39,8,10,7,5,9,6,43,5,8,8,0,3,16,0,2,0,2,2,9,0,5,2,17,17,5,0,3,1,4,1,7,11,0,0,3,2,0,0,0,0,12,14,12,0,0,2,11,2,4,2,12
"Ant26",0,4,0,0,0,10,0,1,0,0,1,0,22,12,0,1,5,14,2,0,5,9,0,1,4,4,0,0,0,0,0,30,4,14,10,20,0,1,0,4,1,4,1,10,0,1,13,16,0,24,1,1,0,0,0,1,13,5,15,0,0,29,4,21,0,0,0,6,14,0,3,22,0,7,2,0,0,0,21,11,7,0,6,9
"Ant30",12,1,6,1,17,0,1,2,0,0,4,4,0,0,5,11,3,0,0,0,0,1,0,1,8,0,0,1,4,6,3,0,1,0,0,0,1,14,0,0,0,0,9,0,8,0,6,1,21,0,9,0,3,6,3,0,3,0,0,0,4,0,1,0,0,2,6,0,0,2,4,0,7,2,1,0,23,9,0,0,1,0,0,6
