"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,7,0,0,2,0,15,8,10,0,0,4,4,0,5,0,5,2,38,3,7,0,5,0,2,0,4,0,9,11,0,8,7,8,1,1,6,1,6,0,3,6,10,1,4
"Ant540",7,0,19,3,6,2,6,11,12,0,0,17,12,0,2,2,1,0,9,4,5,6,24,11,24,0,17,1,2,6,0,16,3,10,4,3,9,1,13,0,7,12,10,3,5
"Ant6",0,19,0,2,1,2,3,15,4,0,0,10,8,1,5,1,0,11,38,32,3,18,2,4,11,0,0,0,1,15,0,4,1,6,2,0,4,0,7,1,4,6,0,6,2
"Ant14",0,3,2,0,2,10,8,2,3,4,12,3,6,16,0,6,18,12,8,0,1,34,13,11,1,3,8,18,0,2,12,0,1,9,5,1,1,3,2,6,1,3,0,0,4
"Ant19",2,6,1,2,0,0,4,4,10,0,1,2,9,0,2,0,4,1,5,5,1,4,4,7,3,0,11,0,2,15,2,4,4,8,6,2,1,0,5,7,6,2,0,0,1
"Ant26",0,2,2,10,0,0,0,0,0,9,3,0,0,11,0,0,0,0,0,0,1,0,2,3,0,8,0,10,0,0,10,0,0,1,7,1,0,2,3,4,0,2,0,0,3
"Ant73",15,6,3,8,4,0,0,10,7,0,0,21,21,0,5,2,0,1,27,4,0,4,2,8,2,0,3,0,15,7,3,5,7,2,0,2,4,0,5,1,4,13,7,10,15
"Ant148",8,11,15,2,4,0,10,0,8,0,0,2,7,0,2,2,3,2,21,11,2,3,12,12,5,1,0,0,4,21,1,21,13,5,4,15,12,0,9,1,3,17,2,0,12
"Ant158",10,12,4,3,10,0,7,8,0,0,2,5,27,0,9,10,2,6,14,14,3,8,10,9,5,0,3,0,18,6,1,11,11,14,5,1,15,0,17,0,0,11,5,5,12
"Ant191",0,0,0,4,0,9,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant202",0,0,0,12,1,3,0,0,2,7,0,0,5,7,1,1,14,7,2,0,2,28,2,2,0,1,1,10,1,0,5,0,0,2,6,0,0,4,0,6,0,1,1,1,2
"Ant252",4,17,10,3,2,0,21,2,5,0,0,0,3,2,8,5,8,6,42,16,5,11,2,6,6,1,13,0,0,2,0,2,3,6,1,2,7,0,13,0,4,1,8,8,11
"Ant311",4,12,8,6,9,0,21,7,27,0,5,3,0,2,4,4,14,5,16,11,0,31,33,13,11,0,11,3,0,17,5,6,41,11,9,6,7,2,32,9,6,24,8,5,10
"Ant518",0,0,1,16,0,11,0,0,0,8,7,2,2,0,0,3,5,2,2,0,1,10,10,1,1,6,17,10,0,0,7,2,0,1,11,6,1,0,2,1,0,1,0,0,2
"Ant0",5,2,5,0,2,0,5,2,9,0,1,8,4,0,0,4,6,2,12,4,3,3,0,8,5,0,6,0,3,5,1,5,9,8,1,0,2,0,15,1,4,4,5,10,6
"Ant23",0,2,1,6,0,0,2,2,10,0,1,5,4,3,4,0,5,8,11,1,0,16,3,5,4,0,5,1,0,2,0,3,0,9,4,0,2,0,2,1,0,3,3,0,7
"Ant27",5,1,0,18,4,0,0,3,2,0,14,8,14,5,6,5,0,22,5,0,3,19,28,31,0,3,7,8,3,3,3,0,0,11,8,4,9,6,7,19,0,10,1,5,2
"Ant32",2,0,11,12,1,0,1,2,6,0,7,6,5,2,2,8,22,0,3,1,1,10,4,22,3,4,12,14,0,5,16,2,2,5,0,6,5,13,4,15,0,8,3,0,9
"Ant44",38,9,38,8,5,0,27,21,14,0,2,42,16,2,12,11,5,3,0,36,35,6,4,2,11,1,10,2,9,48,3,21,32,27,6,7,15,1,28,3,24,14,13,26,6
"Ant97",3,4,32,0,5,0,4,11,14,0,0,16,11,0,4,1,0,1,36,0,7,3,5,9,7,0,9,0,8,21,1,6,12,8,3,2,6,0,8,5,1,1,6,6,1
"Ant115",7,5,3,1,1,1,0,2,3,0,2,5,0,1,3,0,3,1,35,7,0,6,1,4,4,0,8,3,14,5,0,2,13,14,5,2,7,1,15,2,0,0,2,3,5
"Ant117",0,6,18,34,4,0,4,3,8,0,28,11,31,10,3,16,19,10,6,3,6,0,26,14,7,3,4,17,1,1,7,4,0,12,30,1,5,8,7,24,2,14,15,6,5
"Ant140",5,24,2,13,4,2,2,12,10,0,2,2,33,10,0,3,28,4,4,5,1,26,0,16,6,0,9,11,0,11,5,10,10,10,22,35,2,2,9,14,11,9,4,0,11
"Ant149",0,11,4,11,7,3,8,12,9,0,2,6,13,1,8,5,31,22,2,9,4,14,16,0,14,0,7,3,6,13,9,10,1,25,16,6,8,4,10,7,1,9,5,1,12
