"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,4,3,0,11,0,17,0,2,0,0,12,13,0,3,0,5,2,14,0,0,0,0,3,0,0,0,0,5,0,0,0,8,2,0,0,1,0,9,1,1,0,6,11,7
"Ant540",4,0,16,2,8,1,7,14,8,0,0,6,7,0,0,1,0,0,8,2,22,11,8,9,0,0,4,1,5,0,7,2,6,4,6,0,6,3,11,1,0,1,8,5,24
"Ant6",3,16,0,0,6,0,4,16,8,0,0,45,20,1,2,0,5,0,19,3,5,9,1,5,0,0,7,1,3,1,6,4,11,6,3,0,3,0,2,2,0,1,12,7,4
"Ant14",0,2,0,0,6,6,0,5,6,14,1,2,6,6,1,8,5,2,10,7,5,13,9,8,5,0,2,12,0,1,2,3,5,8,8,1,0,12,2,6,0,5,3,1,8
"Ant19",11,8,6,6,0,0,4,5,5,2,0,14,6,2,3,0,3,5,15,2,0,1,4,11,6,0,3,0,6,0,0,15,0,4,1,0,1,2,11,5,1,4,13,1,6
"Ant26",0,1,0,6,0,0,0,3,0,17,5,0,0,11,0,0,5,10,0,2,0,0,0,3,4,19,1,11,0,2,13,0,2,0,3,5,0,3,0,3,0,4,0,0,2
"Ant73",17,7,4,0,4,0,0,3,8,2,0,12,5,3,3,0,15,4,1,3,5,4,2,26,9,2,2,0,10,10,2,4,14,9,2,5,6,0,3,14,0,2,6,20,5
"Ant148",0,14,16,5,5,3,3,0,15,4,0,4,9,6,0,2,6,4,21,9,0,21,5,14,3,0,30,7,0,0,6,10,0,4,36,4,7,4,10,6,0,9,4,1,35
"Ant158",2,8,8,6,5,0,8,15,0,2,0,19,8,1,0,1,6,1,7,4,1,5,4,21,5,0,7,0,7,0,2,9,6,8,0,1,9,0,9,14,18,5,3,8,13
"Ant191",0,0,0,14,2,17,2,4,2,0,2,6,19,5,0,0,10,1,3,2,2,4,19,4,5,1,8,20,1,7,16,1,1,4,5,2,0,9,1,5,18,0,2,0,2
"Ant202",0,0,0,1,0,5,0,0,0,2,0,0,0,0,0,0,5,5,0,0,0,5,3,2,1,5,2,5,0,3,12,0,0,2,0,0,3,0,0,6,3,0,0,0,1
"Ant252",12,6,45,2,14,0,12,4,19,6,0,0,11,0,0,2,8,2,33,0,7,6,7,12,5,0,1,0,18,0,0,8,14,4,0,0,2,3,3,4,0,3,30,3,1
"Ant311",13,7,20,6,6,0,5,9,8,19,0,11,0,9,3,5,18,0,22,2,0,19,10,12,6,0,6,10,3,18,7,4,1,15,10,1,5,5,17,3,11,3,6,7,7
"Ant518",0,0,1,6,2,11,3,6,1,5,0,0,9,0,3,9,11,8,1,5,1,2,9,6,3,3,7,8,0,3,1,1,0,7,12,5,1,4,3,15,5,4,0,0,2
"Ant0",3,0,2,1,3,0,3,0,0,0,0,0,3,3,0,1,17,19,18,0,12,2,2,7,3,0,0,2,7,4,0,1,3,1,3,0,5,0,24,6,7,0,3,20,0
"Ant23",0,1,0,8,0,0,0,2,1,0,0,2,5,9,1,0,11,17,0,0,0,3,6,5,1,5,6,8,1,2,2,0,2,17,13,0,8,0,1,0,0,1,1,0,4
"Ant27",5,0,5,5,3,5,15,6,6,10,5,8,18,11,17,11,0,38,17,2,0,41,18,13,16,5,0,22,0,44,0,3,0,8,1,11,19,15,6,20,11,5,1,14,4
"Ant32",2,0,0,2,5,10,4,4,1,1,5,2,0,8,19,17,38,0,0,0,0,8,6,8,7,2,6,33,0,34,11,1,0,5,1,13,37,0,2,4,42,6,0,2,11
"Ant44",14,8,19,10,15,0,1,21,7,3,0,33,22,1,18,0,17,0,0,4,20,2,8,13,5,2,12,2,14,0,2,35,34,1,7,1,6,8,92,19,1,5,13,7,28
"Ant97",0,2,3,7,2,2,3,9,4,2,0,0,2,5,0,0,2,0,4,0,2,12,6,31,10,0,11,0,0,1,1,1,1,11,12,1,1,2,2,3,2,2,0,0,9
"Ant115",0,22,5,5,0,0,5,0,1,2,0,7,0,1,12,0,0,0,20,2,0,4,0,3,2,0,1,0,2,0,0,7,5,0,0,0,3,0,13,0,1,2,11,3,9
"Ant117",0,11,9,13,1,0,4,21,5,4,5,6,19,2,2,3,41,8,2,12,4,0,13,31,9,0,31,0,8,27,16,4,4,11,10,16,15,8,7,26,7,4,21,11,11
"Ant140",0,8,1,9,4,0,2,5,4,19,3,7,10,9,2,6,18,6,8,6,0,13,0,14,8,0,17,2,5,5,0,1,4,8,18,15,4,9,6,8,2,14,0,1,15
"Ant149",3,9,5,8,11,3,26,14,21,4,2,12,12,6,7,5,13,8,13,31,3,31,14,0,22,0,15,3,6,2,3,9,8,7,8,5,8,1,11,4,7,8,4,0,11
"Ant153",0,0,0,5,6,4,9,3,5,5,1,5,6,3,3,1,16,7,5,10,2,9,8,22,0,0,8,7,0,17,3,0,1,12,0,1,0,2,4,13,9,5,1,0,6
"Ant173",0,0,0,0,0,19,2,0,0,1,5,0,0,3,0,5,5,2,2,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,1
"Ant176",0,4,7,2,3,1,2,30,7,8,2,1,6,7,0,6,0,6,12,11,1,31,17,15,8,0,0,9,4,2,11,1,7,41,12,25,2,7,3,0,2,6,2,2,24
"Ant186",0,1,1,12,0,11,0,7,0,20,5,0,10,8,2,8,22,33,2,0,0,0,2,3,7,9,9,0,0,15,8,0,0,6,8,10,0,2,1,9,16,5,0,0,7
"Ant217",5,5,3,0,6,0,10,0,7,1,0,18,3,0,7,1,0,0,14,0,2,8,5,6,0,0,4,0,0,0,0,2,24,0,0,0,0,0,11,0,0,0,18,4,5
"Ant242",0,0,1,1,0,2,10,0,0,7,3,0,18,3,4,2,44,34,0,1,0,27,5,2,17,0,2,15,0,0,2,4,2,15,0,3,28,3,3,30,26,4,0,4,3
