"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,0,3,0,1,0,5,1,12,0,0,20,13,0,12,0,0,10,32,6,13,7,8,1,2,0,0,0,6,4,1,5,9,2,5,1,13,0,8,0,0,7,11,3,6
"Ant540",0,0,7,1,2,0,10,13,0,2,3,10,20,0,5,47,1,2,21,8,0,7,6,5,6,0,14,2,2,6,1,3,25,4,10,1,9,0,14,3,1,8,20,3,4
"Ant6",3,7,0,1,2,0,12,7,8,2,1,1,12,0,8,0,2,9,19,4,36,1,10,10,5,0,1,0,5,13,4,5,2,6,3,1,17,0,11,0,4,5,7,10,2
"Ant14",0,1,1,0,0,1,1,5,0,10,7,2,2,15,1,6,8,1,6,0,0,13,5,9,2,7,3,13,1,4,6,0,0,6,4,0,1,4,6,10,5,11,4,2,4
"Ant19",1,2,2,0,0,0,6,7,0,1,1,12,5,5,0,3,6,3,3,3,1,20,1,4,0,1,4,0,1,14,0,2,0,10,0,4,6,1,8,0,6,5,0,5,2
"Ant26",0,0,0,1,0,0,0,0,0,12,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant73",5,10,12,1,6,0,0,9,9,4,0,9,36,0,1,0,3,6,25,11,4,15,20,9,1,0,2,0,7,4,1,13,5,5,1,0,6,0,5,2,3,4,6,18,7
"Ant148",1,13,7,5,7,0,9,0,3,4,3,5,8,5,5,3,7,14,19,4,8,16,16,11,5,2,23,3,1,16,3,10,8,9,9,5,23,0,14,4,0,15,1,18,23
"Ant158",12,0,8,0,0,0,9,3,0,0,0,28,10,0,4,2,0,4,16,6,1,0,4,6,1,0,1,0,10,14,1,11,5,5,0,0,20,0,6,0,2,4,10,11,3
"Ant191",0,2,2,10,1,12,4,4,0,0,9,0,3,8,1,2,1,1,1,4,2,1,0,1,1,4,12,3,3,3,8,0,1,2,3,3,1,0,4,0,0,3,8,3,4
"Ant202",0,3,1,7,1,5,0,3,0,9,0,0,4,5,0,0,0,1,2,0,0,18,4,6,5,4,3,11,1,0,1,0,2,2,7,3,1,2,1,5,1,3,0,0,1
"Ant252",20,10,1,2,12,0,9,5,28,0,0,0,10,1,9,4,1,12,26,14,9,2,7,5,5,0,5,0,12,9,2,13,18,6,1,1,27,0,5,0,3,8,6,9,15
"Ant311",13,20,12,2,5,0,36,8,10,3,4,10,0,7,6,7,40,11,9,3,7,14,4,24,5,0,3,2,3,22,6,8,8,22,7,5,10,4,11,5,9,21,2,10,9
"Ant518",0,0,0,15,5,1,0,5,0,8,5,1,7,0,1,2,21,4,3,0,1,29,2,3,2,21,7,23,0,2,7,1,0,3,3,3,3,1,1,4,8,1,1,0,2
"Ant0",12,5,8,1,0,0,1,5,4,1,0,9,6,1,0,1,6,1,15,8,8,7,3,1,4,0,2,3,21,9,1,2,9,11,7,1,5,2,9,3,4,3,0,2,4
"Ant23",0,47,0,6,3,0,0,3,2,2,0,4,7,2,1,0,6,5,12,2,3,9,5,8,3,3,5,4,2,2,4,3,5,9,3,3,4,0,13,6,6,3,9,2,1
"Ant27",0,1,2,8,6,0,3,7,0,1,0,1,40,21,6,6,0,0,1,2,4,40,16,15,2,5,0,11,13,4,3,1,0,7,0,18,10,7,3,23,12,3,0,2,10
"Ant32",10,2,9,1,3,0,6,14,4,1,1,12,11,4,1,5,0,0,16,1,2,0,5,7,2,0,23,3,7,6,2,6,4,37,6,4,6,0,6,1,4,5,9,0,56
"Ant44",32,21,19,6,3,0,25,19,16,1,2,26,9,3,15,12,1,16,0,35,9,12,22,6,13,0,13,1,25,16,2,23,42,19,7,5,21,1,5,1,2,15,25,18,11
"Ant97",6,8,4,0,3,0,11,4,6,4,0,14,3,0,8,2,2,1,35,0,0,1,3,2,2,0,2,0,5,8,0,4,4,0,0,3,27,0,9,0,0,5,15,4,0
"Ant115",13,0,36,0,1,0,4,8,1,2,0,9,7,1,8,3,4,2,9,0,0,2,7,5,2,0,3,3,24,9,3,2,4,12,2,2,12,0,10,0,1,2,0,5,1
"Ant117",7,7,1,13,20,0,15,16,0,1,18,2,14,29,7,9,40,0,12,1,2,0,5,13,14,16,2,28,3,4,18,7,3,17,6,17,4,12,19,14,27,7,2,0,22
"Ant140",8,6,10,5,1,0,20,16,4,0,4,7,4,2,3,5,16,5,22,3,7,5,0,10,19,14,32,2,1,3,9,13,2,10,11,4,5,3,24,3,7,5,7,3,9
"Ant149",1,5,10,9,4,1,9,11,6,1,6,5,24,3,1,8,15,7,6,2,5,13,10,0,9,1,6,9,2,1,1,4,3,3,10,4,4,6,19,0,10,6,6,6,12
"Ant153",2,6,5,2,0,0,1,5,1,1,5,5,5,2,4,3,2,2,13,2,2,14,19,9,0,9,7,8,1,2,3,1,4,13,2,0,1,2,16,14,7,4,3,3,3
"Ant173",0,0,0,7,1,8,0,2,0,4,4,0,0,21,0,3,5,0,0,0,0,16,14,1,9,0,11,1,0,1,0,2,1,4,0,2,3,2,8,7,3,3,1,2,4
"Ant176",0,14,1,3,4,0,2,23,1,12,3,5,3,7,2,5,0,23,13,2,3,2,32,6,7,11,0,3,0,7,11,7,2,10,10,3,4,1,3,2,5,1,2,1,6
"Ant186",0,2,0,13,0,1,0,3,0,3,11,0,2,23,3,4,11,3,1,0,3,28,2,9,8,1,3,0,1,1,3,1,0,3,8,3,2,4,6,19,9,2,0,0,10
"Ant217",6,2,5,1,1,0,7,1,10,3,1,12,3,0,21,2,13,7,25,5,24,3,1,2,1,0,0,1,0,2,1,6,7,9,2,2,11,0,9,1,2,3,7,0,1
"Ant242",4,6,13,4,14,0,4,16,14,3,0,9,22,2,9,2,4,6,16,8,9,4,3,1,2,1,7,1,2,0,1,2,4,6,4,4,8,0,13,1,5,4,5,22,3
"Ant255",1,1,4,6,0,0,1,3,1,8,1,2,6,7,1,4,3,2,2,0,3,18,9,1,3,0,11,3,1,1,0,5,1,7,8,0,2,1,0,1,3,4,0,1,9
"Ant263",5,3,5,0,2,0,13,10,11,0,0,13,8,1,2,3,1,6,23,4,2,7,13,4,1,2,7,1,6,2,5,0,5,6,0,1,11,0,5,0,0,2,3,5,14
"Ant289",9,25,2,0,0,0,5,8,5,1,2,18,8,0,9,5,0,4,42,4,4,3,2,3,4,1,2,0,7,4,1,5,0,4,2,2,11,0,12,0,0,4,5,2,6
"Ant298",2,4,6,6,10,0,5,9,5,2,2,6,22,3,11,9,7,37,19,0,12,17,10,3,13,4,10,3,9,6,7,6,4,0,13,6,11,3,9,4,2,14,2,7,9
"Ant332",5,10,3,4,0,0,1,9,0,3,7,1,7,3,7,3,0,6,7,0,2,6,11,10,2,0,10,8,2,4,8,0,2,13,0,15,3,7,10,7,1,5,1,2,4
"Ant353",1,1,1,0,4,0,0,5,0,3,3,1,5,3,1,3,18,4,5,3,2,17,4,4,0,2,3,3,2,4,0,1,2,6,15,0,5,0,13,3,2,6,0,2,1
"Ant356",13,9,17,1,6,0,6,23,20,1,1,27,10,3,5,4,10,6,21,27,12,4,5,4,1,3,4,2,11,8,2,11,11,11,3,5,0,0,11,0,2,3,3,21,9
"Ant387",0,0,0,4,1,0,0,0,0,0,2,0,4,1,2,0,7,0,1,0,0,12,3,6,2,2,1,4,0,0,1,0,0,3,7,0,0,0,1,3,6,4,0,0,0
"Ant475",8,14,11,6,8,0,5,14,6,4,1,5,11,1,9,13,3,6,5,9,10,19,24,19,16,8,3,6,9,13,0,5,12,9,10,13,11,1,0,9,14,7,4,7,17
"Ant482",0,3,0,10,0,0,2,4,0,0,5,0,5,4,3,6,23,1,1,0,0,14,3,0,14,7,2,19,1,1,1,0,0,4,7,3,0,3,9,0,9,3,0,0,4
"Ant501",0,1,4,5,6,0,3,0,2,0,1,3,9,8,4,6,12,4,2,0,1,27,7,10,7,3,5,9,2,5,3,0,0,2,1,2,2,6,14,9,0,4,0,1,7
"Ant507",7,8,5,11,5,0,4,15,4,3,3,8,21,1,3,3,3,5,15,5,2,7,5,6,4,3,1,2,3,4,4,2,4,14,5,6,3,4,7,3,4,0,1,4,5
"Ant530",11,20,7,4,0,0,6,1,10,8,0,6,2,1,0,9,0,9,25,15,0,2,7,6,3,1,2,0,7,5,0,3,5,2,1,0,3,0,4,0,0,1,0,1,3
"Ant564",3,3,10,2,5,0,18,18,11,3,0,9,10,0,2,2,2,0,18,4,5,0,3,6,3,2,1,0,0,22,1,5,2,7,2,2,21,0,7,0,1,4,1,0,2
"Ant593",6,4,2,4,2,0,7,23,3,4,1,15,9,2,4,1,10,56,11,0,1,22,9,12,3,4,6,10,1,3,9,14,6,9,4,1,9,0,17,4,7,5,3,2,0
