"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,15,2,1,4,0,13,5,0,1,0,6,1,0,2,3,0,0,27,0,6,4,1,1,4,0,5,0,3,7,0,4,0,4,0,0,15,0,10,3,1,2,13,2,5
"Ant540",15,0,16,1,3,2,2,30,12,2,0,1,9,0,8,10,0,2,12,24,4,47,3,5,3,0,7,0,5,14,2,2,4,10,8,0,7,0,4,1,1,5,6,4,4
"Ant6",2,16,0,0,9,0,2,6,0,0,1,26,9,1,4,3,7,7,58,0,0,5,1,12,6,0,4,0,3,18,2,6,4,2,1,0,10,0,3,0,0,3,18,0,4
"Ant14",1,1,0,0,1,5,1,5,1,7,6,0,7,16,0,2,11,5,5,2,3,12,9,3,1,5,9,2,0,1,16,5,0,14,19,4,1,6,5,14,5,8,1,1,4
"Ant19",4,3,9,1,0,6,9,3,1,4,0,1,10,6,7,0,18,7,2,14,0,13,1,4,11,0,2,0,1,8,0,6,1,8,6,1,8,0,3,1,2,1,1,1,2
"Ant26",0,2,0,5,6,0,0,0,3,0,4,0,4,3,0,2,2,2,2,1,0,3,1,6,16,17,3,20,0,0,2,1,0,0,5,0,1,7,0,26,0,10,0,5,0
"Ant73",13,2,2,1,9,0,0,2,4,0,0,8,2,1,9,5,5,4,22,0,8,3,6,6,1,0,0,0,1,5,0,3,12,6,2,0,14,0,24,1,0,5,27,10,8
"Ant148",5,30,6,5,3,0,2,0,7,2,2,16,9,4,3,7,30,10,29,7,0,17,12,13,11,1,26,0,5,4,2,16,4,16,13,3,5,1,13,3,1,16,5,3,27
"Ant158",0,12,0,1,1,3,4,7,0,3,0,17,3,1,2,1,2,1,6,2,10,19,0,8,1,1,4,0,5,1,1,10,8,4,2,0,3,1,13,1,0,3,10,6,6
"Ant191",1,2,0,7,4,0,0,2,3,0,1,1,0,7,0,1,7,7,2,4,2,1,3,3,1,0,12,6,0,4,27,3,0,14,7,2,0,2,2,0,5,4,4,1,9
"Ant202",0,0,1,6,0,4,0,2,0,1,0,0,5,17,0,6,6,0,0,1,0,5,0,2,5,6,2,4,0,0,1,0,0,7,0,1,1,0,0,4,4,0,0,0,2
"Ant252",6,1,26,0,1,0,8,16,17,1,0,0,1,1,4,4,0,2,23,0,6,3,1,1,8,0,9,0,11,13,0,6,25,3,4,0,2,1,16,0,0,1,4,4,6
"Ant311",1,9,9,7,10,4,2,9,3,0,5,1,0,7,1,7,51,24,19,15,4,42,13,25,14,0,3,5,4,17,3,6,6,14,8,5,11,4,3,5,15,14,10,7,4
"Ant518",0,0,1,16,6,3,1,4,1,7,17,1,7,0,1,2,6,14,0,3,2,6,1,2,4,10,3,5,0,0,3,0,0,1,6,2,4,5,2,5,3,1,0,1,0
"Ant0",2,8,4,0,7,0,9,3,2,0,0,4,1,1,0,2,5,3,14,0,0,10,5,4,0,0,2,0,0,18,0,1,10,8,0,1,3,0,3,2,0,0,5,5,15
"Ant23",3,10,3,2,0,2,5,7,1,1,6,4,7,2,2,0,1,10,8,24,2,23,5,10,0,0,6,0,3,2,1,2,1,13,3,1,0,2,4,2,0,17,3,0,3
"Ant27",0,0,7,11,18,2,5,30,2,7,6,0,51,6,5,1,0,32,16,5,2,18,8,30,19,2,4,10,3,11,1,5,2,15,5,5,30,13,1,15,4,10,3,13,6
"Ant32",0,2,7,5,7,2,4,10,1,7,0,2,24,14,3,10,32,0,4,7,0,7,15,18,11,1,2,5,0,0,4,2,0,8,12,1,9,23,5,19,26,8,2,1,2
