"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,4,16,2,9,0,4,5,2,0,0,15,9,1,11,1,8,4,34,1,2,23,5,17,8,0,1,0,4,3,1,3,23,3,0,0,8,1,10,2,0,3,7,4,6
"Ant540",4,0,6,6,1,0,2,12,7,3,1,11,3,6,2,0,2,0,10,2,4,29,9,4,5,0,18,3,3,14,1,11,17,4,2,2,14,1,21,6,0,10,18,4,11
"Ant6",16,6,0,2,13,0,12,8,1,2,0,13,14,1,16,0,3,3,15,2,6,10,5,12,5,1,4,2,0,6,1,12,18,8,0,1,7,2,8,12,2,3,41,4,6
"Ant14",2,6,2,0,0,0,4,6,0,8,3,4,8,6,2,4,11,9,3,3,0,12,14,12,1,1,15,10,0,6,7,4,0,9,11,5,5,12,4,4,0,17,4,2,13
"Ant19",9,1,13,0,0,0,4,2,0,1,0,19,6,1,2,0,3,6,18,2,5,2,1,6,3,0,4,0,6,11,0,7,13,3,4,0,8,0,11,1,1,4,3,15,5
"Ant26",0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant73",4,2,12,4,4,0,0,11,2,2,0,12,20,2,2,1,0,2,31,4,2,1,8,13,1,0,3,0,18,7,0,13,29,7,3,4,8,3,7,2,2,1,12,9,8
"Ant148",5,12,8,6,2,0,11,0,28,2,0,6,0,2,6,9,5,2,11,19,3,19,20,18,5,0,24,6,2,4,2,8,3,7,13,8,5,5,19,5,1,17,4,12,34
"Ant158",2,7,1,0,0,0,2,28,0,0,0,2,16,4,5,3,7,1,4,9,6,21,9,7,9,0,22,2,6,40,2,0,3,4,11,2,6,3,14,1,5,8,4,1,23
"Ant191",0,3,2,8,1,2,2,2,0,0,3,3,2,7,0,3,6,2,6,2,1,2,0,14,5,2,3,8,1,4,16,0,0,2,7,5,0,7,2,5,1,1,1,0,5
"Ant202",0,1,0,3,0,2,0,0,0,3,0,0,4,4,0,0,7,3,0,0,0,0,0,6,14,2,0,6,0,2,4,0,0,3,4,1,0,2,0,8,0,0,0,0,1
"Ant252",15,11,13,4,19,0,12,6,2,3,0,0,8,0,11,9,2,0,19,0,35,14,2,5,13,0,3,3,4,1,0,14,8,7,4,4,4,1,10,2,1,5,31,21,11
"Ant311",9,3,14,8,6,0,20,0,16,2,4,8,0,14,3,4,42,12,3,1,0,11,4,24,27,0,5,2,0,56,7,6,14,10,22,4,13,3,13,23,6,7,5,5,3
"Ant518",1,6,1,6,1,0,2,2,4,7,4,0,14,0,0,3,4,4,1,2,0,2,6,11,6,0,4,7,0,0,7,4,2,4,11,2,5,4,0,10,6,25,1,2,2
"Ant0",11,2,16,2,2,0,2,6,5,0,0,11,3,0,0,1,3,2,4,1,4,31,4,2,0,0,2,0,3,0,1,1,13,2,2,0,15,0,2,4,2,3,0,2,9
"Ant23",1,0,0,4,0,0,1,9,3,3,0,9,4,3,1,0,6,10,10,2,1,16,13,4,4,1,7,6,0,5,10,4,4,21,10,4,0,3,2,1,7,4,1,3,6
"Ant27",8,2,3,11,3,0,0,5,7,6,7,2,42,4,3,6,0,15,3,2,6,4,10,29,50,0,11,3,0,43,7,5,10,19,3,4,4,11,4,8,10,4,1,3,2
"Ant32",4,0,3,9,6,0,2,2,1,2,3,0,12,4,2,10,15,0,5,0,2,8,4,26,20,2,8,16,0,29,11,1,0,7,10,2,2,7,3,26,33,2,6,5,0
"Ant44",34,10,15,3,18,0,31,11,4,6,0,19,3,1,4,10,3,5,0,7,16,12,10,17,10,0,13,4,20,28,3,12,30,3,9,2,8,9,15,19,4,18,5,19,13
"Ant97",1,2,2,3,2,0,4,19,9,2,0,0,1,2,1,2,2,0,7,0,0,8,7,3,2,0,31,0,0,0,2,3,1,2,37,9,0,3,4,0,1,6,4,1,12
"Ant115",2,4,6,0,5,0,2,3,6,1,0,35,0,0,4,1,6,2,16,0,0,22,4,11,5,0,9,0,4,1,0,5,3,5,4,0,3,1,8,0,0,0,8,4,8
"Ant117",23,29,10,12,2,0,1,19,21,2,0,14,11,2,31,16,4,8,12,8,22,0,24,7,27,0,24,7,3,8,10,29,11,20,11,11,9,7,25,15,0,2,7,5,31
"Ant140",5,9,5,14,1,0,8,20,9,0,0,2,4,6,4,13,10,4,10,7,4,24,0,12,5,0,15,5,9,6,4,0,10,6,12,3,1,1,6,8,9,7,3,2,14
"Ant149",17,4,12,12,6,0,13,18,7,14,6,5,24,11,2,4,29,26,17,3,11,7,12,0,18,1,14,7,5,32,7,6,10,23,4,4,11,2,22,18,8,9,11,14,15
"Ant153",8,5,5,1,3,0,1,5,9,5,14,13,27,6,0,4,50,20,10,2,5,27,5,18,0,1,8,5,3,31,1,1,5,12,4,2,5,4,3,11,7,6,13,1,11
"Ant173",0,0,1,1,0,18,0,0,0,2,2,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,13,0,0,2,0,0,0,1,0,1,0,0,5,4,0,0,0,0
"Ant176",1,18,4,15,4,0,3,24,22,3,0,3,5,4,2,7,11,8,13,31,9,24,15,14,8,0,0,11,4,1,11,0,1,33,26,8,1,8,11,15,6,5,2,1,24
"Ant186",0,3,2,10,0,22,0,6,2,8,6,3,2,7,0,6,3,16,4,0,0,7,5,7,5,13,11,0,0,1,7,0,1,4,18,0,0,3,2,2,3,11,0,0,4
"Ant217",4,3,0,0,6,0,18,2,6,1,0,4,0,0,3,0,0,0,20,0,4,3,9,5,3,0,4,0,0,1,0,0,5,1,0,0,5,1,12,1,0,1,5,7,5
