"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant242",3,14,6,6,11,0,7,4,40,4,2,1,56,0,0,5,43,29,28,0,1,8,6,32,31,0,1,1,1,0,1,4,5,6,8,1,19,4,4,10,8,4,8,2,4
"Ant255",1,1,1,7,0,3,0,2,2,16,4,0,7,7,1,10,7,11,3,2,0,10,4,7,1,2,11,7,0,1,0,2,1,31,16,11,6,4,1,9,4,5,0,0,3
"Ant263",3,11,12,4,7,0,13,8,0,0,0,14,6,4,1,4,5,1,12,3,5,29,0,6,1,0,0,0,0,4,2,0,8,5,3,0,9,0,7,5,1,1,3,16,14
"Ant289",23,17,18,0,13,0,29,3,3,0,0,8,14,2,13,4,10,0,30,1,3,11,10,10,5,0,1,1,5,5,1,8,0,3,4,0,6,2,6,5,0,8,2,10,4
"Ant298",3,4,8,9,3,0,7,7,4,2,3,7,10,4,2,21,19,7,3,2,5,20,6,23,12,0,33,4,1,6,31,5,3,0,4,17,6,3,25,15,3,15,6,8,5
"Ant332",0,2,0,11,4,0,3,13,11,7,4,4,22,11,2,10,3,10,9,37,4,11,12,4,4,1,26,18,0,8,16,3,4,4,0,8,7,11,7,13,0,16,4,3,16
"Ant353",0,2,1,5,0,0,4,8,2,5,1,4,4,2,0,4,4,2,2,9,0,11,3,4,2,0,8,0,0,1,11,0,0,17,8,0,0,2,2,2,1,0,0,2,10
"Ant356",8,14,7,5,8,0,8,5,6,0,0,4,13,5,15,0,4,2,8,0,3,9,1,11,5,1,1,0,5,19,6,9,6,6,7,0,0,1,17,7,6,4,14,8,5
"Ant387",1,1,2,12,0,0,3,5,3,7,2,1,3,4,0,3,11,7,9,3,1,7,1,2,4,0,8,3,1,4,4,0,2,3,11,2,1,0,3,3,2,4,0,3,2
"Ant475",10,21,8,4,11,0,7,19,14,2,0,10,13,0,2,2,4,3,15,4,8,25,6,22,3,0,11,2,12,4,1,7,6,25,7,2,17,3,0,4,3,11,5,8,6
"Ant482",2,6,12,4,1,0,2,5,1,5,8,2,23,10,4,1,8,26,19,0,0,15,8,18,11,5,15,2,1,10,9,5,5,15,13,2,7,3,4,0,7,10,1,2,11
"Ant501",0,0,2,0,1,0,2,1,5,1,0,1,6,6,2,7,10,33,4,1,0,0,9,8,7,4,6,3,0,8,4,1,0,3,0,1,6,2,3,7,0,11,1,2,2
"Ant507",3,10,3,17,4,0,1,17,8,1,0,5,7,25,3,4,4,2,18,6,0,2,7,9,6,0,5,11,1,4,5,1,8,15,16,0,4,4,11,10,11,0,5,1,5
"Ant530",7,18,41,4,3,0,12,4,4,1,0,31,5,1,0,1,1,6,5,4,8,7,3,11,13,0,2,0,5,8,0,3,2,6,4,0,14,0,5,1,1,5,0,16,5
"Ant564",4,4,4,2,15,0,9,12,1,0,0,21,5,2,2,3,3,5,19,1,4,5,2,14,1,0,1,0,7,2,0,16,10,8,3,2,8,3,8,2,2,1,16,0,5
"Ant593",6,11,6,13,5,0,8,34,23,5,1,11,3,2,9,6,2,0,13,12,8,31,14,15,11,0,24,4,5,4,3,14,4,5,16,10,5,2,6,11,2,5,5,5,0
