"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,3,9,2,0,0,13,2,6,1,0,16,4,0,1,2,2,1,28,7,3,2,7,7,0,1,0,0,5,7,0,2,20,3,4,1,11,0,3,2,2,1,7,1,2
"Ant540",3,0,8,3,9,1,5,29,3,6,1,9,8,4,7,3,9,9,37,1,9,16,13,3,11,3,1,9,2,2,4,3,18,4,2,2,2,0,0,15,23,6,1,12,5
"Ant6",9,8,0,0,4,0,23,8,3,0,0,9,10,0,7,1,1,3,19,7,2,9,3,18,7,1,4,0,5,2,2,2,7,17,3,2,8,1,8,3,4,5,19,8,10
"Ant14",2,3,0,0,4,2,3,5,2,20,3,1,4,18,7,6,16,8,4,0,1,6,5,4,12,4,8,13,0,2,15,0,4,7,12,0,1,10,0,4,2,5,0,1,9
"Ant19",0,9,4,4,0,0,3,7,1,1,2,4,10,0,4,3,24,4,2,4,4,0,0,1,12,5,0,2,0,4,0,0,0,12,1,1,2,6,0,6,2,2,6,1,5
"Ant26",0,1,0,2,0,0,0,3,0,8,1,0,0,0,0,0,4,1,0,1,2,0,0,0,1,2,3,3,0,1,0,0,0,5,1,1,0,2,0,0,0,1,0,0,1
"Ant73",13,5,23,3,3,0,0,12,4,0,0,20,9,0,2,1,3,4,11,3,4,10,29,11,0,0,1,2,4,8,2,1,12,6,4,3,17,0,10,0,1,8,8,11,5
"Ant148",2,29,8,5,7,3,12,0,8,1,6,6,16,5,11,7,27,19,22,4,10,17,33,16,15,2,8,5,5,13,6,2,16,19,7,16,14,4,15,13,2,10,1,6,4
"Ant158",6,3,3,2,1,0,4,8,0,0,4,8,9,2,5,0,3,3,25,3,3,23,13,12,1,2,4,3,7,3,5,7,13,2,5,1,12,1,11,0,0,6,0,6,3
"Ant191",1,6,0,20,1,8,0,1,0,0,4,1,4,12,1,2,23,0,9,2,3,0,2,3,6,4,1,9,0,8,6,2,1,6,2,1,0,2,3,2,9,5,5,0,1
