"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,4,4,3,3,0,8,8,13,0,0,2,6,3,7,0,3,0,23,16,1,6,11,6,4,1,4,4,6,3,0,1,1,2,2,4,4,1,12,6,2,1,8,1,3
"Ant540",4,0,2,4,6,1,8,16,3,0,2,16,5,0,6,5,8,5,18,5,6,7,8,7,5,0,6,1,1,2,3,5,7,26,6,1,16,0,18,0,2,13,7,5,10
"Ant6",4,2,0,0,1,0,5,11,7,0,1,41,13,4,2,1,0,9,32,5,8,4,4,7,0,0,9,0,5,3,4,1,9,19,1,2,25,0,8,0,0,7,6,3,11
"Ant14",3,4,0,0,1,14,0,7,0,2,23,1,3,7,4,3,11,8,6,0,0,18,13,7,6,7,10,13,0,5,12,1,1,8,10,1,0,10,1,1,3,4,2,2,11
"Ant19",3,6,1,1,0,0,0,4,5,0,0,1,7,2,4,0,0,3,0,1,4,1,1,8,0,0,3,0,1,7,0,1,3,6,3,0,1,0,8,1,1,13,0,2,2
"Ant26",0,1,0,14,0,0,0,0,0,3,19,0,1,13,0,0,2,0,0,0,0,1,4,0,0,25,13,5,0,0,6,0,0,0,1,0,0,0,2,9,2,1,0,0,4
"Ant73",8,8,5,0,0,0,0,11,6,0,0,15,0,1,5,0,0,2,0,17,4,3,2,1,5,0,5,0,7,6,0,6,6,10,0,2,13,0,13,4,0,0,1,3,7
"Ant148",8,16,11,7,4,0,11,0,5,0,0,15,21,2,5,3,8,13,20,9,0,21,19,16,5,2,16,2,0,2,4,15,3,6,4,1,14,1,14,2,4,6,9,3,12
"Ant158",13,3,7,0,5,0,6,5,0,0,0,7,1,1,2,1,2,1,22,16,9,12,2,8,0,0,6,0,8,2,2,1,5,3,4,0,4,0,3,2,0,3,1,4,13
"Ant191",0,0,0,2,0,3,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant202",0,2,1,23,0,19,0,0,0,3,0,0,0,17,0,1,14,6,1,0,1,22,5,3,0,6,0,28,0,3,6,0,0,2,6,2,0,0,0,5,2,3,0,2,6
"Ant252",2,16,41,1,1,0,15,15,7,0,0,0,12,0,13,1,3,2,24,10,1,7,2,7,3,1,5,0,13,3,4,8,5,13,1,0,25,1,10,2,0,7,23,10,9
"Ant311",6,5,13,3,7,1,0,21,1,0,0,12,0,2,2,4,20,1,35,2,0,2,2,18,2,2,6,6,0,7,2,8,5,9,8,6,13,2,6,1,4,14,14,10,17
"Ant518",3,0,4,7,2,13,1,2,1,10,17,0,2,0,3,4,2,6,5,0,0,20,15,0,1,3,5,17,1,2,11,1,0,4,17,6,0,3,1,8,2,9,0,5,6
"Ant0",7,6,2,4,4,0,5,5,2,0,0,13,2,3,0,5,3,4,20,4,15,24,1,3,2,0,1,0,2,16,1,3,0,5,10,0,0,0,9,2,0,10,0,0,4
"Ant23",0,5,1,3,0,0,0,3,1,0,1,1,4,4,5,0,5,6,14,3,1,25,4,4,3,0,4,7,0,1,0,1,2,23,6,0,3,7,5,2,0,2,0,0,2
"Ant27",3,8,0,11,0,2,0,8,2,0,14,3,20,2,3,5,0,6,2,0,0,33,19,21,2,9,11,19,5,3,2,7,0,3,6,3,5,15,9,10,15,1,3,11,5
"Ant32",0,5,9,8,3,0,2,13,1,0,6,2,1,6,4,6,6,0,9,0,0,5,16,15,8,0,5,2,1,2,7,4,7,3,7,2,1,4,4,13,9,5,0,1,8
"Ant44",23,18,32,6,0,0,0,20,22,0,1,24,35,5,20,14,2,9,0,9,11,18,7,23,2,0,15,0,8,7,13,10,2,18,4,5,16,0,8,4,10,12,32,12,7
