"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,13,7,0,4,0,12,3,8,0,0,9,8,4,4,3,7,4,37,2,13,0,3,5,1,0,3,4,0,7,0,4,17,3,0,3,5,1,5,3,3,3,5,22,5
"Ant540",13,0,31,11,1,0,6,21,20,0,0,22,1,0,7,11,24,6,28,2,4,21,5,14,5,0,11,0,3,14,2,15,20,9,3,1,7,3,16,3,1,5,17,8,7
"Ant6",7,31,0,0,6,1,6,9,12,0,0,42,6,0,5,2,5,3,25,1,2,1,2,2,3,0,0,1,5,42,0,5,14,8,0,0,4,0,26,7,0,2,53,15,2
"Ant14",0,11,0,0,0,5,3,8,5,2,2,0,8,1,1,3,11,3,13,10,4,10,6,14,0,0,3,7,0,3,5,0,2,11,12,6,11,1,2,10,1,17,3,1,5
"Ant19",4,1,6,0,0,1,7,3,4,0,0,9,9,1,3,0,13,7,10,2,4,6,6,16,4,0,5,4,0,12,0,2,2,7,1,0,30,1,14,2,4,14,6,1,0
"Ant26",0,0,1,5,1,0,0,4,1,12,3,0,0,3,0,1,5,0,2,0,0,0,0,6,0,6,3,16,0,11,12,4,0,2,6,0,0,0,3,0,0,2,0,0,6
"Ant73",12,6,6,3,7,0,0,2,7,0,0,56,0,0,21,1,0,0,19,0,10,5,4,19,4,0,1,0,5,5,0,11,16,7,1,0,22,1,31,3,1,4,24,21,8
"Ant148",3,21,9,8,3,4,2,0,25,0,2,7,12,3,4,10,18,15,17,22,12,35,14,35,9,2,25,5,2,7,5,12,6,18,22,4,5,8,21,6,4,24,3,7,29
"Ant158",8,20,12,5,4,1,7,25,0,0,0,12,3,0,12,2,11,6,35,9,9,16,8,25,15,0,29,0,10,10,8,12,5,6,9,1,4,4,22,6,0,13,6,1,32
"Ant191",0,0,0,2,0,12,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant202",0,0,0,2,0,3,0,2,0,1,0,0,11,4,1,2,11,3,0,3,0,1,3,4,1,3,7,9,0,0,6,0,0,2,4,8,2,5,1,9,4,2,0,0,3
"Ant252",9,22,42,0,9,0,56,7,12,0,0,0,5,1,9,10,4,1,19,1,15,12,5,3,3,0,10,0,2,14,0,7,29,4,3,1,15,3,46,3,0,3,47,12,5
"Ant311",8,1,6,8,9,0,0,12,3,0,11,5,0,1,8,7,53,42,14,4,1,26,6,14,6,0,8,10,0,27,7,16,4,11,3,6,27,7,21,18,16,9,1,11,14
"Ant518",4,0,0,1,1,3,0,3,0,2,4,1,1,0,0,1,12,8,0,5,0,6,5,5,1,4,3,13,0,4,4,1,0,2,1,1,5,2,0,4,15,1,0,0,1
"Ant0",4,7,5,1,3,0,21,4,12,0,1,9,8,0,0,3,7,0,26,3,6,18,2,10,6,0,1,0,2,10,0,5,6,5,2,0,3,0,14,1,2,4,19,3,4
"Ant23",3,11,2,3,0,1,1,10,2,0,2,10,7,1,3,0,13,2,14,2,3,13,12,6,2,0,4,6,2,6,3,8,0,9,7,4,9,0,8,6,5,4,1,0,3
"Ant27",7,24,5,11,13,5,0,18,11,0,11,4,53,12,7,13,0,11,16,6,4,20,13,22,7,1,7,12,0,15,6,16,3,12,10,7,29,5,10,17,20,10,2,10,11
"Ant32",4,6,3,3,7,0,0,15,6,0,3,1,42,8,0,2,11,0,0,4,1,8,12,13,4,0,13,16,0,28,0,1,0,10,22,4,18,1,6,16,23,4,0,7,5
"Ant44",37,28,25,13,10,2,19,17,35,0,0,19,14,0,26,14,16,0,0,3,24,27,9,18,11,4,15,4,18,20,2,29,24,7,8,4,15,3,6,2,8,11,3,16,17
"Ant97",2,2,1,10,2,0,0,22,9,0,3,1,4,5,3,2,6,4,3,0,2,5,17,17,3,0,17,7,0,2,12,2,4,11,10,3,13,5,2,1,3,3,3,1,18
"Ant115",13,4,2,4,4,0,10,12,9,0,0,15,1,0,6,3,4,1,24,2,0,7,4,2,3,0,4,0,1,5,0,12,9,1,2,0,0,0,12,4,1,4,9,9,5
"Ant117",0,21,1,10,6,0,5,35,16,0,1,12,26,6,18,13,20,8,27,5,7,0,21,24,45,4,11,0,6,24,6,12,9,16,8,9,10,5,21,30,3,19,19,19,39
"Ant140",3,5,2,6,6,0,4,14,8,0,3,5,6,5,2,12,13,12,9,17,4,21,0,5,10,0,9,0,0,9,7,9,2,16,15,14,8,3,11,5,2,5,1,4,16
"Ant149",5,14,2,14,16,6,19,35,25,0,4,3,14,5,10,6,22,13,18,17,2,24,5,0,14,0,10,2,2,7,5,13,6,26,30,8,17,8,8,12,3,13,7,14,8
"Ant153",1,5,3,0,4,0,4,9,15,0,1,3,6,1,6,2,7,4,11,3,3,45,10,14,0,0,11,0,5,11,1,6,2,22,6,0,1,3,8,5,4,6,10,10,13
"Ant173",0,0,0,0,0,6,0,2,0,18,3,0,0,4,0,0,1,0,4,0,0,4,0,0,0,0,0,8,0,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,12
"Ant176",3,11,0,3,5,3,1,25,29,0,7,10,8,3,1,4,7,13,15,17,4,11,9,10,11,0,0,3,1,13,10,8,2,40,21,12,9,1,8,19,5,7,5,1,54
"Ant186",4,0,1,7,4,16,0,5,0,5,9,0,10,13,0,6,12,16,4,7,0,0,0,2,0,8,3,0,0,8,17,1,0,12,14,8,11,2,4,24,2,6,0,0,4
"Ant217",0,3,5,0,0,0,5,2,10,0,0,2,0,0,2,2,0,0,18,0,1,6,0,2,5,0,1,0,0,0,0,0,5,1,0,0,0,0,5,2,1,1,10,6,2
"Ant242",7,14,42,3,12,11,5,7,10,0,0,14,27,4,10,6,15,28,20,2,5,24,9,7,11,0,13,8,0,0,2,3,2,7,3,3,10,0,33,8,21,0,8,15,3
"Ant255",0,2,0,5,0,12,0,5,8,9,6,0,7,4,0,3,6,0,2,12,0,6,7,5,1,4,10,17,0,2,0,2,3,29,13,6,0,4,3,4,0,3,0,1,4
"Ant263",4,15,5,0,2,4,11,12,12,0,0,7,16,1,5,8,16,1,29,2,12,12,9,13,6,0,8,1,0,3,2,0,5,10,4,1,9,2,5,3,2,6,9,7,11
"Ant289",17,20,14,2,2,0,16,6,5,0,0,29,4,0,6,0,3,0,24,4,9,9,2,6,2,0,2,0,5,2,3,5,0,5,2,0,9,0,5,0,1,2,7,5,14
"Ant298",3,9,8,11,7,2,7,18,6,0,2,4,11,2,5,9,12,10,7,11,1,16,16,26,22,0,40,12,1,7,29,10,5,0,16,12,4,7,10,13,11,15,4,3,22
"Ant332",0,3,0,12,1,6,1,22,9,0,4,3,3,1,2,7,10,22,8,10,2,8,15,30,6,1,21,14,0,3,13,4,2,16,0,2,7,5,4,9,2,8,3,2,17
"Ant353",3,1,0,6,0,0,0,4,1,0,8,1,6,1,0,4,7,4,4,3,0,9,14,8,0,0,12,8,0,3,6,1,0,12,2,0,1,4,0,5,0,3,0,2,2
"Ant356",5,7,4,11,30,0,22,5,4,0,2,15,27,5,3,9,29,18,15,13,0,10,8,17,1,0,9,11,0,10,0,9,9,4,7,1,0,3,6,11,4,4,4,7,4
"Ant387",1,3,0,1,1,0,1,8,4,0,5,3,7,2,0,0,5,1,3,5,0,5,3,8,3,0,1,2,0,0,4,2,0,7,5,4,3,0,9,2,0,3,0,2,3
"Ant475",5,16,26,2,14,3,31,21,22,0,1,46,21,0,14,8,10,6,6,2,12,21,11,8,8,3,8,4,5,33,3,5,5,10,4,0,6,9,0,7,6,8,12,25,6
"Ant482",3,3,7,10,2,0,3,6,6,0,9,3,18,4,1,6,17,16,2,1,4,30,5,12,5,0,19,24,2,8,4,3,0,13,9,5,11,2,7,0,21,5,6,6,26
"Ant501",3,1,0,1,4,0,1,4,0,0,4,0,16,15,2,5,20,23,8,3,1,3,2,3,4,0,5,2,1,21,0,2,1,11,2,0,4,0,6,21,0,1,0,4,3
"Ant507",3,5,2,17,14,2,4,24,13,0,2,3,9,1,4,4,10,4,11,3,4,19,5,13,6,0,7,6,1,0,3,6,2,15,8,3,4,3,8,5,1,0,2,2,16
"Ant530",5,17,53,3,6,0,24,3,6,0,0,47,1,0,19,1,2,0,3,3,9,19,1,7,10,0,5,0,10,8,0,9,7,4,3,0,4,0,12,6,0,2,0,3,9
"Ant564",22,8,15,1,1,0,21,7,1,0,0,12,11,0,3,0,10,7,16,1,9,19,4,14,10,0,1,0,6,15,1,7,5,3,2,2,7,2,25,6,4,2,3,0,8
"Ant593",5,7,2,5,0,6,8,29,32,0,3,5,14,1,4,3,11,5,17,18,5,39,16,8,13,12,54,4,2,3,4,11,14,22,17,2,4,3,6,26,3,16,9,8,0
