"","Ant4","Ant540","Ant6","Ant14","Ant19","Ant26","Ant73","Ant148","Ant158","Ant191","Ant202","Ant252","Ant311","Ant518","Ant0","Ant23","Ant27","Ant32","Ant44","Ant97","Ant115","Ant117","Ant140","Ant149","Ant153","Ant173","Ant176","Ant186","Ant217","Ant242","Ant255","Ant263","Ant289","Ant298","Ant332","Ant353","Ant356","Ant387","Ant475","Ant482","Ant501","Ant507","Ant530","Ant564","Ant593"
"Ant4",0,18,5,1,8,0,8,2,6,0,0,11,7,1,11,1,6,6,16,10,11,3,4,4,3,0,0,1,2,7,0,4,0,22,0,0,23,1,4,1,2,3,7,5,1
"Ant540",18,0,14,9,10,0,1,4,2,0,0,4,16,1,4,3,6,5,9,3,9,5,13,10,6,0,6,0,8,8,5,2,0,36,2,4,3,0,21,0,0,9,5,3,21
"Ant6",5,14,0,0,1,0,3,9,29,0,1,7,6,0,11,4,0,0,4,4,6,4,6,2,4,0,2,0,14,4,1,9,5,14,1,2,28,0,9,0,1,2,15,1,2
"Ant14",1,9,0,0,3,5,0,1,1,6,9,0,0,8,1,4,15,8,1,0,0,0,5,2,6,1,5,18,0,0,23,0,0,10,11,8,4,6,2,2,0,0,0,0,2
"Ant19",8,10,1,3,0,0,1,6,3,0,2,1,4,7,2,3,3,13,1,1,5,4,3,12,1,0,6,2,0,13,1,1,0,8,9,1,2,0,6,14,5,4,1,5,1
"Ant26",0,0,0,5,0,0,0,0,0,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant73",8,1,3,0,1,0,0,0,19,0,0,16,6,0,12,2,0,1,7,8,18,9,1,1,2,0,0,0,11,8,1,7,5,3,0,0,6,0,7,0,5,4,15,13,7
"Ant148",2,4,9,1,6,0,0,0,10,0,1,6,16,2,3,5,6,7,7,14,4,9,7,12,10,0,5,4,4,5,2,1,9,4,2,3,8,1,10,4,3,5,4,4,14
"Ant158",6,2,29,1,3,0,19,10,0,0,0,20,13,1,1,0,0,1,32,7,3,3,4,3,0,0,4,0,2,10,3,3,10,2,0,1,10,0,6,0,0,2,7,2,3
"Ant191",0,0,0,6,0,9,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant202",0,0,1,9,2,1,0,1,0,5,0,0,0,10,0,3,11,26,0,0,0,6,5,11,8,1,11,6,0,0,4,3,0,5,7,3,1,1,2,6,0,3,0,0,1
