,"colony,date,ant_id,x,y,file_name,ant_type"
0,"N4,8/14/12,200,697.172158,415.953048,1912,2"
1,"N4,8/14/12,200,714.96458,460.434102,1930,2"
2,"N4,8/14/12,200,714.96458,471.109555,1949,2"
3,"N4,8/14/12,200,786.134267,508.473641,2046,2"
4,"N4,8/14/12,200,819.939868,478.226524,2075,2"
5,"N4,8/14/12,200,876.875618,485.343493,2115,2"
6,"N4,8/14/12,201,906.340708,421.827434,2639,2"
7,"N4,8/14/12,201,863.331858,389.969027,2658,2"
8,"N4,8/14/12,201,739.084071,362.889381,2716,2"
9,"N4,8/14/12,201,755.013274,386.783186,2731,2"
10,"N4,8/14/12,201,694.482301,401.119469,2824,2"
11,"N4,8/14/12,202,825.10177,485.544248,4267,2"
12,"N4,8/14/12,202,818.730088,491.915929,4211,2"
13,"N4,8/14/12,202,793.243363,487.137168,4180,2"
14,"N4,8/14/12,202,820.323009,474.393805,4043,2"
15,"N4,8/14/12,202,831.473451,436.163717,3976,2"
16,"N4,8/14/12,202,791.650442,375.632743,3938,2"
17,"N4,8/14/12,202,774.128319,421.827434,3912,2"
18,"N4,8/14/12,202,810.765487,439.349558,3878,2"
19,"N4,8/14/12,202,892.004425,474.393805,3793,2"
20,"N4,8/14/12,203,1181.19565,536.586957,9263,2"
21,"N4,8/14/12,203,1196.84783,362.847826,9102,2"
22,"N4,8/14/12,203,1178.06522,293.978261,9053,2"
23,"N4,8/14/12,203,1246.93478,237.630435,8655,2"
24,"N4,8/14/12,203,1409.71739,315.891304,8555,2"
25,"N4,8/14/12,203,1383.1087,387.891304,8516,2"
26,"N4,8/14/12,203,1311.1087,447.369565,8453,2"
27,"N4,8/14/12,203,1237.54348,428.586957,8379,2"
28,"N4,8/14/12,204,1223.45652,602.326087,8862,2"
29,"N4,8/14/12,204,1178.06522,702.5,8817,2"
30,"N4,8/14/12,204,1027.80435,788.586957,8659,2"
31,"N4,8/14/12,204,836.847826,765.108696,8586,2"
32,"N4,8/14/12,204,429.891304,921.630435,8434,2"
33,"N4,8/14/12,204,434.586957,844.934783,8355,2"
34,"N4,8/14/12,204,401.717391,721.282609,8185,2"
35,"N4,8/14/12,204,512.847826,715.021739,8077,2"
36,"N4,8/14/12,204,586.413043,686.847826,7906,2"
37,"N4,8/14/12,204,1198.41304,527.195652,7576,2"
