,"colony,date,ant_id,x,y,file_name,ant_type"
0,"N13,8/14/12,131,651.386076,431.132911,259,2"
1,"N13,8/14/12,131,624.044304,426.575949,265,2"
2,"N13,8/14/12,131,554.170886,394.677215,316,2"
3,"N13,8/14/12,131,534.424051,349.107595,390,2"
4,"N13,8/14/12,131,522.272152,396.196203,409,2"
5,"N13,8/14/12,131,478.221519,441.765823,525,2"
6,"N13,8/14/12,131,505.563291,484.297468,569,2"
7,"N13,8/14/12,131,513.158228,472.14557,645,2"
8,"N13,8/14/12,134,528.348101,348.348101,1131,2"
9,"N13,8/14/12,134,488.85443,321.006329,1218,2"
10,"N13,8/14/12,134,497.968354,299.740506,1308,2"
11,"N13,8/14/12,134,520.753165,284.550633,1365,2"
12,"N13,8/14/12,134,532.905063,325.563291,1420,2"
13,"N13,8/14/12,135,528.348101,360.5,1434,2"
14,"N13,8/14/12,135,531.386076,369.613924,1453,2"
15,"N13,8/14/12,135,523.791139,412.14557,1542,2"
16,"N13,8/14/12,135,552.651899,427.335443,1577,2"
17,"N13,8/14/12,135,543.537975,439.487342,1581,2"
18,"N13,8/14/12,135,551.132911,441.006329,1617,2"
19,"N13,8/14/12,135,616.449367,447.082278,1642,2"
20,"N13,8/14/12,135,622.525316,415.183544,1660,2"
21,"N13,8/14/12,135,642.272152,445.563291,1672,2"
22,"N13,8/14/12,135,654.424051,442.525316,1705,2"
23,"N13,8/14/12,136,657.462025,439.487342,6038,2"
24,"N13,8/14/12,136,631.639241,439.487342,6016,2"
25,"N13,8/14/12,136,593.664557,437.968354,5999,2"
26,"N13,8/14/12,136,651.386076,444.044304,5983,2"
27,"N13,8/14/12,136,619.487342,744.803797,5879,2"
28,"N13,8/14/12,136,578.474684,711.386076,5829,2"
29,"N13,8/14/12,136,557.208861,722.018987,5784,2"
30,"N13,8/14/12,136,511.639241,720.5,5763,2"
31,"N13,8/14/12,136,482.778481,759.993671,5736,2"
32,"N13,8/14/12,136,361.259494,834.424051,5690,2"
33,"N13,8/14/12,136,291.386076,793.411392,5567,2"
34,"N13,8/14/12,136,282.272152,741.765823,5537,2"
35,"N13,8/14/12,136,385.563291,706.829114,5374,2"
36,"N13,8/14/12,136,400.753165,708.348101,5367,2"
37,"N13,8/14/12,136,406.829114,685.563291,5347,2"
38,"N13,8/14/12,136,377.968354,655.183544,5300,2"
39,"N13,8/14/12,136,429.613924,659.740506,5269,2"
40,"N13,8/14/12,136,493.411392,644.550633,5213,2"
41,"N13,8/14/12,136,545.056962,653.664557,5141,2"
42,"N13,8/14/12,136,557.208861,621.765823,5128,2"
43,"N13,8/14/12,136,514.677215,548.85443,5099,2"
44,"N13,8/14/12,136,551.132911,533.664557,5059,2"
45,"N13,8/14/12,136,511.639241,504.803797,5032,2"
46,"N13,8/14/12,136,510.120253,418.221519,4820,2"
47,"N13,8/14/12,136,494.93038,398.474684,4781,2"
48,"N13,8/14/12,136,526.829114,362.018987,4659,2"
49,"N13,8/14/12,136,532.905063,345.310127,4615,2"
50,"N13,8/14/12,137,546.575949,406.06962,8370,2"
51,"N13,8/14/12,137,551.132911,409.107595,8335,2"
52,"N13,8/14/12,137,537.462025,363.537975,8312,2"
53,"N13,8/14/12,137,545.056962,349.867089,8293,2"
54,"N13,8/14/12,137,538.981013,340.753165,8236,2"
