,"colony,date,ant_id,x,y,file_name,ant_type"
0,"N2,8/14/12,101,710.626582,303.537975,2337,2"
1,"N2,8/14/12,101,712.14557,300.5,2333,2"
2,"N2,8/14/12,101,713.664557,297.462025,2328,2"
3,"N2,8/14/12,101,739.487342,309.613924,2185,2"
4,"N2,8/14/12,101,698.474684,352.14557,2151,2"
5,"N2,8/14/12,101,728.85443,317.208861,2123,2"
6,"N2,8/14/12,101,724.297468,298.981013,2068,2"
7,"N2,8/14/12,101,689.360759,327.841772,2004,2"
8,"N2,8/14/12,101,721.259494,288.348101,1864,2"
9,"N2,8/14/12,101,709.107595,305.056962,1629,2"
10,"N2,8/14/12,102,715.183544,295.943038,3400,2"
11,"N2,8/14/12,102,706.06962,295.943038,3379,2"
12,"N2,8/14/12,102,730.373418,298.981013,3189,2"
13,"N2,8/14/12,102,719.514925,301.126866,3049,2"
14,"N2,8/14/12,102,703.395522,326.91791,2931,2"
15,"N2,8/14/12,102,707.588608,303.537975,2863,2"
16,"N2,8/14/12,102,736.449367,298.981013,2752,2"
17,"N2,8/14/12,102,724.297468,294.424051,2683,2"
18,"N2,8/14/12,103,715.183544,292.905063,3924,2"
19,"N2,8/14/12,103,724.297468,280.753165,3875,2"
20,"N2,8/14/12,103,710.626582,294.424051,3870,2"
21,"N2,8/14/12,103,552.651899,332.398734,3744,2"
22,"N2,8/14/12,103,584.550633,339.993671,3717,2"
23,"N2,8/14/12,103,634.677215,350.626582,3675,2"
24,"N2,8/14/12,103,633.158228,338.474684,3663,2"
25,"N2,8/14/12,103,646.829114,361.259494,3635,2"
26,"N2,8/14/12,103,660.5,346.06962,3590,2"
27,"N2,8/14/12,103,642.272152,330.879747,3583,2"
28,"N2,8/14/12,103,668.094937,327.841772,3515,2"
29,"N2,8/14/12,103,663.537975,326.322785,3495,2"
30,"N2,8/14/12,104,719.740506,291.386076,5360,2"
31,"N2,8/14/12,104,713.664557,309.613924,5335,2"
32,"N2,8/14/12,104,728.85443,305.056962,5316,2"
33,"N2,8/14/12,104,721.259494,323.28481,5312,2"
34,"N2,8/14/12,104,675.689873,370.373418,5238,2"
35,"N2,8/14/12,104,672.651899,330.879747,5208,2"
36,"N2,8/14/12,104,677.208861,329.360759,5082,2"
37,"N2,8/14/12,104,734.93038,311.132911,4991,2"
38,"N2,8/14/12,104,718.221519,314.170886,4987,2"
39,"N2,8/14/12,104,722.778481,294.424051,4974,2"
40,"N2,8/14/12,105,731.892405,286.829114,6588,2"
41,"N2,8/14/12,105,722.778481,289.867089,6545,2"
42,"N2,8/14/12,105,734.93038,274.677215,6521,2"
43,"N2,8/14/12,105,716.702532,302.018987,6405,2"
44,"N2,8/14/12,105,710.626582,303.537975,6404,2"
