,"colony,date,ant_id,x,y,file_name,ant_type"
0,"N4,8/13/12,130,1325.40674,774.474175,8943,2"
1,"N4,8/13/12,130,1401.33214,734.187231,8966,2"
2,"N4,8/13/12,130,1409.07963,738.835725,8987,2"
3,"N4,8/13/12,130,1398.23314,726.439742,8988,2"
4,"N4,8/13/12,130,1404.43113,738.835725,8998,2"
5,"N4,8/13/12,130,1385.83716,704.746772,9056,2"
6,"N4,8/13/12,130,1340.90172,683.053802,9075,2"
7,"N4,8/13/12,130,1319.20875,577.687948,9113,2"
8,"N4,8/13/12,130,1323.85725,552.895983,9170,2"
9,"N4,8/13/12,130,1317.65925,557.544476,9157,2"
10,"N4,8/13/12,130,1339.35222,579.237446,9137,2"
11,"N4,8/13/12,131,1260.5,710.626582,4179,2"
12,"N4,8/13/12,131,1274.17089,649.867089,4193,2"
13,"N4,8/13/12,131,1260.5,631.639241,4195,2"
14,"N4,8/13/12,131,1289.36076,613.411392,4213,2"
15,"N4,8/13/12,131,1287.84177,602.778481,4234,2"
16,"N4,8/13/12,131,1287.84177,610.373418,4262,2"
17,"N4,8/13/12,131,1266.57595,583.031646,4279,2"
18,"N4,8/13/12,131,1251.38608,589.107595,4318,2"
19,"N4,8/13/12,131,1246.82911,555.689873,4361,2"
20,"N4,8/13/12,131,1237.71519,578.474684,4372,2"
21,"N4,8/13/12,132,1318.22152,569.360759,5620,2"
22,"N4,8/13/12,132,1295.43671,595.183544,5625,2"
23,"N4,8/13/12,132,1258.98101,587.588608,5634,2"
24,"N4,8/13/12,132,1237.71519,567.841772,5650,2"
25,"N4,8/13/12,132,1260.5,672.651899,5680,2"
26,"N4,8/13/12,132,1272.6519,668.094937,5684,2"
27,"N4,8/13/12,132,1245.31013,709.107595,5696,2"
28,"N4,8/13/12,132,1255.94304,757.71519,5707,2"
29,"N4,8/13/12,133,1342.52532,573.917722,784,2"
30,"N4,8/13/12,133,1348.60127,575.436709,773,2"
31,"N4,8/13/12,133,1339.48734,631.639241,751,2"
32,"N4,8/13/12,133,1351.63924,596.702532,759,2"
33,"N4,8/13/12,133,1344.0443,651.386076,742,2"
34,"N4,8/13/12,133,1345.56329,692.398734,717,2"
35,"N4,8/13/12,133,1313.66456,689.360759,692,2"
36,"N4,8/13/12,133,1277.20886,690.879747,680,2"
37,"N4,8/13/12,133,1272.6519,719.740506,659,2"
38,"N4,8/13/12,133,1266.57595,753.158228,655,2"
39,"N4,8/13/12,133,1307.58861,681.765823,689,2"
40,"N4,8/13/12,133,1322.77848,645.310127,736,2"
