,"colony,date,ant_id,x,y,file_name,ant_type"
0,"N2,8/13/12,200,557.208861,291.386076,1668,2"
1,"N2,8/13/12,200,555.689873,291.386076,1623,2"
2,"N2,8/13/12,200,549.613924,317.208861,1611,2"
3,"N2,8/13/12,200,546.575949,338.474684,1594,2"
4,"N2,8/13/12,200,461.512658,344.550633,1575,2"
5,"N2,8/13/12,200,464.550633,321.765823,1566,2"
6,"N2,8/13/12,200,467.588608,308.094937,1564,2"
7,"N2,8/13/12,200,472.14557,314.170886,1561,2"
8,"N2,8/13/12,201,508.601266,270.120253,3759,2"
9,"N2,8/13/12,201,511.639241,273.158228,3727,2"
10,"N2,8/13/12,201,481.259494,295.943038,3660,2"
11,"N2,8/13/12,201,473.664557,291.386076,3585,2"
12,"N2,8/13/12,201,441.765823,305.056962,3567,2"
13,"N2,8/13/12,201,450.879747,311.132911,3521,2"
14,"N2,8/13/12,201,412.905063,279.234177,3287,2"
15,"N2,8/13/12,201,444.803797,309.613924,3244,2"
16,"N2,8/13/12,201,466.06962,286.829114,3230,2"
17,"N2,8/13/12,201,470.626582,321.765823,3214,2"
18,"N2,8/13/12,201,469.107595,311.132911,3194,2"
19,"N2,8/13/12,202,546.575949,297.462025,6625,2"
20,"N2,8/13/12,202,554.170886,294.424051,6600,2"
21,"N2,8/13/12,202,557.208861,289.867089,6596,2"
22,"N2,8/13/12,202,545.056962,259.487342,6576,2"
23,"N2,8/13/12,202,517.71519,292.905063,6558,2"
24,"N2,8/13/12,202,487.335443,308.094937,6487,2"
25,"N2,8/13/12,202,475.183544,289.867089,6484,2"
26,"N2,8/13/12,202,450.879747,308.094937,6453,2"
27,"N2,8/13/12,202,447.841772,286.829114,6451,2"
28,"N2,8/13/12,202,438.727848,280.753165,6437,2"
29,"N2,8/13/12,202,438.727848,298.981013,6420,2"
30,"N2,8/13/12,202,450.879747,317.208861,6417,2"
31,"N2,8/13/12,202,426.575949,318.727848,6393,2"
32,"N2,8/13/12,202,411.386076,315.689873,6373,2"
33,"N2,8/13/12,202,388.601266,327.841772,6352,2"
34,"N2,8/13/12,202,387.082278,347.588608,6334,2"
35,"N2,8/13/12,202,426.575949,391.639241,6282,2"
36,"N2,8/13/12,202,437.208861,379.487342,6278,2"
37,"N2,8/13/12,202,441.765823,347.588608,6219,2"
38,"N2,8/13/12,202,397.71519,303.537975,6141,2"
39,"N2,8/13/12,202,461.512658,315.689873,6086,2"
40,"N2,8/13/12,202,470.626582,305.056962,6064,2"
41,"N2,8/13/12,203,572.398734,274.677215,8440,2"
42,"N2,8/13/12,203,668.094937,280.753165,8344,2"
43,"N2,8/13/12,203,662.018987,405.310127,8289,2"
44,"N2,8/13/12,203,624.044304,339.993671,8216,2"
45,"N2,8/13/12,203,625.563291,361.259494,8207,2"
46,"N2,8/13/12,203,611.892405,364.297468,8196,2"
47,"N2,8/13/12,203,567.841772,379.487342,8162,2"
48,"N2,8/13/12,203,561.765823,285.310127,8113,2"
49,"N2,8/13/12,204,555.689873,282.272152,8601,2"
50,"N2,8/13/12,204,558.727848,288.348101,8514,2"
51,"N2,8/13/12,204,511.639241,265.563291,8384,2"
52,"N2,8/13/12,204,513.158228,273.158228,8362,2"
53,"N2,8/13/12,204,534.424051,273.158228,8341,2"
54,"N2,8/13/12,204,624.044304,192.651899,8044,2"
55,"N2,8/13/12,204,1459.48734,604.297468,7958,2"
56,"N2,8/13/12,204,630.120253,239.740506,7949,2"
57,"N2,8/13/12,204,631.639241,264.044304,7802,2"
58,"N2,8/13/12,204,583.031646,297.462025,7746,2"
59,"N2,8/13/12,204,593.664557,274.677215,7736,2"
60,"N2,8/13/12,204,567.841772,276.196203,7693,2"
