,"colony,date,ant_id,x,y,file_name,ant_type"
34,"N2,8/13/12,3,543.880282,511.767606,1697,1"
35,"N2,8/13/12,3,525.288732,476.274648,1588,1"
36,"N2,8/13/12,3,596.274648,400.21831,1481,1"
37,"N2,8/13/12,3,577.683099,361.34507,1476,1"
38,"N2,8/13/12,3,560.78169,379.93662,1474,1"
39,"N2,8/13/12,3,603.035211,351.204225,1437,1"
40,"N2,8/13/12,3,570.922535,317.401408,1420,1"
41,"N2,8/13/12,3,574.302817,312.330986,1418,1"
42,"N2,8/13/12,4,374.814721,295.626904,5358,1"
43,"N2,8/13/12,4,528.317259,385.170051,5229,1"
44,"N2,8/13/12,4,606.895939,359.586294,5206,1"
45,"N2,8/13/12,4,574.002538,368.72335,5179,1"
46,"N2,8/13/12,4,597.758883,344.967005,5175,1"
47,"N2,8/13/12,4,586.794416,319.383249,5167,1"
48,"N2,8/13/12,4,542.936548,365.068528,5144,1"
49,"N2,8/13/12,4,517.352792,354.104061,5126,1"
50,"N2,8/13/12,4,504.560914,334.002538,5029,1"
51,"N2,8/13/12,4,510.043147,344.967005,4984,1"
52,"N2,8/13/12,4,517.352792,335.829949,4892,1"
53,"N2,8/13/12,4,539.281726,313.901015,4864,1"
54,"N2,8/13/12,5,321.819797,323.038071,7713,1"
55,"N2,8/13/12,5,351.058376,370.550761,7698,1"
56,"N2,8/13/12,5,287.098985,390.652284,7679,1"
57,"N2,8/13/12,5,318.164975,460.093909,7546,1"
58,"N2,8/13/12,5,524.662437,584.357868,7263,1"
59,"N2,8/13/12,5,493.596447,405.271574,7161,1"
60,"N2,8/13/12,5,475.322335,359.586294,7152,1"
61,"N2,8/13/12,5,471.667513,381.515228,7128,1"
62,"N2,8/13/12,5,502.733503,348.621827,7078,1"
63,"N2,8/13/12,5,564.865482,306.591371,7051,1"
64,"N2,8/13/12,6,361.091133,299.317734,1205,1"
65,"N2,8/13/12,6,440.894089,405.721675,1129,1"
66,"N2,8/13/12,6,478.135468,393.307882,1113,1"
67,"N2,8/13/12,6,474.58867,363.160099,1106,1"
68,"N2,8/13/12,6,510.05665,348.972906,1087,1"
69,"N2,8/13/12,6,510.05665,361.3867,1083,1"
70,"N2,8/13/12,6,621.780788,336.559113,1052,1"
71,"N2,8/13/12,6,593.406404,331.238916,1044,1"
72,"N2,8/13/12,6,602.273399,290.450739,1020,1"
73,"N2,8/13/12,6,589.859606,285.130542,1016,1"
74,"N2,8/13/12,7,589.859606,237.248768,8182,1"
75,"N2,8/13/12,7,586.312808,258.529557,8171,1"
76,"N2,8/13/12,7,616.460591,242.568966,8065,1"
77,"N2,8/13/12,7,598.726601,364.933498,8030,1"
78,"N2,8/13/12,7,543.751232,354.293103,8014,1"
79,"N2,8/13/12,7,559.711823,306.41133,7995,1"
80,"N2,8/13/12,7,549.071429,306.41133,7993,1"
81,"N2,8/13/12,8,784.813725,261.732493,9220,1"
82,"N2,8/13/12,8,1071.64846,708.119048,8945,1"
83,"N2,8/13/12,8,1023.2451,763.693277,8852,1"
84,"N2,8/13/12,8,811.704482,858.707283,8654,1"
85,"N2,8/13/12,8,542.796919,598.763305,8451,1"
86,"N2,8/13/12,8,521.284314,539.603641,8426,1"
87,"N2,8/13/12,8,428.063025,498.371148,8365,1"
88,"N2,8/13/12,8,458.539216,349.57563,8272,1"
89,"N2,8/13/12,8,562.516807,310.135854,8126,1"
90,"N2,8/13/12,9,329.463585,363.917367,7604,1"
91,"N2,8/13/12,9,340.219888,353.161064,7601,1"
92,"N2,8/13/12,9,324.085434,462.516807,7494,1"
93,"N2,8/13/12,9,625.261905,453.553221,7369,1"
94,"N2,8/13/12,9,671.872549,469.687675,7348,1"
95,"N2,8/13/12,9,727.446779,500.163866,7336,1"
96,"N2,8/13/12,9,630.640056,521.676471,7308,1"
97,"N2,8/13/12,9,524.869748,579.043417,7262,1"
98,"N2,8/13/12,9,548.17507,306.55042,7171,1"
99,"N2,8/13/12,10,350.97619,326.270308,3645,1"
100,"N2,8/13/12,10,517.69888,546.77451,3521,1"
101,"N2,8/13/12,10,533.833333,589.79972,3504,1"
102,"N2,8/13/12,10,679.043417,849.743697,3422,1"
103,"N2,8/13/12,10,689.79972,591.592437,3333,1"
104,"N2,8/13/12,10,682.628852,562.908964,3306,1"
105,"N2,8/13/12,10,673.665266,484.029412,3248,1"
106,"N2,8/13/12,10,761.508403,396.186275,3176,1"
107,"N2,8/13/12,10,709.519608,387.222689,3120,1"
108,"N2,8/13/12,10,684.421569,324.477591,3104,1"
109,"N2,8/13/12,10,637.810924,335.233894,3083,1"
110,"N2,8/13/12,10,584.029412,290.415966,3048,1"
111,"N2,8/13/12,200,557.208861,291.386076,1668,2"
112,"N2,8/13/12,200,555.689873,291.386076,1623,2"
113,"N2,8/13/12,200,549.613924,317.208861,1611,2"
114,"N2,8/13/12,200,546.575949,338.474684,1594,2"
115,"N2,8/13/12,200,461.512658,344.550633,1575,2"
116,"N2,8/13/12,200,464.550633,321.765823,1566,2"
117,"N2,8/13/12,200,467.588608,308.094937,1564,2"
118,"N2,8/13/12,200,472.14557,314.170886,1561,2"
119,"N2,8/13/12,201,508.601266,270.120253,3759,2"
120,"N2,8/13/12,201,511.639241,273.158228,3727,2"
121,"N2,8/13/12,201,481.259494,295.943038,3660,2"
122,"N2,8/13/12,201,473.664557,291.386076,3585,2"
123,"N2,8/13/12,201,441.765823,305.056962,3567,2"
124,"N2,8/13/12,201,450.879747,311.132911,3521,2"
125,"N2,8/13/12,201,412.905063,279.234177,3287,2"
126,"N2,8/13/12,201,444.803797,309.613924,3244,2"
127,"N2,8/13/12,201,466.06962,286.829114,3230,2"
128,"N2,8/13/12,201,470.626582,321.765823,3214,2"
129,"N2,8/13/12,201,469.107595,311.132911,3194,2"
130,"N2,8/13/12,202,546.575949,297.462025,6625,2"
131,"N2,8/13/12,202,554.170886,294.424051,6600,2"
132,"N2,8/13/12,202,557.208861,289.867089,6596,2"
133,"N2,8/13/12,202,545.056962,259.487342,6576,2"
134,"N2,8/13/12,202,517.71519,292.905063,6558,2"
135,"N2,8/13/12,202,487.335443,308.094937,6487,2"
136,"N2,8/13/12,202,475.183544,289.867089,6484,2"
137,"N2,8/13/12,202,450.879747,308.094937,6453,2"
138,"N2,8/13/12,202,447.841772,286.829114,6451,2"
139,"N2,8/13/12,202,438.727848,280.753165,6437,2"
140,"N2,8/13/12,202,438.727848,298.981013,6420,2"
141,"N2,8/13/12,202,450.879747,317.208861,6417,2"
142,"N2,8/13/12,202,426.575949,318.727848,6393,2"
143,"N2,8/13/12,202,411.386076,315.689873,6373,2"
144,"N2,8/13/12,202,388.601266,327.841772,6352,2"
145,"N2,8/13/12,202,387.082278,347.588608,6334,2"
146,"N2,8/13/12,202,426.575949,391.639241,6282,2"
147,"N2,8/13/12,202,437.208861,379.487342,6278,2"
148,"N2,8/13/12,202,441.765823,347.588608,6219,2"
149,"N2,8/13/12,202,397.71519,303.537975,6141,2"
150,"N2,8/13/12,202,461.512658,315.689873,6086,2"
151,"N2,8/13/12,202,470.626582,305.056962,6064,2"
152,"N2,8/13/12,203,572.398734,274.677215,8440,2"
153,"N2,8/13/12,203,668.094937,280.753165,8344,2"
154,"N2,8/13/12,203,662.018987,405.310127,8289,2"
155,"N2,8/13/12,203,624.044304,339.993671,8216,2"
156,"N2,8/13/12,203,625.563291,361.259494,8207,2"
157,"N2,8/13/12,203,611.892405,364.297468,8196,2"
158,"N2,8/13/12,203,567.841772,379.487342,8162,2"
159,"N2,8/13/12,203,561.765823,285.310127,8113,2"
160,"N2,8/13/12,204,555.689873,282.272152,8601,2"
161,"N2,8/13/12,204,558.727848,288.348101,8514,2"
162,"N2,8/13/12,204,511.639241,265.563291,8384,2"
163,"N2,8/13/12,204,513.158228,273.158228,8362,2"
164,"N2,8/13/12,204,534.424051,273.158228,8341,2"
165,"N2,8/13/12,204,624.044304,192.651899,8044,2"
166,"N2,8/13/12,204,1459.48734,604.297468,7958,2"
167,"N2,8/13/12,204,630.120253,239.740506,7949,2"
168,"N2,8/13/12,204,631.639241,264.044304,7802,2"
169,"N2,8/13/12,204,583.031646,297.462025,7746,2"
170,"N2,8/13/12,204,593.664557,274.677215,7736,2"
171,"N2,8/13/12,204,567.841772,276.196203,7693,2"
172,"N2,8/14/12,1,599.861702,251.351064,1777,1"
173,"N2,8/14/12,1,599.861702,284.542553,1480,1"
174,"N2,8/14/12,1,621.56383,307.521277,1459,1"
175,"N2,8/14/12,1,639.43617,310.074468,1297,1"
176,"N2,8/14/12,2,747.946809,241.138298,1918,1"
177,"N2,8/14/12,2,760.712766,278.159574,1904,1"
178,"N2,8/14/12,2,730.074468,303.691489,1837,1"
179,"N2,8/14/12,2,717.308511,298.585106,1830,1"
180,"N2,8/14/12,3,593.478723,276.882979,2912,1"
181,"N2,8/14/12,3,638.159574,324.117021,2865,1"
182,"N2,8/14/12,3,653.478723,322.840426,2857,1"
183,"N2,8/14/12,3,656.031915,319.010638,2849,1"
184,"N2,8/14/12,4,592.202128,306.244681,4831,1"
185,"N2,8/14/12,4,647.095745,347.095745,4780,1"
186,"N2,8/14/12,4,661.138298,333.053191,4776,1"
187,"N2,8/14/12,4,641.989362,311.351064,4775,1"
188,"N2,8/14/12,4,656.031915,316.457447,4768,1"
189,"N2,8/14/12,5,786.244681,325.393617,5091,1"
190,"N2,8/14/12,5,763.265957,289.648936,5074,1"
191,"N2,8/14/12,5,761.989362,352.202128,5025,1"
192,"N2,8/14/12,5,718.585106,324.117021,4976,1"
193,"N2,8/14/12,5,712.202128,303.691489,4879,1"
194,"N2,8/14/12,5,726.244681,315.180851,4784,1"
