"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant209","Ant252","Ant308","Ant311","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant263","Ant289","Ant298","Ant324","Ant342","Ant347","Ant356","Ant380","Ant390","Ant394","Ant395","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant530","Ant538","Ant560","Ant564"
"Ant137",0,1,0,16,0,0,1,0,0,8,0,12,0,11,9,0,0,1,4,1,0,0,3,1,0,0,22,0,0,32,4,22,3,0,0,5,0,0,0,0,4,0,0,0,5,0,1,0,1,0,14,0,3,1,16,0,0,1,10,0,3,0,31,5,0,14,0,0,0,0,1,2,0,6,26,0,0,0,4
"Ant142",0,20,6,0,5,2,6,8,15,1,12,0,1,3,0,21,7,8,3,4,8,0,0,1,1,2,0,8,13,2,0,0,3,1,4,2,0,0,3,0,4,8,7,0,2,2,4,7,6,19,0,11,0,3,0,2,3,6,0,9,5,11,1,0,10,0,0,10,14,6,1,10,20,1,0,2,16,13,0
"Ant149",0,6,6,1,13,2,6,15,8,5,22,0,1,1,0,23,4,9,2,3,2,1,0,2,2,10,0,1,6,1,4,0,3,4,5,0,0,3,0,0,0,6,12,0,1,6,6,3,5,7,0,18,0,5,0,4,0,9,1,1,8,9,0,0,4,0,0,3,12,6,5,3,6,0,0,4,12,4,0
"Ant156",0,2,0,0,0,5,0,0,0,0,2,0,16,0,0,2,0,0,0,6,5,14,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,27,0,0,0,19,2,0,0,1,0,0,0,0,0,33,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,43,0,0,0
"Ant159",0,1,0,6,0,0,0,0,0,2,0,9,1,3,0,0,0,0,6,2,0,1,8,4,0,1,7,0,0,11,2,1,0,0,0,3,4,4,0,0,0,0,2,0,17,2,4,0,0,0,0,0,2,0,4,1,0,0,3,3,0,3,11,2,0,18,0,1,0,0,2,0,0,6,0,0,2,0,12
"Ant169",1,11,2,0,5,14,2,3,10,2,1,0,12,0,1,6,1,13,0,2,2,4,0,9,0,0,0,0,9,0,2,0,2,0,9,0,0,8,6,1,0,0,3,5,0,3,1,4,10,21,0,6,0,1,0,2,1,2,0,3,2,8,0,3,0,1,0,4,11,11,9,4,1,0,0,11,32,5,0
"Ant173",3,1,7,0,1,1,16,9,5,3,6,7,2,4,1,2,2,6,21,0,1,0,3,1,3,0,3,4,3,2,0,1,5,3,0,0,0,7,12,0,2,3,0,0,0,16,4,1,3,8,2,2,1,1,3,3,0,3,0,8,5,5,0,1,1,5,4,10,3,3,12,8,3,2,0,1,4,6,5
"Ant176",0,11,0,0,0,3,0,0,0,0,8,0,14,0,0,3,0,0,0,2,7,21,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,27,0,5,0,0,0,0,0,42,11,0,0,0,0,2,0,0,0,39,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,25,0,0,0
"Ant178",0,1,0,7,0,0,0,1,0,4,0,17,0,18,26,0,0,0,16,1,0,0,9,6,0,0,23,0,0,18,2,1,0,5,0,10,5,2,1,0,17,0,0,0,0,0,0,0,0,1,10,0,27,0,6,0,1,0,1,2,0,0,4,3,0,76,0,0,0,0,5,1,0,4,1,1,0,0,12
"Ant186",3,4,9,4,14,3,2,4,6,2,1,0,0,3,1,4,1,6,7,3,3,0,0,2,10,5,0,4,2,1,2,4,2,2,0,0,0,2,6,0,2,3,16,0,0,0,3,0,3,6,0,7,2,0,3,4,5,3,0,7,2,8,0,5,7,0,9,3,0,0,8,9,3,0,1,3,8,2,0
