"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant4",0,17,5,0,38,1,2,2,0,3,0,42,3,0,6,0,1,12,0,1,7,0,2,14,0,4,0,15,0,5,2,0,8,0,1,26,0,24,1,5,11,3,0
"Ant260",17,0,10,0,19,2,1,2,0,0,0,19,18,0,13,0,0,16,0,2,1,4,15,9,0,0,0,33,2,0,0,1,11,1,2,31,1,17,3,5,28,21,0
"Ant52",5,10,0,0,0,37,7,0,12,2,3,14,36,0,9,4,1,11,0,14,22,3,7,10,0,5,0,38,12,30,17,2,13,27,17,9,0,7,6,9,1,23,1
"Ant540",0,0,0,0,0,2,1,7,7,3,1,0,0,0,0,11,3,0,5,5,0,6,0,0,11,2,0,5,1,1,4,0,2,0,4,0,17,2,0,0,0,0,7
"Ant6",38,19,0,0,0,0,0,0,0,0,0,22,0,0,8,0,0,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,7,0,0,16,0,68,0,20,0,2,0
"Ant9",1,2,37,2,0,0,8,4,26,7,2,1,7,0,5,3,8,3,0,3,2,15,2,9,1,4,1,27,16,10,0,2,3,2,2,4,1,4,2,7,1,13,3
"Ant26",2,1,7,1,0,8,0,4,5,1,7,5,10,0,3,2,0,7,1,5,0,18,3,6,0,2,5,8,1,32,5,4,14,7,2,3,1,5,9,4,2,16,1
"Ant30",2,2,0,7,0,4,4,0,2,5,9,6,8,0,2,2,9,2,3,8,1,14,4,4,1,7,3,1,2,20,5,11,6,5,6,0,14,0,0,5,0,8,4
"Ant60",0,0,12,7,0,26,5,2,0,1,4,4,2,0,1,5,0,8,4,26,8,10,6,9,0,7,8,9,2,26,11,13,56,3,10,0,2,1,10,1,1,1,7
"Ant158",3,0,2,3,0,7,1,5,1,0,4,1,3,0,0,19,2,0,21,1,5,11,3,2,2,9,11,5,0,4,4,9,6,8,7,1,8,2,3,8,0,0,9
"Ant191",0,0,3,1,0,2,7,9,4,4,0,1,3,0,0,0,12,0,8,5,0,28,0,8,2,7,9,7,1,9,4,14,6,12,10,0,3,0,4,0,0,0,0
"Ant196",42,19,14,0,22,1,5,6,4,1,1,0,13,0,19,2,4,16,0,6,17,2,16,32,0,2,2,13,14,10,1,0,18,2,3,27,4,33,8,17,10,10,2
"Ant252",3,18,36,0,0,7,10,8,2,3,3,13,0,0,12,3,7,28,2,9,21,14,6,8,0,7,1,7,1,15,4,1,13,1,6,3,3,12,9,21,18,25,0
