"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant501","Ant560","Ant564"
"Ant4",0,11,2,0,8,32,0,10,1,1,0,6,0,0,28,3,2,0,6,0,0,1,0,1,1,0,0,0,2,0,1,0,4,5,14,0,20,1,2,3,0,0,15,0,18,0,5,19,3,6,20,0,7,1
"Ant260",11,0,5,0,31,19,8,24,4,3,2,17,0,3,21,7,0,0,16,2,0,9,0,13,8,10,6,7,6,0,0,2,17,9,28,1,9,1,8,12,0,1,18,0,37,0,1,19,36,12,1,2,4,0
"Ant52",2,5,0,2,0,1,16,3,1,9,12,1,11,4,8,3,1,0,1,8,2,2,1,0,12,4,2,4,1,0,0,1,0,10,14,4,1,4,7,1,4,11,2,0,3,15,5,1,0,1,2,4,0,0
"Ant540",0,0,2,0,0,0,2,0,3,1,4,1,11,28,1,4,1,0,0,14,8,0,2,3,0,1,21,0,0,7,3,4,2,2,3,6,0,0,1,0,22,3,4,3,0,1,1,0,1,0,0,6,0,7
"Ant6",8,31,0,0,0,13,0,12,0,0,1,13,0,0,18,4,0,0,13,0,0,7,0,6,2,1,0,4,13,0,0,0,2,0,5,0,8,0,5,6,0,0,21,0,16,0,0,14,5,6,4,0,8,0
"Ant7",32,19,1,0,13,0,0,12,0,1,1,63,0,0,175,7,0,0,31,0,0,19,0,6,3,2,1,6,6,1,0,0,2,1,22,0,56,0,15,12,1,0,23,0,176,0,1,83,0,11,0,0,9,0
"Ant9",0,8,16,2,0,0,0,1,7,6,10,0,1,7,4,3,1,0,2,2,2,0,0,0,26,6,15,4,1,0,1,1,2,13,4,6,0,4,6,1,2,15,0,1,4,8,6,0,3,0,0,0,0,3
"Ant19",10,24,3,0,12,12,1,0,2,1,0,9,2,1,28,3,0,0,9,1,2,4,3,2,0,7,2,4,6,0,0,0,15,1,5,0,6,0,2,3,0,3,4,0,20,0,0,10,3,2,7,0,25,0
"Ant26",1,4,1,3,0,0,7,2,0,7,7,4,5,3,9,4,5,0,12,0,0,0,2,0,9,0,11,4,0,3,2,3,5,0,7,0,0,4,4,2,0,2,3,0,8,7,5,2,4,7,1,1,0,1
"Ant30",1,3,9,1,0,1,6,1,7,0,4,0,23,9,14,3,10,0,1,10,7,1,7,5,5,6,22,6,1,5,15,6,0,2,3,9,0,8,9,6,1,0,8,3,3,0,4,1,4,1,2,4,0,2
