"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant4",0,20,0,0,3,0,0,0,2,0,0,0,7,0,7,0,0,8,0,0,5,0,4,24,0,0,0,2,0,1,0,0,6,0,0,24,0,76,0,6,3,4,0
"Ant260",20,0,15,0,1,11,1,2,16,8,2,14,27,0,3,0,0,17,0,4,22,2,17,15,0,0,0,21,0,6,0,0,13,0,0,44,0,38,0,21,20,11,0
"Ant52",0,15,0,2,1,11,7,8,8,4,3,17,7,0,9,4,0,11,1,6,25,7,9,0,0,3,0,8,6,15,12,2,18,0,5,10,0,0,8,10,8,16,2
"Ant540",0,0,2,0,0,1,0,9,1,5,10,0,2,0,3,9,1,2,22,6,0,9,0,0,15,12,1,0,2,3,4,13,1,2,0,2,0,0,0,1,2,1,2
"Ant6",3,1,1,0,0,0,0,1,1,0,1,1,2,0,2,0,0,1,0,0,1,0,3,3,0,0,0,3,0,0,0,0,5,0,0,5,0,7,0,0,4,8,0
"Ant9",0,11,11,1,0,0,1,4,0,0,3,2,5,0,16,8,0,4,0,13,3,2,4,0,0,0,0,2,0,3,14,1,6,1,0,3,0,0,2,4,0,6,3
"Ant26",0,1,7,0,0,1,0,3,18,1,0,19,7,0,7,0,0,10,0,0,4,5,10,0,0,2,0,1,0,5,5,0,7,0,6,12,0,1,0,2,7,22,0
"Ant30",0,2,8,9,1,4,3,0,2,7,19,2,6,0,1,15,5,1,2,9,4,12,4,0,0,6,1,2,1,13,12,11,9,1,18,11,1,0,1,0,3,0,0
"Ant60",2,16,8,1,1,0,18,2,0,6,10,17,9,0,3,6,1,8,3,20,6,24,10,13,2,11,2,5,7,3,1,4,8,3,2,16,0,12,8,2,10,23,0
"Ant158",0,8,4,5,0,0,1,7,6,0,12,5,0,0,0,5,9,0,0,10,4,10,6,0,7,12,6,2,4,3,0,8,0,2,0,6,2,0,0,5,12,2,0
"Ant191",0,2,3,10,1,3,0,19,10,12,0,0,3,0,0,10,4,3,11,1,0,16,0,0,4,3,3,1,1,7,4,3,1,8,6,5,0,0,3,0,0,0,7
"Ant196",0,14,17,0,1,2,19,2,17,5,0,0,12,0,7,5,0,10,1,5,11,3,30,2,0,1,2,10,11,25,1,0,9,0,0,24,0,5,8,5,7,19,0
"Ant252",7,27,7,2,2,5,7,6,9,0,3,12,0,0,7,0,0,12,0,8,8,6,6,10,0,0,0,9,2,8,5,2,12,3,1,36,0,14,2,5,6,14,0
"Ant518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant0",7,3,9,3,2,16,7,1,3,0,0,7,7,0,0,2,0,7,0,4,4,0,8,16,0,0,0,0,2,2,1,0,5,0,2,9,0,7,0,1,9,17,0
