"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant209","Ant252","Ant308","Ant311","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant263","Ant289","Ant298","Ant324","Ant342","Ant347","Ant356","Ant380","Ant390","Ant394","Ant395","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant530","Ant538","Ant560","Ant564"
"Ant4",0,0,21,0,2,0,1,1,0,2,4,3,0,1,0,1,1,1,0,0,0,0,0,4,0,3,4,4,2,0,2,9,8,7,0,0,0,4,2,1,1,0,1,0,0,4,1,0,1,3,0,1,1,1,1,7,6,5,0,1,1,4,1,1,1,1,5,3,1,0,0,7,0,0,1,0,0,1,1
"Ant260",0,0,10,1,2,21,1,4,6,1,0,0,7,0,0,21,3,11,3,8,9,18,1,3,2,1,0,2,0,0,8,1,5,1,7,1,0,5,2,2,2,14,8,18,2,3,12,13,18,25,0,11,3,8,0,2,4,3,0,2,5,5,5,0,10,3,2,5,16,18,0,1,1,0,2,9,7,5,2
"Ant52",21,10,0,3,3,0,3,11,4,2,1,5,0,3,1,6,5,4,4,0,1,1,5,11,2,1,15,0,1,1,5,4,10,4,0,2,0,1,6,3,7,2,5,0,1,10,3,3,4,2,1,3,6,3,0,43,3,1,4,3,2,1,2,9,2,5,9,2,2,2,1,1,6,2,4,0,0,17,3
"Ant540",0,1,3,0,0,0,2,0,0,6,0,6,0,8,14,0,0,0,12,0,1,0,8,3,2,0,28,1,0,27,3,6,4,9,0,13,21,1,2,1,5,0,6,0,8,2,1,0,0,0,5,0,6,1,16,4,0,0,3,1,3,2,4,2,1,10,7,0,0,0,7,0,6,9,20,0,0,1,12
"Ant6",2,2,3,0,0,1,2,5,3,3,8,0,4,8,0,4,1,3,4,0,0,0,1,1,0,4,4,1,9,1,3,6,8,0,0,0,0,9,2,7,4,11,0,0,1,7,5,0,3,14,0,7,7,7,0,2,3,7,0,0,0,12,0,3,5,0,0,8,2,0,2,5,1,0,0,0,8,4,0
"Ant7",0,21,0,0,1,0,0,0,15,0,1,0,67,0,0,13,0,3,0,3,30,12,0,1,2,8,0,1,0,0,0,0,3,1,7,1,0,5,2,0,0,21,0,1,0,0,6,9,36,37,0,5,2,12,0,0,0,3,0,0,0,4,0,0,3,0,0,13,6,70,0,7,0,1,0,35,0,0,0
"Ant9",1,1,3,2,2,0,0,5,2,12,0,11,0,6,14,7,2,1,1,0,0,0,6,1,0,1,17,0,4,30,10,11,2,2,0,6,6,1,0,0,7,0,8,0,0,3,1,3,0,0,8,0,14,1,7,5,0,3,1,14,4,0,5,9,0,4,0,1,0,0,3,0,5,7,26,0,0,1,7
"Ant19",1,4,11,0,5,0,5,0,2,1,0,2,6,8,1,11,5,1,0,0,1,2,2,3,4,3,1,0,4,1,1,2,0,8,0,0,1,13,4,5,3,0,1,0,2,0,10,0,7,14,8,1,2,1,2,0,5,7,0,2,4,3,5,5,5,3,7,4,2,4,2,5,3,0,6,0,5,7,0
"Ant26",0,6,4,0,3,15,2,2,0,0,8,0,24,1,0,10,0,14,0,0,4,5,2,1,0,2,1,4,0,0,1,3,19,1,0,1,0,1,5,6,1,4,4,0,0,2,15,2,14,72,0,13,1,5,0,0,1,10,0,0,0,29,0,0,8,0,1,5,16,23,10,3,1,0,0,2,17,22,0
"Ant30",2,1,2,6,3,0,12,1,0,0,8,9,1,7,1,0,2,2,11,0,0,0,3,6,2,4,4,1,0,4,5,10,5,5,0,1,10,6,0,0,19,0,3,0,9,4,4,0,2,8,1,0,4,0,3,2,1,7,3,1,7,5,6,3,1,9,4,5,0,3,4,4,3,4,1,0,0,0,2
