"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant501","Ant560","Ant564"
"Ant4",0,17,5,0,11,37,0,22,1,3,1,20,0,0,11,6,0,0,7,0,0,9,0,10,4,3,4,3,8,0,2,0,8,1,20,0,9,1,7,12,0,0,19,0,13,0,0,29,5,1,1,0,36,0
"Ant260",17,0,9,0,31,6,5,10,10,1,6,12,0,2,21,21,5,0,12,4,5,18,1,3,9,7,9,5,9,0,4,4,15,6,27,0,1,3,17,16,2,1,28,2,16,2,5,13,29,4,11,0,14,1
"Ant52",5,9,0,1,6,0,4,6,1,21,15,5,0,2,7,7,3,0,1,1,2,10,1,0,16,22,10,3,0,0,8,3,7,0,3,1,4,0,10,4,12,5,2,0,4,0,2,0,0,7,7,0,3,1
"Ant540",0,0,1,0,0,0,1,0,0,5,2,3,7,5,2,2,1,0,0,3,3,0,4,0,10,0,2,4,0,6,1,27,6,0,3,3,4,1,2,0,4,3,0,8,1,2,6,0,0,0,1,22,0,10
"Ant6",11,31,6,0,0,46,0,22,7,2,1,12,0,0,9,15,10,0,8,0,0,12,0,2,1,1,1,3,12,0,0,0,14,1,11,0,2,0,7,21,0,4,20,0,27,0,0,4,8,2,1,0,10,0
"Ant7",37,6,0,0,46,0,0,15,0,0,0,39,0,0,41,1,0,0,20,0,0,36,0,13,0,0,0,1,8,0,0,0,0,0,0,0,60,0,5,161,0,0,102,0,78,0,0,28,0,3,0,0,3,0
"Ant9",0,5,4,1,0,0,0,2,18,1,11,3,0,1,4,8,17,0,1,5,2,6,3,0,5,24,5,2,11,2,3,3,1,1,5,2,6,0,4,2,0,23,3,0,8,6,0,3,3,0,4,4,0,0
"Ant19",22,10,6,0,22,15,2,0,0,3,9,14,0,0,15,11,4,0,12,0,0,12,1,11,1,5,0,8,8,0,0,1,14,0,16,0,16,0,9,14,0,0,9,0,16,0,0,17,2,6,8,0,6,0
"Ant26",1,10,1,0,7,0,18,0,0,4,3,6,0,0,3,7,1,0,1,1,1,4,5,0,3,3,3,3,0,0,2,12,0,1,3,1,0,0,2,13,2,5,1,0,6,0,1,1,3,0,2,1,0,1
"Ant30",3,1,21,5,2,0,1,3,4,0,5,0,1,16,6,0,6,0,1,0,12,3,19,0,7,3,3,3,6,0,11,10,11,13,2,1,3,1,11,4,6,8,10,0,4,5,23,2,5,2,5,0,1,4
