"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant501","Ant560","Ant564"
"Ant4",0,27,5,0,5,146,0,7,2,2,7,14,2,0,20,4,1,0,7,1,5,31,0,3,2,5,1,4,20,0,0,4,13,7,6,0,18,3,13,11,0,1,30,0,47,0,3,17,3,13,1,0,21,1
"Ant260",27,0,24,0,18,56,12,19,42,15,10,23,15,2,20,8,5,0,28,1,2,19,2,16,22,17,8,20,40,1,1,1,46,13,36,8,11,2,18,21,0,2,37,0,27,5,4,37,28,18,22,0,4,0
"Ant52",5,24,0,5,4,1,7,1,2,4,1,3,16,7,11,4,6,0,3,1,2,4,0,2,12,16,21,8,15,1,0,6,1,4,5,0,1,17,5,5,9,1,14,0,6,4,7,12,3,6,3,3,0,0
"Ant540",0,0,5,0,1,0,2,1,4,3,2,0,2,9,1,1,0,0,0,0,9,3,10,3,3,2,19,0,2,15,0,5,3,3,4,3,1,20,1,1,16,2,2,12,1,13,6,1,1,2,6,3,0,12
"Ant6",5,18,4,1,0,45,0,4,16,0,0,8,0,3,14,10,4,0,10,0,0,8,0,7,2,0,1,9,2,0,0,0,7,9,1,0,2,0,14,11,0,1,23,0,31,0,0,31,2,4,10,0,0,0
"Ant7",146,56,1,0,45,0,0,32,0,0,1,32,0,0,131,10,0,0,29,0,0,186,0,5,3,0,0,3,7,0,0,0,0,0,0,0,74,0,3,36,0,0,112,0,124,0,0,208,0,4,8,0,24,0
"Ant9",0,12,7,2,0,0,0,1,16,4,13,1,2,3,4,2,5,0,3,0,0,0,1,0,4,20,23,9,11,0,8,5,4,9,15,8,0,2,13,1,3,3,3,1,1,1,1,6,2,2,0,0,4,3
"Ant19",7,19,1,1,4,32,1,0,6,2,1,3,1,1,8,8,0,0,10,0,0,14,0,8,6,0,1,3,11,0,0,0,15,2,17,1,6,0,2,12,0,1,30,0,22,0,0,29,2,18,14,0,6,0
"Ant26",2,42,2,4,16,0,16,6,0,1,4,6,19,11,26,13,7,0,11,2,8,7,16,0,10,6,20,8,4,6,4,0,7,3,14,1,0,1,6,0,1,6,17,0,37,7,1,4,2,8,3,1,0,1
"Ant30",2,15,4,3,0,0,4,2,1,0,5,0,10,1,2,7,4,0,0,4,0,1,9,0,10,6,10,0,6,3,5,3,2,2,4,9,0,4,9,1,1,5,1,1,4,7,16,0,1,1,0,5,0,11
"Ant60",7,10,1,2,0,1,13,1,4,5,0,1,13,10,7,6,12,0,1,8,5,5,3,0,13,6,12,8,3,7,11,6,1,9,2,5,0,7,16,0,7,11,3,1,11,7,3,2,10,4,1,5,3,0
"Ant76",14,23,3,0,8,32,1,3,6,0,1,0,0,0,14,8,0,0,4,0,0,16,0,3,2,7,0,10,14,0,0,0,14,3,3,0,15,0,16,12,0,0,20,0,19,0,2,23,9,15,11,0,5,0
"Ant158",2,15,16,2,0,0,2,1,19,10,13,0,0,9,1,0,8,0,2,11,7,10,1,1,5,9,24,7,7,17,8,13,6,2,1,2,0,20,7,0,9,20,2,0,3,4,7,3,1,1,1,10,5,2
"Ant191",0,2,7,9,3,0,3,1,11,1,10,0,9,0,1,2,0,0,1,2,9,2,0,0,6,3,14,3,1,11,12,9,1,3,6,1,0,20,4,0,17,6,4,3,2,2,3,1,1,0,0,3,0,3
"Ant196",20,20,11,1,14,131,4,8,26,2,7,14,1,1,0,14,5,0,19,7,3,15,1,3,5,16,5,6,19,0,1,8,10,16,13,0,25,0,8,10,0,6,24,0,30,3,14,28,7,7,9,0,17,0
"Ant252",4,8,4,1,10,10,2,8,13,7,6,8,0,2,14,0,0,0,15,2,1,15,10,2,17,0,4,4,6,0,2,1,5,4,13,4,8,0,6,9,1,5,16,0,25,1,4,13,4,16,4,0,0,0
"Ant308",1,5,6,0,4,0,5,0,7,4,12,0,8,0,5,0,0,0,1,1,2,3,13,0,4,6,13,4,1,0,6,0,11,2,3,5,1,0,7,1,3,8,1,0,7,7,15,1,4,0,1,0,1,0
"Ant518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
