"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant209","Ant252","Ant308","Ant311","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant263","Ant289","Ant298","Ant324","Ant342","Ant347","Ant356","Ant380","Ant390","Ant394","Ant395","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant530","Ant538","Ant560","Ant564"
"Ant4",0,15,6,3,2,9,0,16,4,0,3,1,2,1,0,10,3,16,3,5,2,1,2,2,0,0,2,1,1,1,1,4,9,4,2,2,3,13,1,6,3,1,3,5,1,4,8,11,4,26,3,8,0,5,0,3,9,4,0,3,3,10,4,0,4,0,2,9,0,8,0,4,1,0,4,5,6,0,0
"Ant260",15,0,18,8,11,39,2,20,13,5,9,5,9,5,3,19,7,26,3,2,10,13,5,7,2,3,5,10,2,3,3,7,16,11,8,2,4,6,5,9,4,14,4,8,1,11,7,12,13,21,6,15,3,6,1,5,12,11,4,13,5,34,5,2,38,2,7,21,17,21,10,3,9,2,0,19,9,4,3
"Ant52",6,18,0,5,11,16,3,11,5,4,3,3,2,1,7,10,8,20,10,6,10,7,6,8,0,6,15,10,5,15,6,8,6,14,4,5,4,19,24,8,5,2,6,18,3,6,7,8,10,15,5,3,2,6,7,7,0,12,5,11,10,11,5,4,19,4,3,13,5,18,6,21,10,2,6,2,13,15,4
"Ant540",3,8,5,0,1,1,22,1,5,6,1,23,1,10,16,2,2,13,8,1,0,0,4,3,11,5,19,5,3,24,7,10,8,0,0,7,11,2,0,4,7,0,5,5,22,5,3,0,3,10,6,3,19,0,27,13,1,2,7,5,10,4,30,9,6,3,0,6,2,3,13,2,4,15,11,1,3,2,15
"Ant6",2,11,11,1,0,4,1,13,2,2,2,2,4,12,5,3,2,29,2,16,1,1,3,4,1,10,8,0,2,4,4,1,8,3,0,1,1,8,4,7,1,3,3,10,2,5,1,1,7,16,1,5,2,0,3,3,3,19,4,2,6,11,2,0,23,2,2,2,11,11,2,15,2,4,0,3,15,2,1
"Ant7",9,39,16,1,4,0,0,5,43,0,10,3,22,9,0,15,5,47,3,8,15,47,0,0,0,5,3,0,1,1,1,3,22,2,9,8,7,2,1,1,1,14,0,6,0,2,4,17,16,32,4,16,0,16,0,3,2,13,0,3,2,18,0,1,16,0,2,21,12,19,1,3,0,2,1,31,8,10,3
"Ant9",0,2,3,22,1,0,0,2,0,5,2,14,0,14,10,0,6,11,5,0,0,0,13,4,0,2,19,11,1,22,5,16,4,12,0,2,16,3,7,2,6,0,3,1,9,2,3,0,0,7,12,4,9,1,11,9,2,5,3,1,12,1,5,4,1,1,3,5,0,4,5,4,5,4,13,4,5,9,8
"Ant19",16,20,11,1,13,5,2,0,4,2,1,0,1,11,4,11,4,39,2,5,8,4,0,2,5,5,8,12,1,0,1,0,14,2,0,2,3,3,4,5,1,6,4,16,2,32,0,2,5,19,0,14,6,8,1,1,1,2,3,2,5,17,2,0,15,5,1,3,31,3,2,5,5,1,6,8,16,12,4
"Ant26",4,13,5,5,2,43,0,4,0,0,4,1,13,0,4,24,4,47,0,2,8,12,0,1,1,1,5,5,7,1,1,5,4,3,8,2,8,6,3,2,2,7,14,16,1,1,9,6,23,17,0,11,8,15,2,1,3,4,1,1,9,29,4,0,13,1,4,12,15,7,0,4,1,0,3,7,10,26,3
"Ant30",0,5,4,6,2,0,5,2,0,0,0,8,1,17,13,3,1,14,12,0,0,0,13,4,4,2,6,1,5,10,11,14,4,9,1,16,6,5,1,1,26,1,8,1,13,4,0,1,4,3,11,0,17,1,7,7,0,6,9,1,19,5,12,7,3,21,8,7,1,6,10,1,4,12,18,0,6,0,14
"Ant38",3,9,3,1,2,10,2,1,4,0,0,0,4,0,0,10,1,18,2,1,6,8,8,0,0,3,7,5,2,1,3,1,8,4,3,0,4,0,0,10,1,4,2,6,0,5,15,1,4,20,1,2,1,10,0,0,0,2,1,0,4,23,2,3,8,2,0,3,8,13,4,8,2,0,0,6,10,0,1
"Ant60",1,5,3,23,2,3,14,0,1,8,0,0,0,21,17,0,0,7,9,0,0,0,6,4,2,12,36,0,0,29,4,21,0,8,1,9,20,3,1,2,20,1,1,0,5,2,1,2,3,2,6,1,12,1,18,2,0,2,11,20,8,5,10,16,11,14,7,1,0,7,5,11,3,6,25,0,0,1,11
"Ant76",2,9,2,1,4,22,0,1,13,1,4,0,0,0,2,20,4,19,2,4,9,8,3,1,2,1,4,1,4,1,2,2,14,4,3,1,0,2,2,0,0,4,6,1,0,1,3,6,12,30,0,12,2,6,0,0,1,4,1,4,6,12,0,4,16,3,4,12,17,14,2,2,3,0,0,19,3,1,1
