"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant209","Ant252","Ant308","Ant311","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant263","Ant289","Ant298","Ant324","Ant342","Ant347","Ant356","Ant380","Ant390","Ant394","Ant395","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant530","Ant538","Ant560","Ant564"
"Ant4",0,9,7,0,9,6,0,2,4,0,0,0,3,0,1,9,5,4,0,5,0,1,0,0,0,1,0,1,1,0,0,0,2,0,4,1,0,11,3,9,0,6,2,1,2,1,1,5,0,2,0,1,3,0,0,0,0,2,1,0,3,4,0,0,8,0,1,0,5,2,0,3,1,0,0,6,5,4,0
"Ant260",9,0,7,3,6,32,5,6,12,3,3,1,7,1,10,21,10,14,4,0,6,14,2,5,4,2,3,7,4,8,6,1,16,3,9,1,0,5,5,2,0,2,4,11,0,6,16,28,15,33,1,9,6,2,2,3,2,3,3,1,9,20,0,2,13,1,13,22,9,9,13,7,6,0,4,5,5,4,0
"Ant52",7,7,0,14,2,2,7,8,3,14,1,2,2,3,17,11,1,2,2,0,0,0,5,18,4,0,2,1,5,10,10,20,9,6,6,2,0,0,7,1,3,0,5,5,0,7,9,1,0,9,25,2,6,0,0,14,2,2,2,0,3,19,0,12,5,12,5,9,6,6,1,3,18,2,2,5,2,59,5
"Ant540",0,3,14,0,1,0,4,0,2,12,0,9,0,13,6,4,0,0,5,0,0,0,18,8,2,0,3,0,1,8,1,16,2,7,1,6,13,3,0,1,20,2,3,4,7,1,1,0,0,2,8,1,7,0,12,8,0,0,6,17,0,3,5,13,2,9,4,1,0,6,2,0,4,8,1,0,3,1,3
"Ant6",9,6,2,1,0,6,0,8,8,0,0,0,2,0,0,10,0,2,0,5,3,7,0,2,2,3,0,2,3,1,4,1,2,4,32,0,0,14,2,7,0,2,1,11,0,5,7,16,12,4,0,5,0,2,0,0,0,10,1,0,0,27,0,1,18,0,3,11,14,4,3,5,1,0,0,11,15,2,0
"Ant7",6,32,2,0,6,0,1,21,4,1,11,0,34,0,0,68,3,9,2,37,27,49,1,11,2,0,0,10,2,0,3,0,15,5,2,0,1,0,3,1,0,11,2,4,0,0,5,51,71,28,0,20,2,24,0,1,5,13,0,0,6,9,1,1,14,0,5,7,7,25,0,0,3,0,0,7,12,7,0
"Ant9",0,5,7,4,0,1,0,0,1,3,0,14,0,8,6,2,0,0,8,0,1,1,5,6,2,4,11,2,0,1,7,0,1,6,0,7,5,1,5,1,9,0,2,0,11,1,1,2,0,1,1,0,6,0,0,2,0,0,4,8,2,0,3,7,0,5,4,0,4,0,5,6,3,2,7,0,4,10,1
"Ant19",2,6,8,0,8,21,0,0,1,0,4,1,5,0,3,13,3,8,0,8,3,13,2,1,5,0,0,0,13,2,1,1,3,5,6,0,0,0,1,1,1,4,2,8,0,4,4,11,3,9,0,10,4,7,1,0,0,7,1,2,3,12,0,0,12,0,0,8,2,2,0,6,0,0,0,4,7,0,0
"Ant26",4,12,3,2,8,4,1,1,0,1,4,1,6,0,0,47,9,2,1,0,4,4,0,4,4,30,0,9,13,0,6,0,4,12,6,0,0,29,19,0,1,8,13,8,0,6,4,4,10,0,1,9,3,3,0,3,6,5,1,0,1,45,2,0,18,2,5,13,28,4,18,2,6,0,0,1,7,2,0
"Ant30",0,3,14,12,0,1,3,0,1,0,1,6,0,15,6,2,0,3,15,1,0,0,2,3,0,0,21,0,0,9,2,18,0,5,0,9,1,0,0,0,8,0,2,1,8,1,2,0,0,0,11,0,9,0,10,0,0,0,6,24,18,0,6,0,0,15,0,1,2,0,0,0,1,4,14,0,0,0,4
"Ant38",0,3,1,0,0,11,0,4,4,1,0,1,9,0,5,19,21,6,1,32,15,19,1,0,4,1,0,7,1,0,3,0,3,2,4,0,0,6,3,2,0,1,0,8,0,5,1,7,2,5,0,0,0,7,1,0,2,3,0,0,2,14,0,0,1,0,0,8,1,1,1,18,4,0,0,29,5,9,0
"Ant60",0,1,2,9,0,0,14,1,1,6,1,0,0,22,1,1,0,0,10,0,0,0,3,4,0,3,17,0,0,69,9,12,0,3,0,25,24,0,0,0,13,0,0,0,17,2,7,2,1,0,8,1,20,0,20,4,4,0,12,13,7,6,11,5,0,6,2,0,0,2,2,1,1,22,3,0,0,7,32
"Ant76",3,7,2,0,2,34,0,5,6,0,9,0,0,0,0,26,14,10,0,3,7,12,0,2,0,0,0,4,3,0,0,0,7,1,10,0,0,2,5,3,0,13,1,3,0,0,2,17,10,6,0,5,0,3,0,0,0,6,0,1,1,15,0,1,3,0,1,6,20,4,1,3,6,0,2,8,17,7,0
"Ant158",0,1,3,13,0,0,8,0,0,15,0,22,0,0,0,0,0,0,3,1,1,0,5,0,0,0,33,0,0,29,1,1,1,3,0,6,26,0,0,1,11,0,0,0,41,1,0,0,0,0,3,3,26,0,1,2,0,0,7,11,12,0,21,0,0,14,0,1,0,0,0,0,0,11,0,0,0,0,19
"Ant191",1,10,17,6,0,0,6,3,0,6,5,1,0,0,0,1,3,5,9,0,0,1,2,4,1,0,7,0,1,3,3,18,3,4,2,0,5,5,1,0,11,0,16,2,3,4,6,1,0,5,5,0,7,0,6,4,2,1,2,3,0,1,0,12,0,17,10,6,1,2,2,3,1,3,5,0,3,0,0
"Ant196",9,21,11,4,10,68,2,13,47,2,19,1,26,0,1,0,3,27,2,10,27,32,4,16,8,8,1,18,9,0,3,0,16,7,30,1,0,37,14,11,0,10,5,16,2,8,19,22,15,88,0,18,0,6,0,4,7,22,1,0,0,51,0,2,20,0,12,11,31,26,18,12,15,0,0,6,46,4,0
"Ant209",5,10,1,0,0,3,0,3,9,0,21,0,14,0,3,3,0,8,0,0,2,4,3,0,0,0,0,3,10,1,1,0,4,2,4,0,0,8,5,3,0,1,1,3,0,9,1,5,16,3,0,7,2,1,0,7,8,6,0,0,0,11,0,1,13,0,0,1,1,0,5,3,10,0,0,3,3,2,0
"Ant252",4,14,2,0,2,9,0,8,2,3,6,0,10,0,5,27,8,0,2,15,6,8,3,5,8,1,0,24,8,0,2,0,12,2,11,0,0,8,3,2,0,11,1,28,1,3,3,22,2,3,2,5,1,1,1,1,1,8,1,0,5,23,0,5,8,1,1,3,13,12,5,3,5,0,0,14,23,9,0
"Ant308",0,4,2,5,0,2,8,0,1,15,1,10,0,3,9,2,0,2,0,0,0,0,1,4,2,0,13,0,0,16,4,14,3,4,1,8,3,4,1,1,2,0,1,2,4,5,7,4,0,0,3,0,13,0,1,5,2,0,7,26,8,2,2,10,0,10,2,4,2,0,1,1,5,1,6,0,0,2,1
"Ant311",5,0,0,0,5,37,0,8,0,1,32,0,3,1,0,10,0,15,0,0,21,45,0,0,2,0,1,0,0,0,1,0,1,0,3,0,1,0,1,0,0,10,1,3,0,0,0,8,5,1,0,3,2,12,0,0,0,11,0,0,0,5,0,0,2,0,5,1,10,0,0,0,2,0,0,46,3,2,0
"Ant518",0,6,0,0,3,27,1,3,4,0,15,0,7,1,0,27,2,6,0,21,0,20,0,4,0,0,1,5,3,0,2,2,0,2,1,0,2,4,6,3,1,3,1,6,1,7,1,12,11,2,1,8,1,1,0,0,1,7,0,2,0,24,0,0,3,0,2,4,9,7,0,9,1,0,5,22,0,0,0
"Ant0",1,14,0,0,7,49,1,13,4,0,19,0,12,0,1,32,4,8,0,45,20,0,0,0,0,0,0,0,1,0,3,0,4,2,8,0,0,0,1,1,2,3,0,2,0,0,0,21,14,7,0,14,0,3,0,0,0,9,0,0,0,6,0,0,1,0,3,8,15,4,0,7,1,0,0,60,1,1,0
"Ant13",0,2,5,18,0,1,5,2,0,2,1,3,0,5,2,4,3,3,1,0,0,0,0,0,0,0,4,1,0,7,1,5,3,3,0,15,1,0,0,0,6,2,0,7,3,3,0,0,0,0,10,0,3,0,0,0,0,0,3,1,9,3,1,11,0,0,1,2,0,0,0,0,1,1,8,0,1,0,1
"Ant23",0,5,18,8,2,11,6,1,4,3,0,4,2,0,4,16,0,5,4,0,4,0,0,0,0,3,5,3,4,9,10,0,0,7,0,2,3,5,4,0,1,0,4,4,4,4,4,7,1,0,1,3,8,1,6,4,3,0,2,7,17,3,0,3,4,3,2,4,8,3,13,0,0,1,0,0,1,3,1
"Ant27",0,4,4,2,2,2,2,5,4,0,4,0,0,0,1,8,0,8,2,2,0,0,0,0,0,7,0,3,8,2,2,0,4,2,1,0,0,8,0,6,0,1,14,6,0,5,0,3,1,9,0,0,1,0,0,2,1,5,2,1,2,12,0,0,6,1,10,4,5,9,6,0,15,0,0,3,4,9,0
"Ant32",1,2,0,0,3,0,4,0,30,0,1,3,0,0,0,8,0,1,0,0,0,0,0,3,7,0,0,0,4,0,17,0,0,5,1,0,0,10,2,3,1,0,1,4,0,7,9,8,6,11,1,1,1,2,0,7,3,2,0,1,0,12,0,3,8,6,0,4,8,8,4,8,2,0,0,2,3,3,0
"Ant43",0,3,2,3,0,0,11,0,0,21,0,17,0,33,7,1,0,0,13,1,1,0,4,5,0,0,0,0,0,10,8,8,6,12,0,3,17,0,4,0,0,0,0,0,12,4,2,4,0,0,15,0,15,0,15,3,0,1,2,14,17,0,11,22,0,22,7,2,0,4,1,1,1,4,0,0,0,0,7
