"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant501","Ant560","Ant564"
"Ant4",0,12,2,0,0,39,8,10,4,2,0,21,2,2,10,9,2,0,12,0,0,12,0,5,0,5,4,4,7,3,0,0,6,8,13,0,5,1,4,23,0,6,21,0,17,0,5,12,7,6,0,0,3,0
"Ant260",12,0,0,0,11,4,7,5,0,1,1,27,1,3,7,7,0,0,6,0,0,3,0,10,1,7,0,9,10,1,0,0,26,1,2,0,5,0,20,9,0,1,28,0,44,1,0,17,11,6,2,0,8,0
"Ant52",2,0,0,2,1,0,7,1,15,12,26,11,11,4,2,5,9,0,3,7,11,2,1,0,31,5,13,16,9,0,1,0,9,1,13,0,1,3,11,4,0,6,0,0,0,15,22,0,5,2,3,0,0,2
"Ant540",0,0,2,0,1,0,6,0,3,0,3,2,9,2,0,2,5,0,1,15,7,0,13,0,6,6,11,0,1,0,1,8,1,2,1,7,0,13,7,2,22,1,2,6,0,1,8,2,3,0,0,1,0,4
"Ant6",0,11,1,1,0,113,0,24,14,0,0,23,1,0,24,6,2,0,18,0,0,5,0,5,1,0,1,3,1,0,0,0,9,2,14,0,19,0,4,9,0,0,15,0,17,6,3,37,8,6,2,0,12,0
"Ant7",39,4,0,0,113,0,3,61,0,0,0,78,0,0,84,21,0,0,43,1,0,28,0,16,0,0,0,2,3,0,0,0,5,1,32,0,81,0,26,29,0,10,132,0,205,0,0,88,6,13,1,0,12,0
"Ant9",8,7,7,6,0,3,0,9,8,9,16,1,10,2,2,1,12,0,6,3,10,5,4,0,3,6,31,9,7,0,0,0,6,10,29,4,2,2,7,5,0,1,2,1,0,6,9,8,1,6,18,2,0,3
"Ant19",10,5,1,0,24,61,9,0,3,6,1,31,0,2,10,5,0,0,20,0,0,19,0,5,1,4,7,4,6,0,0,0,5,11,4,0,11,0,25,5,0,6,29,0,5,4,2,24,11,9,2,0,22,0
"Ant26",4,0,15,3,14,0,8,3,0,1,5,20,1,3,6,6,3,0,7,4,0,5,1,0,8,10,2,6,8,0,2,0,10,2,26,0,6,1,9,16,0,1,5,0,3,5,1,4,0,3,7,3,0,0
"Ant30",2,1,12,0,0,0,9,6,1,0,11,20,7,1,1,1,18,0,1,4,8,1,6,0,22,4,20,1,1,3,30,18,4,3,14,2,4,4,2,4,3,15,4,6,0,7,14,1,3,1,0,11,0,3
