"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant4",0,42,16,0,12,0,1,0,4,1,1,24,15,0,9,2,3,25,0,2,3,0,9,24,0,1,0,10,1,4,0,0,20,1,0,28,0,40,0,2,3,14,0
"Ant260",42,0,3,1,17,1,0,1,9,0,1,40,9,0,12,0,0,37,0,1,9,0,2,68,0,5,0,7,1,3,2,0,25,0,0,46,0,72,2,9,4,33,0
"Ant52",16,3,0,0,5,15,1,0,4,1,4,10,32,0,9,3,0,6,1,5,6,5,5,1,0,9,10,55,8,12,0,0,6,0,0,4,0,10,1,10,7,11,0
"Ant540",0,1,0,0,0,1,0,26,5,4,1,0,0,0,0,8,5,0,1,9,0,5,1,0,4,2,7,0,0,8,17,3,0,0,2,0,2,0,0,0,0,0,6
"Ant6",12,17,5,0,0,2,3,0,1,0,1,8,7,0,4,0,2,2,0,0,0,0,10,25,0,0,0,14,1,0,0,0,19,0,1,29,0,19,0,5,6,14,0
"Ant9",0,1,15,1,2,0,5,2,11,0,8,10,7,0,1,3,0,16,0,20,3,2,4,1,0,4,0,15,2,0,0,1,2,1,6,3,0,14,6,5,5,3,1
"Ant26",1,0,1,0,3,5,0,0,5,0,1,5,5,0,2,3,2,6,0,7,1,1,11,0,0,2,6,10,4,19,2,1,8,0,0,0,0,23,0,9,10,14,0
"Ant30",0,1,0,26,0,2,0,0,5,12,1,0,0,0,0,10,38,0,2,4,0,5,0,0,0,3,1,1,3,2,10,1,3,3,15,0,0,3,0,0,0,0,3
"Ant60",4,9,4,5,1,11,5,5,0,1,6,10,11,0,0,8,11,7,1,19,9,21,6,1,1,2,15,11,8,14,2,0,9,2,2,2,0,10,13,5,16,11,1
"Ant158",1,0,1,4,0,0,0,12,1,0,5,0,4,7,0,7,5,0,0,2,0,2,2,0,11,0,8,0,1,5,2,9,1,0,7,0,8,0,3,0,0,0,5
"Ant191",1,1,4,1,1,8,1,1,6,5,0,2,6,0,5,2,1,6,1,21,3,8,1,2,1,3,6,3,9,7,3,6,5,1,3,1,0,0,14,3,0,2,0
"Ant196",24,40,10,0,8,10,5,0,10,0,2,0,18,0,10,0,0,17,0,5,18,6,12,15,0,3,0,19,6,5,1,0,21,1,1,18,0,25,0,7,18,21,0
"Ant252",15,9,32,0,7,7,5,0,11,4,6,18,0,0,7,0,0,15,3,1,4,7,11,3,0,4,0,10,2,24,0,1,12,0,1,3,1,11,0,3,16,10,1
"Ant518",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Ant0",9,12,9,0,4,1,2,0,0,0,5,10,7,0,0,0,0,16,0,2,8,0,6,7,0,0,1,6,2,1,0,1,8,0,0,24,0,20,0,1,7,16,0
"Ant13",2,0,3,8,0,3,3,10,8,7,2,0,0,0,0,0,4,1,0,17,12,21,1,0,0,9,12,0,0,12,1,8,1,28,12,0,9,1,3,2,1,0,0
"Ant23",3,0,0,5,2,0,2,38,11,5,1,0,0,0,0,4,0,0,4,7,0,0,0,0,1,5,0,0,0,15,4,3,4,1,10,0,0,1,1,0,1,0,0
"Ant27",25,37,6,0,2,16,6,0,7,0,6,17,15,0,16,1,0,0,0,1,12,4,13,25,0,11,0,17,10,6,0,0,12,0,0,50,0,46,0,2,19,18,0
"Ant43",0,0,1,1,0,0,0,2,1,0,1,0,3,0,0,0,4,0,0,24,0,2,0,0,0,0,0,0,0,1,3,5,2,1,0,0,0,0,14,0,0,0,1
"Ant97",2,1,5,9,0,20,7,4,19,2,21,5,1,0,2,17,7,1,24,0,8,32,6,2,6,18,7,3,10,13,3,14,14,3,16,2,0,2,14,10,3,2,12
"Ant109",3,9,6,0,0,3,1,0,9,0,3,18,4,0,8,12,0,12,0,8,0,4,12,7,0,16,0,19,3,14,0,1,6,2,0,1,1,16,2,8,7,8,0
"Ant115",0,0,5,5,0,2,1,5,21,2,8,6,7,0,0,21,0,4,2,32,4,0,1,3,4,9,9,1,6,2,4,22,11,3,21,1,1,1,3,4,4,5,5
"Ant117",9,2,5,1,10,4,11,0,6,2,1,12,11,0,6,1,0,13,0,6,12,1,0,2,1,12,1,17,5,15,0,1,3,0,0,9,0,11,1,3,9,8,0
"Ant124",24,68,1,0,25,1,0,0,1,0,2,15,3,0,7,0,0,25,0,2,7,3,2,0,0,1,0,7,1,1,0,0,5,0,0,22,0,9,0,2,2,8,0
"Ant137",0,0,0,4,0,0,0,0,1,11,1,0,0,14,0,0,1,0,0,6,0,4,1,0,0,0,12,0,0,3,10,0,0,1,0,0,3,0,0,0,4,0,37
"Ant159",1,5,9,2,0,4,2,3,2,0,3,3,4,0,0,9,5,11,0,18,16,9,12,1,0,0,2,19,6,10,0,20,0,1,7,0,4,1,10,0,1,4,1
"Ant178",0,0,10,7,0,0,6,1,15,8,6,0,0,0,1,12,0,0,0,7,0,9,1,0,12,2,0,1,0,17,1,2,0,0,0,1,3,0,1,0,1,0,14
"Ant186",10,7,55,0,14,15,10,1,11,0,3,19,10,0,6,0,0,17,0,3,19,1,17,7,0,19,1,0,6,2,0,0,13,0,1,21,0,20,2,2,6,39,2
"Ant190",1,1,8,0,1,2,4,3,8,1,9,6,2,1,2,0,0,10,0,10,3,6,5,1,0,6,0,6,0,3,0,3,1,0,1,1,0,8,3,2,3,4,0
"Ant215",4,3,12,8,0,0,19,2,14,5,7,5,24,0,1,12,15,6,1,13,14,2,15,1,3,10,17,2,3,0,0,4,8,23,12,4,2,25,3,9,8,2,3
"Ant219",0,2,0,17,0,0,2,10,2,2,3,1,0,1,0,1,4,0,3,3,0,4,0,0,10,0,1,0,0,0,0,12,0,0,2,0,2,1,3,0,0,0,7
"Ant242",0,0,0,3,0,1,1,1,0,9,6,0,1,0,1,8,3,0,5,14,1,22,1,0,0,20,2,0,3,4,12,0,0,3,10,0,1,0,16,0,0,1,1
"Ant243",20,25,6,0,19,2,8,3,9,1,5,21,12,0,8,1,4,12,2,14,6,11,3,5,0,0,0,13,1,8,0,0,0,1,6,26,1,19,8,7,4,4,1
"Ant289",1,0,0,0,0,1,0,3,2,0,1,1,0,0,0,28,1,0,1,3,2,3,0,0,1,1,0,0,0,23,0,3,1,0,15,0,0,0,9,2,0,0,3
"Ant324",0,0,0,2,1,6,0,15,2,7,3,1,1,0,0,12,10,0,0,16,0,21,0,0,0,7,0,1,1,12,2,10,6,15,0,0,5,2,1,1,4,0,0
"Ant342",28,46,4,0,29,3,0,0,2,0,1,18,3,0,24,0,0,50,0,2,1,1,9,22,0,0,1,21,1,4,0,0,26,0,0,0,0,21,1,10,6,13,1
"Ant347",0,0,0,2,0,0,0,0,0,8,0,0,1,0,0,9,0,0,0,0,1,1,0,0,3,4,3,0,0,2,2,1,1,0,5,0,0,0,0,0,0,0,1
"Ant380",40,72,10,0,19,14,23,3,10,0,0,25,11,0,20,1,1,46,0,2,16,1,11,9,0,1,0,20,8,25,1,0,19,0,2,21,0,0,0,14,6,19,0
"Ant390",0,2,1,0,0,6,0,0,13,3,14,0,0,0,0,3,1,0,14,14,2,3,1,0,0,10,1,2,3,3,3,16,8,9,1,1,0,0,0,4,1,0,6
"Ant475",2,9,10,0,5,5,9,0,5,0,3,7,3,0,1,2,0,2,0,10,8,4,3,2,0,0,0,2,2,9,0,0,7,2,1,10,0,14,4,0,4,14,1
"Ant482",3,4,7,0,6,5,10,0,16,0,0,18,16,0,7,1,1,19,0,3,7,4,9,2,4,1,1,6,3,8,0,0,4,0,4,6,0,6,1,4,0,4,1
"Ant560",14,33,11,0,14,3,14,0,11,0,2,21,10,0,16,0,0,18,0,2,8,5,8,8,0,4,0,39,4,2,0,1,4,0,0,13,0,19,0,14,4,0,0
"Ant564",0,0,0,6,0,1,0,3,1,5,0,0,1,0,0,0,0,0,1,12,0,5,0,0,37,1,14,2,0,3,7,1,1,3,0,1,1,0,6,1,1,0,0
