"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant4",0,5,0,0,7,23,0,1,0,0,0,23,8,0,10,0,0,21,0,0,2,1,4,23,0,0,0,1,1,0,0,0,2,0,0,55,0,41,1,1,31,22,0
"Ant260",5,0,12,0,4,7,20,4,8,2,2,20,17,0,5,1,0,11,1,5,19,2,15,8,0,3,1,12,6,23,1,1,11,0,9,32,0,4,5,9,11,36,1
"Ant52",0,12,0,4,3,2,4,11,22,2,10,18,3,0,1,2,1,6,4,22,14,25,6,0,0,13,1,5,12,4,4,1,12,3,4,10,2,1,5,19,0,5,0
"Ant540",0,0,4,0,0,0,0,12,1,21,2,0,0,1,0,0,4,0,30,11,2,6,0,1,0,1,8,0,1,6,3,27,1,10,4,0,4,0,2,0,0,0,0
"Ant6",7,4,3,0,0,4,1,0,1,0,0,6,8,0,3,0,0,0,0,0,0,0,5,2,0,0,0,3,0,2,0,0,12,0,0,16,0,7,0,2,2,12,0
"Ant9",23,7,2,0,4,0,1,1,4,0,0,16,3,0,7,0,0,22,0,4,1,4,1,33,0,3,0,0,0,4,1,1,4,0,1,10,0,14,0,5,28,6,0
"Ant26",0,20,4,0,1,1,0,4,10,0,2,22,1,0,6,0,0,9,0,12,14,2,3,0,1,4,2,5,3,4,0,0,11,0,5,3,0,0,1,2,0,6,0
"Ant30",1,4,11,12,0,1,4,0,3,5,3,8,1,0,0,10,13,0,13,4,3,10,0,1,0,0,0,0,6,4,6,10,6,13,13,1,13,0,1,0,0,1,3
"Ant60",0,8,22,1,1,4,10,3,0,11,11,3,4,0,1,4,0,19,4,66,16,19,1,6,1,12,3,3,3,9,13,1,16,0,2,5,3,2,12,3,0,3,2
"Ant158",0,2,2,21,0,0,0,5,11,0,5,0,2,0,0,1,2,0,0,8,0,31,0,0,0,1,7,0,3,3,10,32,0,1,1,0,0,0,2,0,0,0,5
