"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant191",0,2,10,2,0,0,2,3,11,5,0,5,3,0,1,4,0,0,0,17,9,19,0,0,0,12,26,0,1,13,2,2,0,3,7,2,0,0,7,1,0,1,0
"Ant196",23,20,18,0,6,16,22,8,3,0,5,0,22,0,17,3,0,23,2,4,20,0,21,42,0,16,0,14,12,7,0,0,15,1,7,43,1,69,6,13,33,17,1
"Ant252",8,17,3,0,8,3,1,1,4,2,3,22,0,0,2,0,3,14,0,1,6,2,13,1,0,3,0,5,7,9,2,0,16,1,3,22,0,9,5,3,1,29,1
"Ant518",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Ant0",10,5,1,0,3,7,6,0,1,0,1,17,2,0,0,0,0,11,0,1,6,0,6,7,0,0,0,3,0,0,0,0,14,0,0,33,0,18,1,4,17,18,0
"Ant13",0,1,2,0,0,0,0,10,4,1,4,3,0,0,0,0,0,3,5,20,0,11,0,0,1,2,2,1,3,0,1,0,2,3,9,0,2,1,3,0,0,0,4
"Ant23",0,0,1,4,0,0,0,13,0,2,0,0,3,0,0,0,0,5,0,4,2,10,0,0,11,31,5,0,1,3,39,14,0,8,3,0,1,1,1,0,0,0,1
"Ant27",21,11,6,0,0,22,9,0,19,0,0,23,14,0,11,3,5,0,0,2,12,0,8,25,0,12,0,7,3,15,0,0,12,0,3,19,0,33,4,5,30,6,0
"Ant43",0,1,4,30,0,0,0,13,4,0,0,2,0,0,0,5,0,0,0,6,3,8,0,0,0,0,7,0,1,0,6,3,0,1,8,0,3,0,0,2,0,0,2
"Ant97",0,5,22,11,0,4,12,4,66,8,17,4,1,0,1,20,4,2,6,0,7,26,3,0,2,0,14,4,10,9,18,10,6,9,9,1,4,0,19,8,0,6,4
"Ant109",2,19,14,2,0,1,14,3,16,0,9,20,6,0,6,0,2,12,3,7,0,8,7,2,0,18,1,3,7,22,1,0,5,4,7,3,0,6,9,10,0,12,1
"Ant115",1,2,25,6,0,4,2,10,19,31,19,0,2,0,0,11,10,0,8,26,8,0,4,1,2,8,2,0,4,3,27,9,2,17,10,1,1,1,7,2,0,1,1
"Ant117",4,15,6,0,5,1,3,0,1,0,0,21,13,0,6,0,0,8,0,3,7,4,0,14,0,3,0,1,1,11,0,0,6,0,3,28,0,4,2,6,2,18,0
"Ant124",23,8,0,1,2,33,0,1,6,0,0,42,1,0,7,0,0,25,0,0,2,1,14,0,0,1,0,3,0,1,0,0,10,0,0,33,0,68,0,6,39,9,0
"Ant137",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,11,0,0,2,0,2,0,0,0,2,6,1,0,2,1,7,1,3,1,0,9,0,1,0,0,0,0
"Ant159",0,3,13,1,0,3,4,0,12,1,12,16,3,0,0,2,31,12,0,0,18,8,3,1,2,0,7,0,2,6,0,4,2,2,7,8,0,3,24,10,0,6,1
"Ant178",0,1,1,8,0,0,2,0,3,7,26,0,0,0,0,2,5,0,7,14,1,2,0,0,6,7,0,1,2,0,3,14,3,3,2,1,6,0,2,0,0,0,3
"Ant186",1,12,5,0,3,0,5,0,3,0,0,14,5,0,3,1,0,7,0,4,3,0,1,3,1,0,1,0,0,5,1,0,5,0,1,3,0,4,2,2,4,8,0
"Ant190",1,6,12,1,0,0,3,6,3,3,1,12,7,0,0,3,1,3,1,10,7,4,1,0,0,2,2,0,0,9,3,0,5,1,7,0,0,0,1,9,0,1,1
"Ant215",0,23,4,6,2,4,4,4,9,3,13,7,9,0,0,0,3,15,0,9,22,3,11,1,2,6,0,5,9,0,8,2,14,2,7,7,1,1,20,1,0,5,2
"Ant219",0,1,4,3,0,1,0,6,13,10,2,0,2,2,0,1,39,0,6,18,1,27,0,0,1,0,3,1,3,8,0,8,1,17,7,0,0,0,6,0,0,0,2
"Ant242",0,1,1,27,0,1,0,10,1,32,2,0,0,0,0,0,14,0,3,10,0,9,0,0,7,4,14,0,0,2,8,0,0,5,3,0,0,0,3,0,0,0,1
"Ant243",2,11,12,1,12,4,11,6,16,0,0,15,16,0,14,2,0,12,0,6,5,2,6,10,1,2,3,5,5,14,1,0,0,0,8,11,1,9,1,2,5,19,2
"Ant289",0,0,3,10,0,0,0,13,0,1,3,1,1,0,0,3,8,0,1,9,4,17,0,0,3,2,3,0,1,2,17,5,0,0,1,1,2,0,0,0,0,0,1
"Ant324",0,9,4,4,0,1,5,13,2,1,7,7,3,0,0,9,3,3,8,9,7,10,3,0,1,7,2,1,7,7,7,3,8,1,0,0,4,1,6,3,0,7,1
"Ant342",55,32,10,0,16,10,3,1,5,0,2,43,22,0,33,0,0,19,0,1,3,1,28,33,0,8,1,3,0,7,0,0,11,1,0,0,0,28,0,5,40,37,1
"Ant347",0,0,2,4,0,0,0,13,3,0,0,1,0,0,0,2,1,0,3,4,0,1,0,0,9,0,6,0,0,1,0,0,1,2,4,0,0,0,1,0,0,0,6
"Ant380",41,4,1,0,7,14,0,0,2,0,0,69,9,0,18,1,1,33,0,0,6,1,4,68,0,3,0,4,0,1,0,0,9,0,1,28,0,0,1,11,39,23,0
"Ant390",1,5,5,2,0,0,1,1,12,2,7,6,5,0,1,3,1,4,0,19,9,7,2,0,1,24,2,2,1,20,6,3,1,0,6,0,1,1,0,1,0,3,0
"Ant475",1,9,19,0,2,5,2,0,3,0,1,13,3,0,4,0,0,5,2,8,10,2,6,6,0,10,0,2,9,1,0,0,2,0,3,5,0,11,1,0,5,9,0
"Ant482",31,11,0,0,2,28,0,0,0,0,0,33,1,0,17,0,0,30,0,0,0,0,2,39,0,0,0,4,0,0,0,0,5,0,0,40,0,39,0,5,0,13,0
"Ant560",22,36,5,0,12,6,6,1,3,0,1,17,29,0,18,0,0,6,0,6,12,1,18,9,0,6,0,8,1,5,0,0,19,0,7,37,0,23,3,9,13,0,0
"Ant564",0,1,0,0,0,0,0,3,2,5,0,1,1,0,0,4,1,0,2,4,1,1,0,0,0,1,3,0,1,2,2,1,2,1,1,1,6,0,0,0,0,0,0
