"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant501","Ant560","Ant564"
"Ant4",0,10,14,1,7,34,2,15,3,0,1,12,0,1,37,4,5,0,13,0,1,15,0,11,2,3,0,2,5,0,6,0,22,4,1,0,25,0,0,13,0,0,9,0,18,0,3,11,2,3,5,0,27,0
"Ant260",10,0,20,5,10,6,1,17,7,2,5,19,0,2,13,25,3,0,4,3,4,15,0,2,9,7,2,8,9,0,5,0,16,6,6,2,10,2,14,7,0,12,18,0,16,1,5,11,7,8,7,0,8,0
"Ant52",14,20,0,1,18,1,6,4,0,2,0,9,0,0,22,15,9,0,15,0,0,20,0,0,1,2,0,9,3,0,25,0,21,1,12,0,8,1,1,1,0,0,5,1,18,1,0,0,6,4,25,0,21,0
"Ant540",1,5,1,0,2,2,2,0,0,2,6,1,1,3,1,2,0,0,1,4,1,2,0,0,16,10,3,0,0,6,6,9,0,1,8,3,0,2,2,1,0,5,4,11,3,10,4,0,6,0,3,0,1,2
"Ant6",7,10,18,2,0,18,0,4,2,3,0,13,0,1,10,13,2,0,6,0,0,9,0,8,3,10,1,5,1,1,6,0,10,3,1,1,2,1,9,2,0,0,7,0,14,0,0,11,4,2,7,1,12,2
"Ant7",34,6,1,2,18,0,0,16,6,0,0,27,0,0,26,6,1,0,1,0,0,17,0,18,1,0,0,10,4,0,4,0,3,0,0,0,6,0,12,120,0,0,79,0,89,0,0,51,12,6,3,0,6,0
"Ant9",2,1,6,2,0,0,0,0,6,2,13,0,0,9,1,12,7,0,1,8,0,3,1,0,9,9,7,1,5,0,4,4,6,6,11,2,2,3,4,1,1,0,1,1,10,6,5,0,0,10,6,1,3,2
"Ant19",15,17,4,0,4,16,0,0,2,1,0,0,0,0,7,4,0,0,4,1,0,13,0,8,1,0,1,16,3,0,4,0,11,3,1,0,4,0,24,7,0,0,17,0,20,0,0,14,12,6,6,0,10,0
"Ant26",3,7,0,0,2,6,6,2,0,1,3,0,3,1,15,12,0,0,2,3,0,11,0,0,5,5,0,3,14,0,3,0,4,1,7,1,1,1,16,8,0,9,7,0,21,2,4,4,10,2,5,0,10,1
"Ant30",0,2,2,2,3,0,2,1,1,0,5,0,1,3,4,1,1,0,0,2,2,0,2,0,6,8,7,1,5,5,0,1,0,5,3,1,4,5,0,1,3,6,0,4,6,3,9,0,2,3,0,2,0,0
"Ant60",1,5,0,6,0,0,13,0,3,5,0,0,21,6,4,3,3,0,0,9,2,0,6,0,14,75,12,4,0,0,3,4,0,6,20,3,0,1,13,2,1,7,3,3,2,10,4,0,2,0,1,1,1,2
"Ant76",12,19,9,1,13,27,0,0,0,0,0,0,0,0,15,0,2,0,1,0,0,10,0,3,1,2,0,4,9,0,1,0,2,1,0,0,11,0,8,7,0,1,13,0,12,0,0,5,3,3,5,0,12,0
"Ant158",0,0,0,1,0,0,0,0,3,1,21,0,0,5,1,1,0,1,0,4,2,1,0,0,2,3,4,0,1,14,0,5,0,0,5,0,0,7,2,0,0,2,0,2,0,0,2,0,0,0,0,2,0,6
"Ant191",1,2,0,3,1,0,9,0,1,3,6,0,5,0,2,3,2,0,0,7,1,0,0,0,3,13,4,1,5,1,3,1,4,3,0,3,0,0,1,4,1,2,0,0,2,21,8,0,1,0,1,0,0,0
"Ant196",37,13,22,1,10,26,1,7,15,4,4,15,1,2,0,8,9,0,16,2,1,22,1,32,7,3,3,13,10,0,23,3,17,7,7,0,16,0,8,14,3,6,13,1,33,2,11,15,24,6,30,2,12,0
"Ant252",4,25,15,2,13,6,12,4,12,1,3,0,1,3,8,0,3,0,8,2,0,13,1,1,7,2,1,2,11,1,21,2,10,2,4,3,8,0,6,2,0,3,6,1,17,0,4,6,14,2,8,0,11,0
"Ant308",5,3,9,0,2,1,7,0,0,1,3,2,0,2,9,3,0,0,4,1,0,6,0,0,5,5,1,3,10,0,8,5,4,0,0,0,6,0,1,3,0,1,2,0,9,3,6,1,0,4,16,1,10,0
