"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant209","Ant252","Ant308","Ant311","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant263","Ant289","Ant298","Ant324","Ant342","Ant347","Ant356","Ant380","Ant390","Ant394","Ant395","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant530","Ant538","Ant560","Ant564"
"Ant4",0,2,6,3,4,0,4,5,0,7,6,1,1,1,0,8,10,3,0,0,3,1,1,0,2,2,3,0,1,2,2,5,3,6,9,0,1,6,2,0,3,0,5,1,0,5,1,8,0,16,0,4,0,5,2,6,10,3,0,0,1,0,0,6,4,0,6,1,3,14,3,4,3,1,0,8,28,6,0
"Ant260",2,0,8,4,1,37,5,10,27,2,3,2,29,11,2,30,2,7,6,9,8,8,7,10,0,1,3,11,5,0,13,2,20,13,9,0,0,4,12,3,9,5,1,9,2,2,9,28,22,34,2,12,0,9,0,5,0,20,0,2,0,30,2,2,8,2,0,11,20,20,8,6,3,0,1,20,14,7,1
"Ant52",6,8,0,0,9,14,8,15,13,9,4,6,2,4,3,21,7,5,2,1,0,4,0,12,2,12,12,10,9,5,13,5,7,4,3,0,14,20,17,0,6,5,7,8,7,5,7,11,5,7,0,2,4,6,3,3,5,3,0,1,11,8,1,2,8,20,2,4,13,9,9,10,1,2,2,3,8,16,6
"Ant540",3,4,0,0,0,0,2,0,2,0,0,18,0,7,6,0,0,0,11,0,0,0,4,1,2,1,17,0,0,26,1,2,0,5,0,15,17,1,0,0,3,0,0,0,9,0,0,0,0,0,4,0,19,0,15,0,0,0,7,0,1,0,13,0,0,12,5,2,0,0,0,2,0,6,3,1,0,2,6
"Ant6",4,1,9,0,0,0,9,6,2,0,8,0,4,0,0,5,1,10,2,2,3,2,0,0,1,0,0,3,3,1,6,1,7,3,2,0,0,10,22,0,0,3,3,5,0,3,0,9,6,18,0,1,0,0,0,1,2,3,0,0,0,6,0,2,6,1,3,0,14,5,4,13,3,0,0,7,1,0,1
"Ant7",0,37,14,0,0,0,0,3,15,3,7,0,49,1,0,63,2,10,2,31,34,28,0,1,0,1,3,6,2,0,2,3,20,1,29,0,0,0,9,18,1,5,0,1,0,0,1,57,44,22,0,46,0,22,0,2,0,36,0,0,0,37,0,0,8,0,1,11,45,20,0,1,0,0,0,40,6,1,0
"Ant9",4,5,8,2,9,0,0,0,2,1,3,1,1,7,6,6,0,4,5,2,0,1,0,9,0,3,2,2,11,1,7,12,2,13,1,2,0,7,3,0,0,3,7,0,2,1,3,10,1,4,0,6,0,3,0,24,2,0,5,0,0,3,0,15,6,0,1,4,4,10,4,1,20,0,7,1,3,5,0
"Ant19",5,10,15,0,6,3,0,0,6,3,7,2,4,1,0,6,2,4,8,1,6,1,0,0,2,17,4,7,0,1,2,3,9,2,7,0,0,12,8,0,1,0,2,4,0,2,4,6,7,7,0,7,3,5,1,0,2,3,0,2,2,8,1,5,13,0,2,0,6,6,4,13,3,0,0,8,15,2,1
"Ant26",0,27,13,2,2,15,2,6,0,1,7,0,3,3,1,24,3,4,3,2,11,2,16,6,2,6,7,2,3,3,20,6,5,8,13,2,0,19,6,0,5,2,7,8,1,5,2,8,0,19,1,11,2,1,0,0,2,7,0,5,0,7,1,2,9,0,1,7,14,3,2,7,7,0,0,1,9,1,0
"Ant30",7,2,9,0,0,3,1,3,1,0,0,12,0,0,9,1,3,3,10,2,0,0,8,17,14,2,10,1,0,6,10,24,5,25,2,5,3,1,4,0,6,1,9,0,5,1,0,2,4,4,0,2,6,0,11,5,4,0,2,14,28,1,4,11,1,6,4,4,0,1,3,0,3,10,9,2,8,7,1
"Ant38",6,3,4,0,8,7,3,7,7,0,0,1,2,0,0,30,0,18,0,9,9,12,0,4,0,1,0,13,3,0,3,0,8,1,5,0,0,16,16,3,1,4,1,5,0,4,1,16,9,36,0,6,0,5,0,2,0,8,0,0,1,20,0,0,18,0,0,5,15,21,0,10,11,0,0,40,9,1,0
"Ant60",1,2,6,18,0,0,1,2,0,12,1,0,0,17,31,0,1,0,12,0,0,0,3,2,11,0,9,1,0,80,2,4,0,3,0,22,11,2,3,0,6,0,1,0,4,12,3,0,0,0,10,0,18,0,8,2,2,0,15,18,20,0,14,3,2,17,7,1,0,1,7,0,0,26,21,0,0,3,30
"Ant76",1,29,2,0,4,49,1,4,3,0,2,0,0,0,0,19,1,16,1,19,18,9,0,0,1,1,0,2,4,0,2,1,4,1,9,1,0,13,2,3,0,8,2,7,0,2,1,43,22,11,0,7,0,5,0,3,0,13,0,1,1,32,0,1,1,2,0,12,11,10,3,0,6,0,0,22,2,4,0
"Ant158",1,11,4,7,0,1,7,1,3,0,0,17,0,0,7,6,2,0,8,1,0,0,8,1,0,0,10,0,0,15,24,22,2,10,4,9,18,0,0,0,7,2,8,0,4,4,0,6,4,3,1,0,11,0,6,3,0,1,1,5,18,4,7,4,0,37,6,2,3,0,15,0,28,10,7,0,5,0,11
"Ant191",0,2,3,6,0,0,6,0,1,9,0,31,0,7,0,0,0,2,10,1,0,0,8,1,2,1,15,1,3,46,13,13,0,6,0,15,7,0,0,0,4,0,6,1,10,2,2,2,0,0,10,0,16,0,26,9,0,0,5,3,2,2,8,13,1,10,3,3,0,0,0,0,0,8,14,0,2,3,12
"Ant196",8,30,21,0,5,63,6,6,24,1,30,0,19,6,0,0,2,8,2,3,11,18,1,11,4,4,4,6,13,0,8,3,29,3,23,0,1,35,20,22,2,10,1,12,1,4,1,26,13,33,0,21,0,6,0,1,1,13,0,1,0,35,0,3,14,0,2,15,24,20,16,9,2,0,1,34,7,1,0
"Ant209",10,2,7,0,1,2,0,2,3,3,0,1,1,2,0,2,0,0,1,1,0,1,0,1,7,2,3,1,2,0,4,1,1,1,3,0,1,3,2,0,1,0,0,4,1,2,2,6,0,7,2,2,0,1,0,3,2,2,0,0,1,8,0,0,1,1,11,0,2,4,2,2,0,1,1,2,5,1,0
