"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant501","Ant560","Ant564"
"Ant4",0,77,1,0,13,181,2,19,3,1,4,10,0,1,36,9,2,0,13,1,0,20,0,10,0,3,0,6,12,0,1,3,25,5,2,1,35,0,20,50,0,2,48,0,58,0,3,20,14,28,1,0,54,0
"Ant260",77,0,6,0,24,210,0,30,5,2,10,29,0,0,73,4,2,0,19,1,9,33,0,21,2,8,0,22,16,0,1,0,25,11,7,0,62,0,5,114,0,7,65,0,70,0,2,87,5,53,2,3,46,0
"Ant52",1,6,0,3,1,4,12,9,8,3,8,8,14,1,14,17,16,0,1,4,0,3,0,2,16,9,15,6,9,7,3,6,3,12,12,5,0,6,12,7,0,13,3,0,10,2,8,3,7,6,11,10,1,0
"Ant540",0,0,3,0,2,0,4,0,1,4,7,1,25,5,4,3,3,0,0,5,14,0,11,1,27,4,2,0,0,12,8,7,0,1,12,1,0,5,0,0,9,2,0,9,0,7,8,0,1,0,2,4,0,11
"Ant6",13,24,1,2,0,45,0,14,13,0,1,6,0,0,10,15,2,0,2,0,0,12,1,7,5,1,2,12,13,1,1,0,2,5,7,0,9,0,9,4,0,0,36,0,18,1,0,33,5,10,1,1,6,0
"Ant7",181,210,4,0,45,0,0,44,9,1,1,56,0,0,171,3,0,0,26,0,0,129,5,15,0,0,0,7,10,0,0,0,27,6,1,0,139,0,14,106,0,0,269,0,206,0,0,143,0,40,5,0,16,0
"Ant9",2,0,12,4,0,0,0,0,2,1,23,0,2,1,5,16,3,0,3,0,2,1,10,0,27,2,6,13,2,3,4,4,14,5,12,0,1,0,6,0,0,9,2,1,4,6,0,3,1,0,1,6,2,0
"Ant19",19,30,9,0,14,44,0,0,7,1,6,14,0,0,15,11,2,0,4,1,0,16,1,3,7,6,2,10,8,5,0,1,16,12,6,1,17,0,11,10,0,1,24,0,16,2,4,71,4,12,16,0,9,0
"Ant26",3,5,8,1,13,9,2,7,0,5,6,6,0,5,17,20,4,0,15,3,4,12,2,17,7,12,2,6,15,0,0,4,1,5,28,3,1,2,16,13,1,12,18,0,26,1,4,9,4,7,6,1,3,1
"Ant30",1,2,3,4,0,1,1,1,5,0,8,0,3,3,7,7,4,0,1,15,3,1,8,1,7,6,12,4,5,2,12,12,1,1,11,10,0,1,4,0,1,20,3,0,10,3,6,7,2,1,4,8,1,3
"Ant60",4,10,8,7,1,1,23,6,6,8,0,2,6,7,9,14,7,0,5,4,0,1,5,10,34,17,15,6,4,6,7,6,2,5,9,4,0,5,13,2,2,14,0,3,4,15,6,10,3,0,8,5,0,3
"Ant76",10,29,8,1,6,56,0,14,6,0,2,0,0,0,15,10,2,0,15,0,0,8,0,18,2,2,0,11,13,0,0,0,17,4,6,1,7,0,15,10,0,0,34,0,25,0,8,24,3,3,6,0,8,0
"Ant158",0,0,14,25,0,0,2,0,0,3,6,0,0,15,2,2,7,0,0,6,32,0,3,0,5,10,6,0,0,20,5,18,1,0,2,0,0,17,2,0,3,1,0,23,4,9,5,2,4,1,0,1,0,0
"Ant191",1,0,1,5,0,0,1,0,5,3,7,0,15,0,2,4,4,0,0,14,0,0,5,0,8,0,3,0,1,11,8,1,0,0,8,28,0,6,0,0,1,0,1,0,0,0,3,0,0,0,0,21,0,5
"Ant196",36,73,14,4,10,171,5,15,17,7,9,15,2,2,0,7,8,0,20,8,3,19,1,28,2,5,1,9,16,0,0,4,22,9,21,2,42,0,32,47,0,4,32,0,59,6,7,37,25,25,20,1,22,1
"Ant252",9,4,17,3,15,3,16,11,20,7,14,10,2,4,7,0,11,0,7,2,4,12,5,6,4,8,4,3,1,8,0,1,2,1,38,5,2,1,21,3,1,5,5,2,18,1,8,17,1,11,3,2,2,1
"Ant308",2,2,16,3,2,0,3,2,4,4,7,2,7,4,8,11,0,0,2,8,0,5,3,1,10,3,8,4,6,1,8,6,7,8,15,3,0,2,7,1,0,7,2,0,3,6,13,13,2,2,8,2,0,1
"Ant518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ant0",13,19,1,0,2,26,3,4,15,1,5,15,0,0,20,7,2,0,0,3,0,17,0,24,1,4,2,10,9,0,0,4,15,6,1,0,12,0,12,5,0,6,10,0,21,1,3,12,2,9,11,0,18,0
"Ant13",1,1,4,5,0,0,0,1,3,15,4,0,6,14,8,2,8,0,3,0,3,1,1,0,5,2,21,1,2,10,25,1,5,1,2,9,0,22,1,1,1,4,1,1,2,1,15,2,0,2,5,1,1,1
