"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant209","Ant252","Ant308","Ant311","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant263","Ant289","Ant298","Ant324","Ant342","Ant347","Ant356","Ant380","Ant390","Ant394","Ant395","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant530","Ant538","Ant560","Ant564"
"Ant4",0,6,3,0,10,7,1,4,3,0,2,0,2,0,5,14,1,7,0,2,3,2,0,2,2,1,1,3,1,1,0,0,7,5,1,0,1,5,4,0,0,1,2,4,1,6,5,11,7,6,0,5,0,4,0,3,3,9,0,0,2,14,1,7,7,0,6,4,8,15,7,10,3,1,0,11,3,41,1
"Ant260",6,0,7,0,9,33,3,5,10,4,1,0,8,2,1,12,4,4,1,2,8,9,2,1,2,7,2,5,7,1,6,1,6,7,10,3,0,10,5,3,1,6,10,8,0,7,12,18,9,18,1,14,0,5,0,8,11,12,0,0,5,15,0,3,24,0,8,3,13,37,4,11,4,4,0,14,43,12,1
"Ant52",3,7,0,1,7,3,11,14,2,12,1,0,3,0,2,15,4,7,5,4,1,2,1,0,3,1,0,5,2,7,0,5,7,23,4,5,2,4,7,1,0,3,7,8,0,6,8,6,2,28,2,11,2,4,4,10,3,13,1,0,5,3,0,2,3,1,3,4,10,1,18,5,13,2,1,0,8,35,2
"Ant540",0,0,1,0,0,0,2,0,2,2,0,44,0,7,4,0,0,0,3,0,1,0,4,2,0,0,4,0,0,65,4,7,6,1,0,9,1,1,0,0,0,0,4,0,10,0,1,0,0,8,5,0,42,1,3,0,2,0,5,3,1,0,9,0,0,22,6,0,0,0,1,0,0,6,9,0,1,1,3
"Ant6",10,9,7,0,0,1,2,11,3,0,4,2,3,1,0,14,4,12,0,3,5,0,0,0,4,2,2,4,2,0,5,0,11,0,7,0,0,18,3,2,0,12,7,11,1,3,3,15,5,18,0,9,1,17,0,1,1,7,0,5,1,17,0,1,11,0,1,5,1,14,6,2,3,4,0,3,5,8,1
"Ant7",7,33,3,0,1,0,0,5,6,0,9,0,57,0,0,58,11,2,3,40,67,15,1,0,0,4,0,28,11,0,1,0,17,0,11,0,0,2,8,1,0,9,0,6,0,0,2,51,37,22,0,44,0,19,0,0,0,40,0,0,2,27,0,0,9,0,1,13,8,29,7,7,3,0,0,24,4,2,0
"Ant9",1,3,11,2,2,0,0,1,0,2,0,2,4,7,9,0,0,4,4,6,0,0,9,17,4,0,21,1,1,8,2,4,5,4,0,18,2,9,0,0,1,0,0,2,8,2,5,1,0,2,9,1,9,0,3,6,8,0,7,8,1,2,0,16,0,0,7,1,6,0,22,1,0,7,3,2,2,4,4
"Ant19",4,5,14,0,11,5,1,0,5,0,3,1,8,2,3,14,3,4,0,7,7,0,2,1,5,1,0,6,4,0,1,0,8,1,12,0,0,11,11,7,0,13,5,37,2,4,1,6,10,6,2,6,0,18,0,3,4,0,2,0,1,16,4,0,10,0,1,7,3,12,5,5,0,0,1,1,14,2,0
"Ant26",3,10,2,2,3,6,0,5,0,0,2,1,8,0,5,78,5,8,2,9,3,0,3,5,3,0,4,9,0,1,8,2,8,4,3,2,0,1,7,8,0,5,6,10,3,4,1,5,37,55,0,10,0,3,0,0,5,19,2,1,6,53,0,0,3,1,0,6,4,0,22,10,5,3,0,3,20,5,4
"Ant30",0,4,12,2,0,0,2,0,0,0,0,2,0,7,8,0,0,1,18,4,1,1,3,10,0,2,14,0,1,14,1,7,6,2,1,6,8,1,0,0,21,0,2,1,3,1,14,2,1,0,12,1,9,1,6,1,0,0,8,13,0,2,9,23,0,14,5,0,0,0,0,0,0,8,9,0,0,0,4
