"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant4",0,0,0,0,2,0,0,0,1,0,0,10,0,0,5,0,0,17,0,0,0,0,3,3,0,0,0,2,0,0,0,0,10,0,0,45,0,37,0,0,4,19,0
"Ant260",0,0,19,0,1,8,13,1,18,0,5,20,12,0,6,2,7,14,0,8,14,1,17,4,0,0,0,1,0,4,1,0,17,0,1,9,0,5,0,1,14,3,0
"Ant52",0,19,0,1,0,7,8,3,5,6,3,26,7,0,9,7,1,15,1,10,25,3,1,10,0,0,3,9,0,1,0,2,16,2,4,21,0,6,0,11,16,10,0
"Ant540",0,0,1,0,0,0,0,13,1,18,0,3,0,0,0,1,4,0,8,2,1,6,0,0,6,38,10,0,0,1,7,3,0,4,2,6,1,0,0,0,1,0,0
"Ant6",2,1,0,0,0,0,1,0,2,0,0,14,11,0,1,0,0,1,4,0,3,0,3,0,0,0,0,6,0,1,0,0,5,0,7,5,0,3,1,2,9,1,0
"Ant9",0,8,7,0,0,0,7,3,1,0,12,10,0,0,0,1,0,2,0,5,14,7,0,2,0,1,1,1,3,0,0,1,3,0,1,9,0,2,0,6,12,5,0
"Ant26",0,13,8,0,1,7,0,1,3,0,0,24,2,0,4,7,21,1,1,22,24,9,4,8,0,4,3,3,1,3,1,1,3,0,2,6,0,1,0,0,9,5,0
"Ant30",0,1,3,13,0,3,1,0,5,5,13,2,1,0,0,12,22,0,0,17,5,16,0,4,3,2,1,0,0,12,5,6,4,1,13,4,0,0,4,1,0,0,2
"Ant60",1,18,5,1,2,1,3,5,0,0,10,14,14,0,14,2,2,7,0,6,6,2,10,17,0,0,8,7,1,3,17,0,18,5,1,29,0,10,1,2,7,8,0
"Ant158",0,0,6,18,0,0,0,5,0,0,0,4,0,0,0,6,13,0,8,12,4,31,0,0,35,31,16,0,0,1,8,16,1,1,0,0,0,0,3,0,4,0,2
"Ant191",0,5,3,0,0,12,0,13,10,0,0,1,0,0,0,14,0,0,0,6,0,10,0,0,0,0,2,0,1,3,3,3,4,6,8,3,0,0,7,3,0,1,3
