"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant4",0,13,0,0,10,0,0,0,0,0,0,27,2,0,6,0,0,4,0,0,1,0,1,2,0,0,0,0,0,0,0,0,13,0,0,32,0,10,0,14,1,11,0
"Ant260",13,0,27,2,16,11,19,15,14,9,6,33,10,0,7,12,2,11,5,8,5,2,13,15,1,3,4,8,8,13,0,0,31,2,0,14,0,21,3,18,8,26,0
"Ant52",0,27,0,1,1,23,1,1,8,0,8,8,3,0,6,0,11,7,0,13,8,2,7,17,3,7,7,0,15,22,2,0,11,0,0,4,0,6,4,1,1,9,0
"Ant540",0,2,1,0,0,4,2,4,9,1,17,0,6,0,1,4,5,0,7,38,0,29,0,0,6,6,1,3,1,16,1,9,4,16,6,1,2,0,0,0,0,0,1
"Ant6",10,16,1,0,0,1,5,0,1,0,0,15,6,0,6,0,0,2,0,1,1,0,0,26,0,0,0,2,2,1,0,0,18,0,0,37,0,13,1,7,7,9,0
"Ant9",0,11,23,4,1,0,5,6,8,2,1,20,6,0,0,2,2,15,3,4,9,2,4,3,2,11,5,14,2,22,0,6,6,1,8,7,1,14,5,0,9,5,1
"Ant26",0,19,1,2,5,5,0,3,7,0,3,11,32,0,2,2,0,8,0,13,16,4,7,8,0,14,0,4,0,6,0,0,8,1,0,2,0,4,2,1,14,6,1
"Ant30",0,15,1,4,0,6,3,0,5,34,8,9,7,0,0,18,34,4,5,9,5,7,1,0,4,10,20,3,15,5,1,10,3,4,1,1,6,0,3,0,1,1,1
"Ant60",0,14,8,9,1,8,7,5,0,3,10,5,6,0,0,5,7,13,0,56,11,19,13,0,3,4,3,2,10,6,9,4,17,4,6,3,1,0,2,2,12,0,0
"Ant158",0,9,0,1,0,2,0,34,3,0,7,0,0,0,0,13,34,0,0,9,4,18,0,0,0,1,14,0,0,6,4,31,3,10,0,0,4,1,0,0,0,0,0
