"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant60","Ant76","Ant158","Ant191","Ant196","Ant252","Ant308","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant238","Ant242","Ant243","Ant255","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant394","Ant395","Ant458","Ant475","Ant482","Ant501","Ant560","Ant564"
"Ant4",0,13,12,0,9,54,3,17,9,3,0,21,2,3,26,9,6,0,8,0,0,9,0,17,8,5,0,10,10,0,0,0,3,0,7,0,17,0,8,18,0,0,24,0,16,2,0,28,2,18,3,0,20,1
"Ant260",13,0,22,2,13,38,6,17,34,5,9,18,5,2,19,24,15,0,9,6,7,25,2,7,18,11,2,22,25,2,9,4,21,3,8,2,8,2,18,36,1,8,16,0,19,12,8,16,17,30,13,12,3,6
"Ant52",12,22,0,1,2,0,5,3,19,4,0,11,3,1,31,8,16,0,5,0,0,3,0,1,2,22,0,5,4,0,13,0,22,3,11,0,8,0,4,11,0,0,0,0,25,14,11,8,0,5,5,3,0,0
"Ant540",0,2,1,0,0,0,4,0,2,2,1,0,10,11,2,3,0,0,2,1,4,3,9,0,5,0,5,0,1,3,49,2,1,1,5,14,2,5,3,0,4,2,1,30,0,8,5,0,0,0,1,5,0,25
"Ant6",9,13,2,0,0,16,0,4,6,0,1,11,1,2,16,8,1,0,3,1,0,21,0,10,1,0,3,13,20,0,3,0,7,0,1,0,0,1,3,6,0,0,9,0,19,1,2,10,3,15,3,0,14,0
"Ant7",54,38,0,0,16,0,0,20,0,0,0,30,0,0,40,8,1,0,18,0,0,48,0,35,1,2,0,1,2,0,0,0,6,0,3,0,34,0,21,79,0,0,143,0,121,0,0,50,0,31,2,0,5,0
"Ant9",3,6,5,4,0,0,0,3,2,3,15,5,7,0,3,4,4,0,2,2,0,4,0,0,12,8,11,5,9,1,6,3,12,8,9,3,1,5,7,4,1,6,4,0,2,19,3,7,1,5,6,3,0,0
"Ant19",17,17,3,0,4,20,3,0,1,2,1,2,1,0,9,6,5,0,12,0,0,3,0,9,7,1,1,17,8,0,5,0,13,0,0,0,16,1,14,7,0,1,21,2,13,3,1,21,3,5,2,3,21,0
"Ant26",9,34,19,2,6,0,2,1,0,3,1,14,0,2,28,0,5,0,3,2,0,12,1,5,9,11,3,9,10,0,3,0,5,0,16,2,6,15,4,18,0,1,4,0,50,10,2,7,2,30,0,0,0,0
"Ant30",3,5,4,2,0,0,3,2,3,0,9,1,5,3,2,3,1,0,2,6,6,2,10,7,11,7,4,2,0,8,7,6,0,1,2,8,0,12,4,0,9,10,4,0,3,9,4,1,6,4,1,12,0,6
