"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant4",0,20,5,1,19,6,0,0,2,0,0,55,13,0,12,0,0,29,0,0,4,4,17,20,0,5,0,5,1,18,1,0,6,0,3,33,0,56,0,7,16,8,0
"Ant260",20,0,12,4,23,4,3,9,3,1,0,25,14,0,14,5,0,14,1,13,0,2,25,49,0,10,3,23,10,3,0,0,17,0,7,26,1,45,2,34,12,20,1
"Ant52",5,12,0,0,12,13,0,6,2,0,0,7,33,0,2,0,0,16,0,4,27,1,11,14,0,3,1,21,0,21,0,0,5,0,2,0,0,2,13,2,5,41,0
"Ant540",1,4,0,0,0,0,7,16,9,7,3,0,6,0,1,4,2,0,0,6,0,13,2,3,0,3,7,0,1,0,2,10,2,0,0,1,0,0,4,0,0,0,1
"Ant6",19,23,12,0,0,0,3,0,5,0,0,40,3,0,5,0,1,6,0,6,0,1,9,19,0,4,0,3,6,6,0,0,7,1,0,13,1,19,1,10,10,18,0
"Ant9",6,4,13,0,0,0,2,7,9,0,1,5,2,0,1,1,0,6,0,8,10,9,0,0,1,12,0,6,10,6,0,2,2,2,3,2,0,9,0,0,5,2,0
"Ant26",0,3,0,7,3,2,0,17,1,13,0,2,3,0,1,12,2,1,2,0,3,1,0,0,0,1,0,0,0,0,1,4,3,2,6,5,0,8,7,2,2,0,0
"Ant30",0,9,6,16,0,7,17,0,10,14,7,10,3,0,2,4,5,4,1,8,11,9,0,1,0,2,2,7,12,13,7,23,6,1,7,6,5,1,13,3,0,5,1
"Ant60",2,3,2,9,5,9,1,10,0,10,0,1,2,0,0,6,2,3,6,40,11,21,28,0,4,9,4,6,1,12,2,2,14,4,3,0,4,2,7,7,6,1,0
"Ant158",0,1,0,7,0,0,13,14,10,0,5,1,1,0,0,11,0,0,0,18,0,10,0,0,1,5,10,0,2,0,1,7,2,7,8,0,6,1,0,0,1,0,3
"Ant191",0,0,0,3,0,1,0,7,0,5,0,0,0,0,0,0,7,0,0,0,0,10,0,5,0,3,6,1,1,5,1,1,0,0,2,1,19,0,3,1,0,0,80
"Ant196",55,25,7,0,40,5,2,10,1,1,0,0,16,0,36,2,0,32,0,2,8,10,26,55,0,6,0,27,8,10,0,1,37,0,4,40,0,74,0,33,11,10,1
"Ant252",13,14,33,6,3,2,3,3,2,1,0,16,0,0,4,2,0,18,0,3,3,3,1,6,0,6,2,14,0,8,0,1,7,1,4,7,0,12,2,2,3,20,0
"Ant518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant0",12,14,2,1,5,1,1,2,0,0,0,36,4,0,2,0,0,12,0,0,0,4,2,4,0,0,0,11,3,4,0,0,8,1,0,17,0,15,0,0,12,18,0
"Ant13",0,5,0,4,0,1,12,4,6,11,0,2,2,0,0,0,2,1,0,3,1,2,1,6,0,1,13,0,3,2,10,20,0,1,0,2,1,3,9,2,0,0,37
"Ant23",0,0,0,2,1,0,2,5,2,0,7,0,0,0,0,2,0,0,0,3,0,6,0,0,0,0,1,0,0,0,2,20,0,0,1,0,4,0,0,0,0,0,9
"Ant27",29,14,16,0,6,6,1,4,3,0,0,32,18,0,12,1,0,0,0,6,5,2,6,21,0,10,2,31,11,42,0,0,13,0,4,12,0,34,0,8,10,19,0
