"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant7","Ant9","Ant19","Ant26","Ant30","Ant38","Ant60","Ant76","Ant158","Ant191","Ant196","Ant209","Ant252","Ant308","Ant311","Ant518","Ant0","Ant13","Ant23","Ant27","Ant32","Ant43","Ant44","Ant50","Ant97","Ant109","Ant115","Ant117","Ant124","Ant127","Ant131","Ant137","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant176","Ant178","Ant186","Ant190","Ant198","Ant207","Ant215","Ant217","Ant218","Ant219","Ant238","Ant242","Ant243","Ant255","Ant263","Ant289","Ant298","Ant324","Ant342","Ant347","Ant356","Ant380","Ant390","Ant394","Ant395","Ant437","Ant458","Ant462","Ant475","Ant482","Ant492","Ant501","Ant530","Ant538","Ant560","Ant564"
"Ant4",0,0,6,1,2,0,1,2,2,0,6,6,0,1,2,5,0,1,0,0,0,3,0,0,2,3,0,0,10,0,0,7,7,6,1,1,1,7,0,0,0,0,0,2,0,4,2,2,5,3,1,2,1,7,0,8,10,1,0,0,4,3,2,2,8,4,7,2,1,3,0,11,0,0,2,2,3,0,1
"Ant260",0,0,10,0,5,15,1,8,17,3,4,6,18,7,7,14,1,12,3,2,11,5,2,0,0,4,0,5,2,1,2,2,3,2,17,2,2,7,11,1,0,8,0,6,1,0,6,44,12,12,2,19,1,12,0,0,3,10,1,1,6,11,5,7,8,1,4,9,16,15,3,9,1,1,1,12,4,4,0
"Ant52",6,10,0,4,5,1,3,3,3,5,4,7,2,5,16,1,1,16,1,0,0,0,0,4,4,9,9,4,0,2,22,12,10,13,5,4,5,21,13,0,3,0,4,5,9,5,4,3,1,6,3,13,23,8,0,1,3,4,3,2,5,19,1,0,4,1,17,15,5,6,2,0,9,11,5,1,3,4,1
"Ant540",1,0,4,0,0,0,2,1,1,3,0,22,0,2,8,0,1,3,12,0,0,1,9,1,0,0,22,1,0,16,1,7,2,2,0,3,4,0,0,0,4,0,5,2,13,0,0,0,1,1,6,0,14,0,8,0,0,1,6,4,2,1,3,15,1,7,6,2,1,0,0,0,8,1,1,0,1,0,8
"Ant6",2,5,5,0,0,6,0,33,5,3,7,0,1,5,1,16,2,6,3,0,1,4,0,0,0,6,1,6,4,0,6,4,6,4,0,0,2,13,5,0,2,27,1,2,0,5,5,9,4,2,0,5,3,3,0,3,3,9,0,3,5,14,0,0,7,0,1,2,4,2,5,5,1,1,2,0,20,6,2
"Ant7",0,15,1,0,6,0,0,1,30,1,6,0,14,0,1,13,1,15,0,8,28,8,0,0,0,6,0,15,0,0,2,0,0,1,12,1,2,0,0,2,0,10,0,4,0,1,0,16,15,16,0,8,0,6,0,0,0,13,0,0,0,4,0,2,5,0,0,14,31,8,0,1,0,0,0,20,0,2,0
"Ant9",1,1,3,2,0,0,0,0,6,14,0,15,1,9,13,5,3,2,5,0,0,1,7,2,5,0,10,3,0,10,6,15,2,7,2,7,16,2,2,0,13,2,9,1,3,2,4,0,0,0,11,1,2,0,2,4,3,0,4,5,7,4,6,6,1,13,3,2,0,0,14,1,4,19,5,0,1,3,4
"Ant19",2,8,3,1,33,1,0,0,1,7,1,5,2,4,1,12,1,11,3,0,4,4,0,2,3,3,3,7,4,0,3,3,4,7,1,0,0,2,2,0,0,2,3,1,2,2,3,8,3,11,0,11,7,13,0,0,1,17,1,9,10,25,2,0,8,3,3,2,6,7,1,6,7,0,0,6,6,2,1
"Ant26",2,17,3,1,5,30,6,1,0,2,16,0,6,5,2,24,9,2,0,0,0,7,0,0,0,3,1,29,5,1,1,15,6,1,8,0,2,4,10,0,1,6,3,9,2,1,7,14,8,36,1,8,0,14,0,1,0,2,0,4,5,33,0,1,5,0,0,28,11,8,2,7,0,1,0,3,20,8,1
"Ant30",0,3,5,3,3,1,14,7,2,0,0,3,2,1,3,2,4,0,10,0,1,1,4,14,0,1,6,4,3,6,5,2,2,6,0,4,4,14,2,0,5,0,8,0,0,2,2,0,1,0,0,1,6,0,0,0,0,1,6,2,7,1,10,1,0,0,1,1,0,0,9,1,3,4,8,0,3,0,11
"Ant38",6,4,4,0,7,6,0,1,16,0,0,0,1,7,0,13,1,7,0,0,2,12,0,0,0,1,0,24,3,0,1,2,2,4,1,0,0,4,10,0,0,5,2,0,0,0,0,8,5,8,1,18,0,10,0,2,0,1,0,0,2,43,0,0,4,1,0,2,18,16,0,1,1,1,0,15,1,21,0
"Ant60",6,6,7,22,0,0,15,5,0,3,0,0,0,1,4,2,0,2,14,0,1,0,16,11,5,1,18,0,0,22,2,8,6,5,4,14,13,4,1,0,9,0,17,6,21,2,4,3,0,1,44,1,8,0,17,6,0,0,10,3,3,1,12,11,1,6,11,0,2,1,10,0,13,10,9,0,2,4,16
"Ant76",0,18,2,0,1,14,1,2,6,2,1,0,0,0,2,9,3,6,0,3,19,11,0,0,0,3,0,0,2,0,1,0,1,3,9,0,2,2,0,9,0,6,1,2,0,3,1,13,5,15,0,1,0,9,0,1,0,7,0,2,2,9,0,0,0,1,2,9,9,8,0,2,0,0,0,18,1,4,0
"Ant158",1,7,5,2,5,0,9,4,5,1,7,1,0,0,2,9,4,18,15,0,3,0,8,5,1,0,4,8,0,5,37,16,10,9,0,0,6,4,3,0,9,1,16,5,4,2,4,3,2,5,2,6,11,7,1,9,5,6,2,9,2,12,9,3,9,0,0,7,0,8,19,4,5,8,8,2,16,13,10
"Ant191",2,7,16,8,1,1,13,1,2,3,0,4,2,2,0,1,0,3,9,0,0,1,2,6,8,0,5,0,0,4,7,6,4,11,0,6,6,4,3,0,16,2,6,2,1,2,9,0,0,6,7,1,9,1,0,7,2,0,2,1,2,0,2,5,3,12,9,1,2,0,13,0,1,14,8,0,1,0,0
"Ant196",5,14,1,0,16,13,5,12,24,2,13,2,9,9,1,0,5,8,1,0,9,8,4,5,0,0,0,4,4,1,6,2,9,4,6,2,2,25,13,0,3,7,4,5,2,3,6,31,4,12,0,11,0,8,0,4,0,8,0,2,5,35,0,0,1,0,1,11,16,9,0,15,2,2,3,7,34,11,1
"Ant209",0,1,1,1,2,1,3,1,9,4,1,0,3,4,0,5,0,4,0,0,3,4,0,1,2,3,0,2,1,1,3,1,1,0,3,0,0,8,0,0,5,1,0,6,0,0,1,3,2,4,0,0,0,4,0,1,1,3,0,1,5,1,3,0,1,1,1,0,4,1,3,1,0,0,2,0,2,5,0
"Ant252",1,12,16,3,6,15,2,11,2,0,7,2,6,18,3,8,4,0,4,0,7,11,2,2,0,10,2,3,1,4,12,5,2,6,17,0,2,3,13,7,4,6,3,3,1,2,4,33,16,14,1,15,1,21,1,0,1,13,0,8,2,7,0,4,5,0,7,10,11,6,0,8,3,3,2,9,2,2,2
"Ant308",0,3,1,12,3,0,5,3,0,10,0,14,0,15,9,1,0,4,0,0,0,0,2,4,1,0,19,3,0,13,7,12,1,5,1,3,30,1,0,0,17,0,16,3,1,0,3,1,1,4,16,1,3,0,3,1,0,3,7,6,14,2,36,3,1,6,0,0,0,0,15,0,1,3,8,0,5,0,13
"Ant311",0,2,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"Ant518",0,11,0,0,1,28,0,4,0,1,2,1,19,3,0,9,3,7,0,11,0,12,0,0,0,0,1,0,2,1,0,0,3,0,15,0,2,0,0,22,0,5,0,0,0,0,1,29,7,9,1,1,0,12,0,1,0,9,0,0,3,11,0,0,2,0,0,2,13,3,0,2,0,0,0,14,2,1,0
"Ant0",3,5,0,1,4,8,1,4,7,1,12,0,11,0,1,8,4,11,0,9,12,0,0,0,0,2,0,4,9,0,1,1,3,1,5,0,0,4,6,4,1,8,0,2,2,0,2,16,9,18,0,5,0,18,0,2,0,8,0,2,2,15,0,0,3,2,0,8,13,36,0,11,1,0,0,33,9,17,0
"Ant13",0,2,0,9,0,0,7,0,0,4,0,16,0,8,2,4,0,2,2,0,0,0,0,4,0,1,1,0,0,14,3,9,1,1,0,6,8,2,0,0,7,0,2,0,5,1,1,3,0,1,2,0,14,1,3,4,4,0,5,8,15,1,3,1,0,6,8,0,0,0,6,0,8,21,0,0,0,0,0
"Ant23",0,0,4,1,0,0,2,2,0,14,0,11,0,5,6,5,1,2,4,0,0,0,4,0,1,1,8,1,0,1,6,2,2,7,0,5,7,11,0,0,7,0,15,4,3,0,0,1,0,2,1,5,3,0,0,1,0,2,0,0,18,2,4,0,2,5,7,3,0,1,6,0,2,7,8,0,0,0,4
"Ant27",2,0,4,0,0,0,5,3,0,0,0,5,0,1,8,0,2,0,1,0,0,0,0,1,0,0,0,4,0,4,0,3,1,8,1,0,1,3,1,0,1,0,3,0,4,5,0,1,0,2,3,0,0,0,1,4,7,1,4,0,9,0,0,2,0,4,15,0,1,0,1,0,13,7,1,2,1,0,1
"Ant32",3,4,9,0,6,6,0,3,3,1,1,1,3,0,0,0,3,10,0,0,0,2,1,1,0,0,0,0,0,0,6,3,4,2,8,0,2,0,9,0,4,4,5,2,0,0,7,0,5,4,0,6,0,2,0,2,1,15,0,11,15,6,0,0,0,0,1,1,8,7,0,5,5,0,3,0,8,1,0
"Ant43",0,0,9,22,1,0,10,3,1,6,0,18,0,4,5,0,0,2,19,0,1,0,1,8,0,0,0,0,0,31,4,0,2,0,1,8,24,1,1,0,9,0,14,2,8,3,1,0,0,1,6,0,10,0,24,0,0,0,2,1,4,0,12,12,0,20,0,0,1,0,10,0,0,2,17,0,2,0,16
"Ant44",0,5,4,1,6,15,3,7,29,4,24,0,0,8,0,4,2,3,3,0,0,4,0,1,4,0,0,0,3,0,5,5,10,3,6,0,2,3,7,0,0,0,0,20,0,4,12,5,2,9,1,1,0,1,1,3,0,3,0,2,13,9,2,2,3,0,1,3,6,1,6,19,0,0,3,2,12,7,0
"Ant50",10,2,0,0,4,0,0,4,5,3,3,0,2,0,0,4,1,1,0,0,2,9,0,0,0,0,0,3,0,0,3,2,2,3,0,0,0,13,4,0,0,1,0,0,2,4,1,4,0,3,0,7,0,0,0,0,0,3,0,0,0,7,0,0,3,1,0,3,0,5,0,4,0,0,4,0,14,12,0
"Ant97",0,1,2,16,0,0,10,0,1,6,0,22,0,5,4,1,1,4,13,0,1,0,14,1,4,0,31,0,0,0,1,17,7,5,0,16,8,0,0,0,10,1,19,1,4,0,3,1,0,1,12,0,12,2,20,0,4,0,28,13,4,0,13,6,0,4,1,0,0,0,2,1,7,9,14,0,0,1,17
"Ant109",0,2,22,1,6,2,6,3,1,5,1,2,1,37,7,6,3,12,7,0,0,1,3,6,0,6,4,5,3,1,0,1,4,12,7,4,5,18,7,0,4,1,4,4,12,3,5,3,2,3,7,1,2,3,5,13,2,7,7,6,15,6,1,6,3,2,2,3,2,0,40,6,0,3,2,0,8,8,2
"Ant115",7,2,12,7,4,0,15,3,15,2,2,8,0,16,6,2,1,5,12,0,0,1,9,2,3,3,0,5,2,17,1,0,1,18,0,2,7,1,6,0,11,0,3,1,11,1,5,13,1,7,17,4,1,5,6,2,3,6,4,2,2,5,2,4,9,17,3,8,0,0,8,0,10,10,2,0,9,10,2
"Ant117",7,3,10,2,6,0,2,4,6,2,2,6,1,10,4,9,1,2,1,0,3,3,1,2,1,4,2,10,2,7,4,1,0,11,3,0,2,10,11,0,3,6,2,4,0,1,11,5,4,5,0,3,0,1,0,1,5,2,1,6,10,10,0,1,2,2,4,8,3,3,6,12,3,0,2,4,9,8,0
"Ant124",6,2,13,2,4,1,7,7,1,6,4,5,3,9,11,4,0,6,5,0,0,1,1,7,8,2,0,3,3,5,12,18,11,0,0,4,8,2,5,0,7,0,5,0,4,8,15,4,1,5,9,6,5,2,6,3,4,1,3,7,13,4,0,4,5,29,7,4,1,0,16,1,16,9,2,0,2,0,3
"Ant127",1,17,5,0,0,12,2,1,8,0,1,4,9,0,0,6,3,17,1,0,15,5,0,0,1,8,1,6,0,0,7,0,3,0,0,0,5,1,0,4,0,4,0,7,1,4,0,28,6,18,0,8,0,6,0,1,2,8,0,1,5,3,1,1,8,6,3,14,9,2,1,5,0,1,0,7,7,4,0
"Ant131",1,2,4,3,0,1,7,0,0,4,0,14,0,0,6,2,0,0,3,0,0,0,6,5,0,0,8,0,0,16,4,2,0,4,0,0,4,0,0,0,22,0,2,2,14,3,1,0,0,4,3,0,26,0,10,2,0,1,1,7,9,3,6,2,0,7,2,0,0,0,4,0,2,8,13,1,1,2,2
