"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant9","Ant26","Ant30","Ant60","Ant158","Ant191","Ant196","Ant252","Ant518","Ant0","Ant13","Ant23","Ant27","Ant43","Ant97","Ant109","Ant115","Ant117","Ant124","Ant137","Ant159","Ant178","Ant186","Ant190","Ant215","Ant219","Ant242","Ant243","Ant289","Ant324","Ant342","Ant347","Ant380","Ant390","Ant475","Ant482","Ant560","Ant564"
"Ant4",0,49,0,0,2,0,0,0,3,0,0,37,2,0,8,0,0,17,0,0,1,1,1,12,0,0,0,1,0,0,1,0,8,0,3,26,0,12,1,5,40,16,0
"Ant260",49,0,1,1,22,2,8,0,4,1,0,33,15,0,14,2,0,41,1,5,14,1,14,54,1,3,0,2,0,6,0,0,8,0,1,33,0,88,1,23,74,63,1
"Ant52",0,1,0,6,0,19,19,6,5,13,2,27,21,0,3,1,9,10,0,6,9,4,4,0,0,26,0,8,6,27,2,4,5,11,2,14,1,2,8,5,5,5,0
"Ant540",0,1,6,0,0,3,2,11,3,2,2,9,2,0,0,1,2,1,11,3,2,3,1,0,13,6,4,0,1,0,2,9,4,2,1,0,7,0,1,0,0,0,15
"Ant6",2,22,0,0,0,1,2,0,5,0,0,5,2,0,6,0,0,3,0,1,3,0,0,4,0,1,0,0,0,8,0,0,2,0,0,16,0,4,1,0,13,5,0
"Ant9",0,2,19,3,1,0,9,1,11,29,2,10,8,0,2,0,4,6,2,9,12,3,2,0,2,8,4,7,3,6,5,0,2,3,5,3,0,2,16,0,3,6,0
"Ant26",0,8,19,2,2,9,0,6,18,2,3,23,18,0,2,5,18,5,2,6,22,1,2,2,0,5,1,10,0,28,1,3,12,2,9,18,0,3,7,1,2,10,0
"Ant30",0,0,6,11,0,1,6,0,4,8,6,5,0,0,0,1,5,3,4,10,2,11,2,0,8,18,4,1,9,4,6,5,7,8,12,0,2,0,0,0,1,1,5
"Ant60",3,4,5,3,5,11,18,4,0,6,5,12,9,0,6,12,0,5,1,45,10,6,3,2,0,3,8,5,5,11,1,1,20,3,6,11,1,4,2,19,2,7,5
"Ant158",0,1,13,2,0,29,2,8,6,0,0,1,7,0,4,10,7,3,1,8,5,5,0,0,16,5,0,2,1,0,3,8,2,14,2,2,7,0,7,0,2,0,2
"Ant191",0,0,2,2,0,2,3,6,5,0,0,2,6,0,0,11,3,4,16,9,7,21,4,3,3,13,17,0,2,11,6,5,6,3,2,2,1,0,3,2,1,0,0
